"Notes"	"County"	"County Code"	"Ten-Year Age Groups"	"Ten-Year Age Groups Code"	"Month"	"Month Code"	Deaths	Population	Crude Rate
"Total"	"Aleutians East Borough, AK"	"02013"	"55-64 years"	"55-64"			15	Not Applicable	Not Applicable
"Total"	"Aleutians East Borough, AK"	"02013"	"65-74 years"	"65-74"			13	Not Applicable	Not Applicable
"Total"	"Aleutians East Borough, AK"	"02013"	"75-84 years"	"75-84"			12	Not Applicable	Not Applicable
"Total"	"Aleutians East Borough, AK"	"02013"	"85+ years"	"85+"			10	Not Applicable	Not Applicable
"Total"	"Aleutians East Borough, AK"	"02013"					50	Not Applicable	Not Applicable
"Total"	"Aleutians West Census Area, AK"	"02016"	"55-64 years"	"55-64"			33	Not Applicable	Not Applicable
"Total"	"Aleutians West Census Area, AK"	"02016"	"65-74 years"	"65-74"			35	Not Applicable	Not Applicable
"Total"	"Aleutians West Census Area, AK"	"02016"	"75-84 years"	"75-84"			21	Not Applicable	Not Applicable
"Total"	"Aleutians West Census Area, AK"	"02016"	"85+ years"	"85+"			15	Not Applicable	Not Applicable
"Total"	"Aleutians West Census Area, AK"	"02016"					104	Not Applicable	Not Applicable
	"Anchorage Borough, AK"	"02020"	"55-64 years"	"55-64"	"Jan., 2010"	"2010/01"	12	Not Applicable	Not Applicable
	"Anchorage Borough, AK"	"02020"	"55-64 years"	"55-64"	"Feb., 2010"	"2010/02"	13	Not Applicable	Not Applicable
	"Anchorage Borough, AK"	"02020"	"55-64 years"	"55-64"	"Mar., 2010"	"2010/03"	20	Not Applicable	Not Applicable
	"Anchorage Borough, AK"	"02020"	"55-64 years"	"55-64"	"Apr., 2010"	"2010/04"	24	Not Applicable	Not Applicable
	"Anchorage Borough, AK"	"02020"	"55-64 years"	"55-64"	"May, 2010"	"2010/05"	16	Not Applicable	Not Applicable
	"Anchorage Borough, AK"	"02020"	"55-64 years"	"55-64"	"Jun., 2010"	"2010/06"	15	Not Applicable	Not Applicable
	"Anchorage Borough, AK"	"02020"	"55-64 years"	"55-64"	"Jul., 2010"	"2010/07"	18	Not Applicable	Not Applicable
	"Anchorage Borough, AK"	"02020"	"55-64 years"	"55-64"	"Aug., 2010"	"2010/08"	22	Not Applicable	Not Applicable
	"Anchorage Borough, AK"	"02020"	"55-64 years"	"55-64"	"Sep., 2010"	"2010/09"	19	Not Applicable	Not Applicable
	"Anchorage Borough, AK"	"02020"	"55-64 years"	"55-64"	"Oct., 2010"	"2010/10"	25	Not Applicable	Not Applicable
	"Anchorage Borough, AK"	"02020"	"55-64 years"	"55-64"	"Nov., 2010"	"2010/11"	18	Not Applicable	Not Applicable
	"Anchorage Borough, AK"	"02020"	"55-64 years"	"55-64"	"Dec., 2010"	"2010/12"	31	Not Applicable	Not Applicable
	"Anchorage Borough, AK"	"02020"	"55-64 years"	"55-64"	"Jan., 2011"	"2011/01"	19	Not Applicable	Not Applicable
	"Anchorage Borough, AK"	"02020"	"55-64 years"	"55-64"	"Feb., 2011"	"2011/02"	18	Not Applicable	Not Applicable
	"Anchorage Borough, AK"	"02020"	"55-64 years"	"55-64"	"Mar., 2011"	"2011/03"	25	Not Applicable	Not Applicable
	"Anchorage Borough, AK"	"02020"	"55-64 years"	"55-64"	"Apr., 2011"	"2011/04"	26	Not Applicable	Not Applicable
