"Notes"	"County"	"County Code"	"Ten-Year Age Groups"	"Ten-Year Age Groups Code"	"Month"	"Month Code"	Deaths	Population	Crude Rate
	"Arkansas County, AR"	"05001"	"75-84 years"	"75-84"	"Mar., 2015"	"2015/03"	11	Not Applicable	Not Applicable
	"Arkansas County, AR"	"05001"	"85+ years"	"85+"	"Dec., 2015"	"2015/12"	10	Not Applicable	Not Applicable
	"Ashley County, AR"	"05003"	"65-74 years"	"65-74"	"Feb., 2015"	"2015/02"	13	Not Applicable	Not Applicable
	"Ashley County, AR"	"05003"	"75-84 years"	"75-84"	"Apr., 2014"	"2014/04"	10	Not Applicable	Not Applicable
	"Ashley County, AR"	"05003"	"75-84 years"	"75-84"	"Jun., 2014"	"2014/06"	10	Not Applicable	Not Applicable
	"Ashley County, AR"	"05003"	"85+ years"	"85+"	"Jan., 2014"	"2014/01"	10	Not Applicable	Not Applicable
	"Ashley County, AR"	"05003"	"85+ years"	"85+"	"Feb., 2015"	"2015/02"	11	Not Applicable	Not Applicable
	"Ashley County, AR"	"05003"	"85+ years"	"85+"	"Aug., 2015"	"2015/08"	11	Not Applicable	Not Applicable
	"Baxter County, AR"	"05005"	"55-64 years"	"55-64"	"Mar., 2013"	"2013/03"	10	Not Applicable	Not Applicable
	"Baxter County, AR"	"05005"	"55-64 years"	"55-64"	"Apr., 2013"	"2013/04"	10	Not Applicable	Not Applicable
	"Baxter County, AR"	"05005"	"55-64 years"	"55-64"	"Dec., 2013"	"2013/12"	10	Not Applicable	Not Applicable
	"Baxter County, AR"	"05005"	"55-64 years"	"55-64"	"Feb., 2014"	"2014/02"	11	Not Applicable	Not Applicable
	"Baxter County, AR"	"05005"	"55-64 years"	"55-64"	"Jul., 2015"	"2015/07"	10	Not Applicable	Not Applicable
	"Baxter County, AR"	"05005"	"55-64 years"	"55-64"	"Aug., 2015"	"2015/08"	11	Not Applicable	Not Applicable
	"Baxter County, AR"	"05005"	"55-64 years"	"55-64"	"Nov., 2015"	"2015/11"	10	Not Applicable	Not Applicable
	"Baxter County, AR"	"05005"	"65-74 years"	"65-74"	"Jan., 2013"	"2013/01"	12	Not Applicable	Not Applicable
	"Baxter County, AR"	"05005"	"65-74 years"	"65-74"	"Feb., 2013"	"2013/02"	12	Not Applicable	Not Applicable
	"Baxter County, AR"	"05005"	"65-74 years"	"65-74"	"Mar., 2013"	"2013/03"	15	Not Applicable	Not Applicable
	"Baxter County, AR"	"05005"	"65-74 years"	"65-74"	"May, 2013"	"2013/05"	10	Not Applicable	Not Applicable
	"Baxter County, AR"	"05005"	"65-74 years"	"65-74"	"Jul., 2013"	"2013/07"	10	Not Applicable	Not Applicable
	"Baxter County, AR"	"05005"	"65-74 years"	"65-74"	"Aug., 2013"	"2013/08"	12	Not Applicable	Not Applicable
	"Baxter County, AR"	"05005"	"65-74 years"	"65-74"	"Oct., 2013"	"2013/10"	14	Not Applicable	Not Applicable
	"Baxter County, AR"	"05005"	"65-74 years"	"65-74"	"Nov., 2013"	"2013/11"	15	Not Applicable	Not Applicable
	"Baxter County, AR"	"05005"	"65-74 years"	"65-74"	"Feb., 2014"	"2014/02"	11	Not Applicable	Not Applicable
	"Baxter County, AR"	"05005"	"65-74 years"	"65-74"	"Apr., 2014"	"2014/04"	11	Not Applicable	Not Applicable
	"Baxter County, AR"	"05005"	"65-74 years"	"65-74"	"May, 2014"	"2014/05"	12	Not Applicable	Not Applicable
	"Baxter County, AR"	"05005"	"65-74 years"	"65-74"	"Jul., 2014"	"2014/07"	12	Not Applicable	Not Applicable
	"Baxter County, AR"	"05005"	"65-74 years"	"65-74"	"Sep., 2014"	"2014/09"	13	Not Applicable	Not Applicable
	"Baxter County, AR"	"05005"	"65-74 years"	"65-74"	"Oct., 2014"	"2014/10"	10	Not Applicable	Not Applicable
	"Baxter County, AR"	"05005"	"65-74 years"	"65-74"	"Nov., 2014"	"2014/11"	10	Not Applicable	Not Applicable
	"Baxter County, AR"	"05005"	"65-74 years"	"65-74"	"Dec., 2014"	"2014/12"	10	Not Applicable	Not Applicable
	"Baxter County, AR"	"05005"	"65-74 years"	"65-74"	"Jan., 2015"	"2015/01"	13	Not Applicable	Not Applicable
	"Baxter County, AR"	"05005"	"65-74 years"	"65-74"	"Feb., 2015"	"2015/02"	18	Not Applicable	Not Applicable
	"Baxter County, AR"	"05005"	"65-74 years"	"65-74"	"Apr., 2015"	"2015/04"	11	Not Applicable	Not Applicable
	"Baxter County, AR"	"05005"	"65-74 years"	"65-74"	"Jun., 2015"	"2015/06"	13	Not Applicable	Not Applicable
	"Baxter County, AR"	"05005"	"65-74 years"	"65-74"	"Jul., 2015"	"2015/07"	17	Not Applicable	Not Applicable
	"Baxter County, AR"	"05005"	"65-74 years"	"65-74"	"Aug., 2015"	"2015/08"	13	Not Applicable	Not Applicable
	"Baxter County, AR"	"05005"	"65-74 years"	"65-74"	"Nov., 2015"	"2015/11"	16	Not Applicable	Not Applicable
	"Baxter County, AR"	"05005"	"65-74 years"	"65-74"	"Dec., 2015"	"2015/12"	15	Not Applicable	Not Applicable
	"Baxter County, AR"	"05005"	"75-84 years"	"75-84"	"Jan., 2013"	"2013/01"	21	Not Applicable	Not Applicable
	"Baxter County, AR"	"05005"	"75-84 years"	"75-84"	"Feb., 2013"	"2013/02"	26	Not Applicable	Not Applicable
	"Baxter County, AR"	"05005"	"75-84 years"	"75-84"	"Mar., 2013"	"2013/03"	17	Not Applicable	Not Applicable
	"Baxter County, AR"	"05005"	"75-84 years"	"75-84"	"Apr., 2013"	"2013/04"	25	Not Applicable	Not Applicable
	"Baxter County, AR"	"05005"	"75-84 years"	"75-84"	"May, 2013"	"2013/05"	14	Not Applicable	Not Applicable
	"Baxter County, AR"	"05005"	"75-84 years"	"75-84"	"Jun., 2013"	"2013/06"	11	Not Applicable	Not Applicable
	"Baxter County, AR"	"05005"	"75-84 years"	"75-84"	"Jul., 2013"	"2013/07"	14	Not Applicable	Not Applicable
	"Baxter County, AR"	"05005"	"75-84 years"	"75-84"	"Aug., 2013"	"2013/08"	14	Not Applicable	Not Applicable
	"Baxter County, AR"	"05005"	"75-84 years"	"75-84"	"Sep., 2013"	"2013/09"	15	Not Applicable	Not Applicable
	"Baxter County, AR"	"05005"	"75-84 years"	"75-84"	"Oct., 2013"	"2013/10"	16	Not Applicable	Not Applicable
	"Baxter County, AR"	"05005"	"75-84 years"	"75-84"	"Nov., 2013"	"2013/11"	15	Not Applicable	Not Applicable
	"Baxter County, AR"	"05005"	"75-84 years"	"75-84"	"Dec., 2013"	"2013/12"	12	Not Applicable	Not Applicable
	"Baxter County, AR"	"05005"	"75-84 years"	"75-84"	"Jan., 2014"	"2014/01"	13	Not Applicable	Not Applicable
	"Baxter County, AR"	"05005"	"75-84 years"	"75-84"	"Feb., 2014"	"2014/02"	20	Not Applicable	Not Applicable
	"Baxter County, AR"	"05005"	"75-84 years"	"75-84"	"Mar., 2014"	"2014/03"	18	Not Applicable	Not Applicable
	"Baxter County, AR"	"05005"	"75-84 years"	"75-84"	"Apr., 2014"	"2014/04"	19	Not Applicable	Not Applicable
	"Baxter County, AR"	"05005"	"75-84 years"	"75-84"	"May, 2014"	"2014/05"	17	Not Applicable	Not Applicable
	"Baxter County, AR"	"05005"	"75-84 years"	"75-84"	"Jun., 2014"	"2014/06"	16	Not Applicable	Not Applicable
	"Baxter County, AR"	"05005"	"75-84 years"	"75-84"	"Jul., 2014"	"2014/07"	14	Not Applicable	Not Applicable
	"Baxter County, AR"	"05005"	"75-84 years"	"75-84"	"Aug., 2014"	"2014/08"	14	Not Applicable	Not Applicable
	"Baxter County, AR"	"05005"	"75-84 years"	"75-84"	"Sep., 2014"	"2014/09"	16	Not Applicable	Not Applicable
	"Baxter County, AR"	"05005"	"75-84 years"	"75-84"	"Oct., 2014"	"2014/10"	20	Not Applicable	Not Applicable
	"Baxter County, AR"	"05005"	"75-84 years"	"75-84"	"Nov., 2014"	"2014/11"	15	Not Applicable	Not Applicable
	"Baxter County, AR"	"05005"	"75-84 years"	"75-84"	"Dec., 2014"	"2014/12"	22	Not Applicable	Not Applicable
	"Baxter County, AR"	"05005"	"75-84 years"	"75-84"	"Jan., 2015"	"2015/01"	20	Not Applicable	Not Applicable
	"Baxter County, AR"	"05005"	"75-84 years"	"75-84"	"Feb., 2015"	"2015/02"	17	Not Applicable	Not Applicable
	"Baxter County, AR"	"05005"	"75-84 years"	"75-84"	"Mar., 2015"	"2015/03"	18	Not Applicable	Not Applicable
	"Baxter County, AR"	"05005"	"75-84 years"	"75-84"	"Apr., 2015"	"2015/04"	14	Not Applicable	Not Applicable
	"Baxter County, AR"	"05005"	"75-84 years"	"75-84"	"May, 2015"	"2015/05"	18	Not Applicable	Not Applicable
	"Baxter County, AR"	"05005"	"75-84 years"	"75-84"	"Jun., 2015"	"2015/06"	15	Not Applicable	Not Applicable
	"Baxter County, AR"	"05005"	"75-84 years"	"75-84"	"Jul., 2015"	"2015/07"	19	Not Applicable	Not Applicable
	"Baxter County, AR"	"05005"	"75-84 years"	"75-84"	"Aug., 2015"	"2015/08"	19	Not Applicable	Not Applicable
	"Baxter County, AR"	"05005"	"75-84 years"	"75-84"	"Sep., 2015"	"2015/09"	21	Not Applicable	Not Applicable
	"Baxter County, AR"	"05005"	"75-84 years"	"75-84"	"Oct., 2015"	"2015/10"	15	Not Applicable	Not Applicable
	"Baxter County, AR"	"05005"	"75-84 years"	"75-84"	"Nov., 2015"	"2015/11"	15	Not Applicable	Not Applicable
	"Baxter County, AR"	"05005"	"75-84 years"	"75-84"	"Dec., 2015"	"2015/12"	19	Not Applicable	Not Applicable
	"Baxter County, AR"	"05005"	"85+ years"	"85+"	"Jan., 2013"	"2013/01"	20	Not Applicable	Not Applicable
	"Baxter County, AR"	"05005"	"85+ years"	"85+"	"Feb., 2013"	"2013/02"	22	Not Applicable	Not Applicable
	"Baxter County, AR"	"05005"	"85+ years"	"85+"	"Mar., 2013"	"2013/03"	21	Not Applicable	Not Applicable
	"Baxter County, AR"	"05005"	"85+ years"	"85+"	"May, 2013"	"2013/05"	15	Not Applicable	Not Applicable
	"Baxter County, AR"	"05005"	"85+ years"	"85+"	"Jun., 2013"	"2013/06"	21	Not Applicable	Not Applicable
	"Baxter County, AR"	"05005"	"85+ years"	"85+"	"Jul., 2013"	"2013/07"	18	Not Applicable	Not Applicable
	"Baxter County, AR"	"05005"	"85+ years"	"85+"	"Aug., 2013"	"2013/08"	17	Not Applicable	Not Applicable
	"Baxter County, AR"	"05005"	"85+ years"	"85+"	"Oct., 2013"	"2013/10"	14	Not Applicable	Not Applicable
	"Baxter County, AR"	"05005"	"85+ years"	"85+"	"Nov., 2013"	"2013/11"	15	Not Applicable	Not Applicable
	"Baxter County, AR"	"05005"	"85+ years"	"85+"	"Dec., 2013"	"2013/12"	23	Not Applicable	Not Applicable
	"Baxter County, AR"	"05005"	"85+ years"	"85+"	"Jan., 2014"	"2014/01"	23	Not Applicable	Not Applicable
	"Baxter County, AR"	"05005"	"85+ years"	"85+"	"Feb., 2014"	"2014/02"	18	Not Applicable	Not Applicable
	"Baxter County, AR"	"05005"	"85+ years"	"85+"	"Mar., 2014"	"2014/03"	16	Not Applicable	Not Applicable
	"Baxter County, AR"	"05005"	"85+ years"	"85+"	"Apr., 2014"	"2014/04"	23	Not Applicable	Not Applicable
	"Baxter County, AR"	"05005"	"85+ years"	"85+"	"May, 2014"	"2014/05"	17	Not Applicable	Not Applicable
	"Baxter County, AR"	"05005"	"85+ years"	"85+"	"Jun., 2014"	"2014/06"	15	Not Applicable	Not Applicable
