"Notes"	"County"	"County Code"	"Ten-Year Age Groups"	"Ten-Year Age Groups Code"	"Month"	"Month Code"	Deaths	Population	Crude Rate
	"Alameda County, CA"	"06001"	"55-64 years"	"55-64"	"Jan., 2010"	"2010/01"	91	Not Applicable	Not Applicable
	"Alameda County, CA"	"06001"	"55-64 years"	"55-64"	"Feb., 2010"	"2010/02"	102	Not Applicable	Not Applicable
	"Alameda County, CA"	"06001"	"55-64 years"	"55-64"	"Mar., 2010"	"2010/03"	105	Not Applicable	Not Applicable
	"Alameda County, CA"	"06001"	"55-64 years"	"55-64"	"Apr., 2010"	"2010/04"	98	Not Applicable	Not Applicable
	"Alameda County, CA"	"06001"	"55-64 years"	"55-64"	"May, 2010"	"2010/05"	91	Not Applicable	Not Applicable
	"Alameda County, CA"	"06001"	"55-64 years"	"55-64"	"Jun., 2010"	"2010/06"	88	Not Applicable	Not Applicable
	"Alameda County, CA"	"06001"	"55-64 years"	"55-64"	"Jul., 2010"	"2010/07"	97	Not Applicable	Not Applicable
	"Alameda County, CA"	"06001"	"55-64 years"	"55-64"	"Aug., 2010"	"2010/08"	84	Not Applicable	Not Applicable
	"Alameda County, CA"	"06001"	"55-64 years"	"55-64"	"Sep., 2010"	"2010/09"	85	Not Applicable	Not Applicable
	"Alameda County, CA"	"06001"	"55-64 years"	"55-64"	"Oct., 2010"	"2010/10"	116	Not Applicable	Not Applicable
	"Alameda County, CA"	"06001"	"55-64 years"	"55-64"	"Nov., 2010"	"2010/11"	114	Not Applicable	Not Applicable
	"Alameda County, CA"	"06001"	"55-64 years"	"55-64"	"Dec., 2010"	"2010/12"	88	Not Applicable	Not Applicable
	"Alameda County, CA"	"06001"	"55-64 years"	"55-64"	"Jan., 2011"	"2011/01"	123	Not Applicable	Not Applicable
	"Alameda County, CA"	"06001"	"55-64 years"	"55-64"	"Feb., 2011"	"2011/02"	103	Not Applicable	Not Applicable
	"Alameda County, CA"	"06001"	"55-64 years"	"55-64"	"Mar., 2011"	"2011/03"	109	Not Applicable	Not Applicable
	"Alameda County, CA"	"06001"	"55-64 years"	"55-64"	"Apr., 2011"	"2011/04"	103	Not Applicable	Not Applicable
	"Alameda County, CA"	"06001"	"55-64 years"	"55-64"	"May, 2011"	"2011/05"	108	Not Applicable	Not Applicable
	"Alameda County, CA"	"06001"	"55-64 years"	"55-64"	"Jun., 2011"	"2011/06"	129	Not Applicable	Not Applicable
	"Alameda County, CA"	"06001"	"55-64 years"	"55-64"	"Jul., 2011"	"2011/07"	98	Not Applicable	Not Applicable
	"Alameda County, CA"	"06001"	"55-64 years"	"55-64"	"Aug., 2011"	"2011/08"	99	Not Applicable	Not Applicable
	"Alameda County, CA"	"06001"	"55-64 years"	"55-64"	"Sep., 2011"	"2011/09"	108	Not Applicable	Not Applicable
	"Alameda County, CA"	"06001"	"55-64 years"	"55-64"	"Oct., 2011"	"2011/10"	105	Not Applicable	Not Applicable
	"Alameda County, CA"	"06001"	"55-64 years"	"55-64"	"Nov., 2011"	"2011/11"	117	Not Applicable	Not Applicable
	"Alameda County, CA"	"06001"	"55-64 years"	"55-64"	"Dec., 2011"	"2011/12"	117	Not Applicable	Not Applicable
	"Alameda County, CA"	"06001"	"55-64 years"	"55-64"	"Jan., 2012"	"2012/01"	101	Not Applicable	Not Applicable
	"Alameda County, CA"	"06001"	"55-64 years"	"55-64"	"Feb., 2012"	"2012/02"	87	Not Applicable	Not Applicable
	"Alameda County, CA"	"06001"	"55-64 years"	"55-64"	"Mar., 2012"	"2012/03"	125	Not Applicable	Not Applicable
	"Alameda County, CA"	"06001"	"55-64 years"	"55-64"	"Apr., 2012"	"2012/04"	101	Not Applicable	Not Applicable
	"Alameda County, CA"	"06001"	"55-64 years"	"55-64"	"May, 2012"	"2012/05"	96	Not Applicable	Not Applicable
	"Alameda County, CA"	"06001"	"55-64 years"	"55-64"	"Jun., 2012"	"2012/06"	98	Not Applicable	Not Applicable
	"Alameda County, CA"	"06001"	"55-64 years"	"55-64"	"Jul., 2012"	"2012/07"	102	Not Applicable	Not Applicable
	"Alameda County, CA"	"06001"	"55-64 years"	"55-64"	"Aug., 2012"	"2012/08"	110	Not Applicable	Not Applicable
	"Alameda County, CA"	"06001"	"55-64 years"	"55-64"	"Sep., 2012"	"2012/09"	113	Not Applicable	Not Applicable
	"Alameda County, CA"	"06001"	"55-64 years"	"55-64"	"Oct., 2012"	"2012/10"	109	Not Applicable	Not Applicable
	"Alameda County, CA"	"06001"	"55-64 years"	"55-64"	"Nov., 2012"	"2012/11"	113	Not Applicable	Not Applicable
	"Alameda County, CA"	"06001"	"55-64 years"	"55-64"	"Dec., 2012"	"2012/12"	128	Not Applicable	Not Applicable
	"Alameda County, CA"	"06001"	"55-64 years"	"55-64"	"Jan., 2013"	"2013/01"	126	Not Applicable	Not Applicable
	"Alameda County, CA"	"06001"	"55-64 years"	"55-64"	"Feb., 2013"	"2013/02"	109	Not Applicable	Not Applicable
	"Alameda County, CA"	"06001"	"55-64 years"	"55-64"	"Mar., 2013"	"2013/03"	114	Not Applicable	Not Applicable
	"Alameda County, CA"	"06001"	"55-64 years"	"55-64"	"Apr., 2013"	"2013/04"	103	Not Applicable	Not Applicable
	"Alameda County, CA"	"06001"	"55-64 years"	"55-64"	"May, 2013"	"2013/05"	102	Not Applicable	Not Applicable
	"Alameda County, CA"	"06001"	"55-64 years"	"55-64"	"Jun., 2013"	"2013/06"	102	Not Applicable	Not Applicable
	"Alameda County, CA"	"06001"	"55-64 years"	"55-64"	"Jul., 2013"	"2013/07"	115	Not Applicable	Not Applicable
	"Alameda County, CA"	"06001"	"55-64 years"	"55-64"	"Aug., 2013"	"2013/08"	99	Not Applicable	Not Applicable
	"Alameda County, CA"	"06001"	"55-64 years"	"55-64"	"Sep., 2013"	"2013/09"	105	Not Applicable	Not Applicable
	"Alameda County, CA"	"06001"	"55-64 years"	"55-64"	"Oct., 2013"	"2013/10"	78	Not Applicable	Not Applicable
	"Alameda County, CA"	"06001"	"55-64 years"	"55-64"	"Nov., 2013"	"2013/11"	102	Not Applicable	Not Applicable
	"Alameda County, CA"	"06001"	"55-64 years"	"55-64"	"Dec., 2013"	"2013/12"	118	Not Applicable	Not Applicable
	"Alameda County, CA"	"06001"	"55-64 years"	"55-64"	"Jan., 2014"	"2014/01"	125	Not Applicable	Not Applicable
	"Alameda County, CA"	"06001"	"55-64 years"	"55-64"	"Feb., 2014"	"2014/02"	107	Not Applicable	Not Applicable
	"Alameda County, CA"	"06001"	"55-64 years"	"55-64"	"Mar., 2014"	"2014/03"	115	Not Applicable	Not Applicable
	"Alameda County, CA"	"06001"	"55-64 years"	"55-64"	"Apr., 2014"	"2014/04"	109	Not Applicable	Not Applicable
	"Alameda County, CA"	"06001"	"55-64 years"	"55-64"	"May, 2014"	"2014/05"	107	Not Applicable	Not Applicable
	"Alameda County, CA"	"06001"	"55-64 years"	"55-64"	"Jun., 2014"	"2014/06"	90	Not Applicable	Not Applicable
	"Alameda County, CA"	"06001"	"55-64 years"	"55-64"	"Jul., 2014"	"2014/07"	99	Not Applicable	Not Applicable
	"Alameda County, CA"	"06001"	"55-64 years"	"55-64"	"Aug., 2014"	"2014/08"	108	Not Applicable	Not Applicable
	"Alameda County, CA"	"06001"	"55-64 years"	"55-64"	"Sep., 2014"	"2014/09"	110	Not Applicable	Not Applicable
	"Alameda County, CA"	"06001"	"55-64 years"	"55-64"	"Oct., 2014"	"2014/10"	103	Not Applicable	Not Applicable
	"Alameda County, CA"	"06001"	"55-64 years"	"55-64"	"Nov., 2014"	"2014/11"	119	Not Applicable	Not Applicable
	"Alameda County, CA"	"06001"	"55-64 years"	"55-64"	"Dec., 2014"	"2014/12"	109	Not Applicable	Not Applicable
	"Alameda County, CA"	"06001"	"55-64 years"	"55-64"	"Jan., 2015"	"2015/01"	127	Not Applicable	Not Applicable
