"Notes"	"County"	"County Code"	"Ten-Year Age Groups"	"Ten-Year Age Groups Code"	"Month"	"Month Code"	Deaths	Population	Crude Rate
	"Adams County, CO"	"08001"	"55-64 years"	"55-64"	"Jan., 2010"	"2010/01"	30	Not Applicable	Not Applicable
	"Adams County, CO"	"08001"	"55-64 years"	"55-64"	"Feb., 2010"	"2010/02"	34	Not Applicable	Not Applicable
	"Adams County, CO"	"08001"	"55-64 years"	"55-64"	"Mar., 2010"	"2010/03"	29	Not Applicable	Not Applicable
	"Adams County, CO"	"08001"	"55-64 years"	"55-64"	"Apr., 2010"	"2010/04"	26	Not Applicable	Not Applicable
	"Adams County, CO"	"08001"	"55-64 years"	"55-64"	"May, 2010"	"2010/05"	28	Not Applicable	Not Applicable
	"Adams County, CO"	"08001"	"55-64 years"	"55-64"	"Jun., 2010"	"2010/06"	26	Not Applicable	Not Applicable
	"Adams County, CO"	"08001"	"55-64 years"	"55-64"	"Jul., 2010"	"2010/07"	25	Not Applicable	Not Applicable
	"Adams County, CO"	"08001"	"55-64 years"	"55-64"	"Aug., 2010"	"2010/08"	31	Not Applicable	Not Applicable
	"Adams County, CO"	"08001"	"55-64 years"	"55-64"	"Sep., 2010"	"2010/09"	24	Not Applicable	Not Applicable
	"Adams County, CO"	"08001"	"55-64 years"	"55-64"	"Oct., 2010"	"2010/10"	41	Not Applicable	Not Applicable
	"Adams County, CO"	"08001"	"55-64 years"	"55-64"	"Nov., 2010"	"2010/11"	25	Not Applicable	Not Applicable
	"Adams County, CO"	"08001"	"55-64 years"	"55-64"	"Dec., 2010"	"2010/12"	43	Not Applicable	Not Applicable
	"Adams County, CO"	"08001"	"55-64 years"	"55-64"	"Jan., 2011"	"2011/01"	39	Not Applicable	Not Applicable
	"Adams County, CO"	"08001"	"55-64 years"	"55-64"	"Feb., 2011"	"2011/02"	27	Not Applicable	Not Applicable
	"Adams County, CO"	"08001"	"55-64 years"	"55-64"	"Mar., 2011"	"2011/03"	25	Not Applicable	Not Applicable
	"Adams County, CO"	"08001"	"55-64 years"	"55-64"	"Apr., 2011"	"2011/04"	30	Not Applicable	Not Applicable
	"Adams County, CO"	"08001"	"55-64 years"	"55-64"	"May, 2011"	"2011/05"	33	Not Applicable	Not Applicable
	"Adams County, CO"	"08001"	"55-64 years"	"55-64"	"Jun., 2011"	"2011/06"	31	Not Applicable	Not Applicable
	"Adams County, CO"	"08001"	"55-64 years"	"55-64"	"Jul., 2011"	"2011/07"	34	Not Applicable	Not Applicable
	"Adams County, CO"	"08001"	"55-64 years"	"55-64"	"Aug., 2011"	"2011/08"	38	Not Applicable	Not Applicable
	"Adams County, CO"	"08001"	"55-64 years"	"55-64"	"Sep., 2011"	"2011/09"	36	Not Applicable	Not Applicable
	"Adams County, CO"	"08001"	"55-64 years"	"55-64"	"Oct., 2011"	"2011/10"	29	Not Applicable	Not Applicable
	"Adams County, CO"	"08001"	"55-64 years"	"55-64"	"Nov., 2011"	"2011/11"	34	Not Applicable	Not Applicable
	"Adams County, CO"	"08001"	"55-64 years"	"55-64"	"Dec., 2011"	"2011/12"	26	Not Applicable	Not Applicable
	"Adams County, CO"	"08001"	"55-64 years"	"55-64"	"Jan., 2012"	"2012/01"	23	Not Applicable	Not Applicable
	"Adams County, CO"	"08001"	"55-64 years"	"55-64"	"Feb., 2012"	"2012/02"	32	Not Applicable	Not Applicable
	"Adams County, CO"	"08001"	"55-64 years"	"55-64"	"Mar., 2012"	"2012/03"	33	Not Applicable	Not Applicable
	"Adams County, CO"	"08001"	"55-64 years"	"55-64"	"Apr., 2012"	"2012/04"	31	Not Applicable	Not Applicable
	"Adams County, CO"	"08001"	"55-64 years"	"55-64"	"May, 2012"	"2012/05"	34	Not Applicable	Not Applicable
	"Adams County, CO"	"08001"	"55-64 years"	"55-64"	"Jun., 2012"	"2012/06"	34	Not Applicable	Not Applicable
	"Adams County, CO"	"08001"	"55-64 years"	"55-64"	"Jul., 2012"	"2012/07"	23	Not Applicable	Not Applicable
	"Adams County, CO"	"08001"	"55-64 years"	"55-64"	"Aug., 2012"	"2012/08"	35	Not Applicable	Not Applicable
	"Adams County, CO"	"08001"	"55-64 years"	"55-64"	"Sep., 2012"	"2012/09"	36	Not Applicable	Not Applicable
	"Adams County, CO"	"08001"	"55-64 years"	"55-64"	"Oct., 2012"	"2012/10"	38	Not Applicable	Not Applicable
	"Adams County, CO"	"08001"	"55-64 years"	"55-64"	"Nov., 2012"	"2012/11"	33	Not Applicable	Not Applicable
	"Adams County, CO"	"08001"	"55-64 years"	"55-64"	"Dec., 2012"	"2012/12"	40	Not Applicable	Not Applicable
	"Adams County, CO"	"08001"	"65-74 years"	"65-74"	"Jan., 2010"	"2010/01"	29	Not Applicable	Not Applicable
	"Adams County, CO"	"08001"	"65-74 years"	"65-74"	"Feb., 2010"	"2010/02"	37	Not Applicable	Not Applicable
	"Adams County, CO"	"08001"	"65-74 years"	"65-74"	"Mar., 2010"	"2010/03"	37	Not Applicable	Not Applicable
	"Adams County, CO"	"08001"	"65-74 years"	"65-74"	"Apr., 2010"	"2010/04"	46	Not Applicable	Not Applicable
	"Adams County, CO"	"08001"	"65-74 years"	"65-74"	"May, 2010"	"2010/05"	28	Not Applicable	Not Applicable
	"Adams County, CO"	"08001"	"65-74 years"	"65-74"	"Jun., 2010"	"2010/06"	23	Not Applicable	Not Applicable
	"Adams County, CO"	"08001"	"65-74 years"	"65-74"	"Jul., 2010"	"2010/07"	30	Not Applicable	Not Applicable
	"Adams County, CO"	"08001"	"65-74 years"	"65-74"	"Aug., 2010"	"2010/08"	42	Not Applicable	Not Applicable
	"Adams County, CO"	"08001"	"65-74 years"	"65-74"	"Sep., 2010"	"2010/09"	34	Not Applicable	Not Applicable
	"Adams County, CO"	"08001"	"65-74 years"	"65-74"	"Oct., 2010"	"2010/10"	27	Not Applicable	Not Applicable
	"Adams County, CO"	"08001"	"65-74 years"	"65-74"	"Nov., 2010"	"2010/11"	37	Not Applicable	Not Applicable
	"Adams County, CO"	"08001"	"65-74 years"	"65-74"	"Dec., 2010"	"2010/12"	31	Not Applicable	Not Applicable
	"Adams County, CO"	"08001"	"65-74 years"	"65-74"	"Jan., 2011"	"2011/01"	38	Not Applicable	Not Applicable
	"Adams County, CO"	"08001"	"65-74 years"	"65-74"	"Feb., 2011"	"2011/02"	32	Not Applicable	Not Applicable
	"Adams County, CO"	"08001"	"65-74 years"	"65-74"	"Mar., 2011"	"2011/03"	44	Not Applicable	Not Applicable
	"Adams County, CO"	"08001"	"65-74 years"	"65-74"	"Apr., 2011"	"2011/04"	33	Not Applicable	Not Applicable
	"Adams County, CO"	"08001"	"65-74 years"	"65-74"	"May, 2011"	"2011/05"	45	Not Applicable	Not Applicable
	"Adams County, CO"	"08001"	"65-74 years"	"65-74"	"Jun., 2011"	"2011/06"	35	Not Applicable	Not Applicable
	"Adams County, CO"	"08001"	"65-74 years"	"65-74"	"Jul., 2011"	"2011/07"	35	Not Applicable	Not Applicable
	"Adams County, CO"	"08001"	"65-74 years"	"65-74"	"Aug., 2011"	"2011/08"	34	Not Applicable	Not Applicable
	"Adams County, CO"	"08001"	"65-74 years"	"65-74"	"Sep., 2011"	"2011/09"	32	Not Applicable	Not Applicable
	"Adams County, CO"	"08001"	"65-74 years"	"65-74"	"Oct., 2011"	"2011/10"	39	Not Applicable	Not Applicable
	"Adams County, CO"	"08001"	"65-74 years"	"65-74"	"Nov., 2011"	"2011/11"	43	Not Applicable	Not Applicable
	"Adams County, CO"	"08001"	"65-74 years"	"65-74"	"Dec., 2011"	"2011/12"	38	Not Applicable	Not Applicable
	"Adams County, CO"	"08001"	"65-74 years"	"65-74"	"Jan., 2012"	"2012/01"	39	Not Applicable	Not Applicable
	"Adams County, CO"	"08001"	"65-74 years"	"65-74"	"Feb., 2012"	"2012/02"	56	Not Applicable	Not Applicable
	"Adams County, CO"	"08001"	"65-74 years"	"65-74"	"Mar., 2012"	"2012/03"	43	Not Applicable	Not Applicable
	"Adams County, CO"	"08001"	"65-74 years"	"65-74"	"Apr., 2012"	"2012/04"	54	Not Applicable	Not Applicable
	"Adams County, CO"	"08001"	"65-74 years"	"65-74"	"May, 2012"	"2012/05"	47	Not Applicable	Not Applicable
	"Adams County, CO"	"08001"	"65-74 years"	"65-74"	"Jun., 2012"	"2012/06"	33	Not Applicable	Not Applicable
	"Adams County, CO"	"08001"	"65-74 years"	"65-74"	"Jul., 2012"	"2012/07"	34	Not Applicable	Not Applicable
