"Notes"	"County"	"County Code"	"Ten-Year Age Groups"	"Ten-Year Age Groups Code"	"Month"	"Month Code"	Deaths	Population	Crude Rate
	"Kent County, DE"	"10001"	"55-64 years"	"55-64"	"Jan., 2010"	"2010/01"	11	Not Applicable	Not Applicable
	"Kent County, DE"	"10001"	"55-64 years"	"55-64"	"Feb., 2010"	"2010/02"	16	Not Applicable	Not Applicable
	"Kent County, DE"	"10001"	"55-64 years"	"55-64"	"Mar., 2010"	"2010/03"	10	Not Applicable	Not Applicable
	"Kent County, DE"	"10001"	"55-64 years"	"55-64"	"Apr., 2010"	"2010/04"	13	Not Applicable	Not Applicable
	"Kent County, DE"	"10001"	"55-64 years"	"55-64"	"May, 2010"	"2010/05"	18	Not Applicable	Not Applicable
	"Kent County, DE"	"10001"	"55-64 years"	"55-64"	"Jun., 2010"	"2010/06"	11	Not Applicable	Not Applicable
	"Kent County, DE"	"10001"	"55-64 years"	"55-64"	"Jul., 2010"	"2010/07"	16	Not Applicable	Not Applicable
	"Kent County, DE"	"10001"	"55-64 years"	"55-64"	"Aug., 2010"	"2010/08"	14	Not Applicable	Not Applicable
	"Kent County, DE"	"10001"	"55-64 years"	"55-64"	"Sep., 2010"	"2010/09"	19	Not Applicable	Not Applicable
	"Kent County, DE"	"10001"	"55-64 years"	"55-64"	"Oct., 2010"	"2010/10"	20	Not Applicable	Not Applicable
	"Kent County, DE"	"10001"	"55-64 years"	"55-64"	"Nov., 2010"	"2010/11"	22	Not Applicable	Not Applicable
	"Kent County, DE"	"10001"	"55-64 years"	"55-64"	"Dec., 2010"	"2010/12"	17	Not Applicable	Not Applicable
	"Kent County, DE"	"10001"	"55-64 years"	"55-64"	"Jan., 2011"	"2011/01"	19	Not Applicable	Not Applicable
	"Kent County, DE"	"10001"	"55-64 years"	"55-64"	"Feb., 2011"	"2011/02"	10	Not Applicable	Not Applicable
	"Kent County, DE"	"10001"	"55-64 years"	"55-64"	"Mar., 2011"	"2011/03"	17	Not Applicable	Not Applicable
	"Kent County, DE"	"10001"	"55-64 years"	"55-64"	"Apr., 2011"	"2011/04"	15	Not Applicable	Not Applicable
	"Kent County, DE"	"10001"	"55-64 years"	"55-64"	"May, 2011"	"2011/05"	19	Not Applicable	Not Applicable
	"Kent County, DE"	"10001"	"55-64 years"	"55-64"	"Jun., 2011"	"2011/06"	10	Not Applicable	Not Applicable
	"Kent County, DE"	"10001"	"55-64 years"	"55-64"	"Jul., 2011"	"2011/07"	17	Not Applicable	Not Applicable
	"Kent County, DE"	"10001"	"55-64 years"	"55-64"	"Aug., 2011"	"2011/08"	17	Not Applicable	Not Applicable
	"Kent County, DE"	"10001"	"55-64 years"	"55-64"	"Sep., 2011"	"2011/09"	12	Not Applicable	Not Applicable
	"Kent County, DE"	"10001"	"55-64 years"	"55-64"	"Oct., 2011"	"2011/10"	11	Not Applicable	Not Applicable
	"Kent County, DE"	"10001"	"55-64 years"	"55-64"	"Nov., 2011"	"2011/11"	15	Not Applicable	Not Applicable
	"Kent County, DE"	"10001"	"55-64 years"	"55-64"	"Dec., 2011"	"2011/12"	16	Not Applicable	Not Applicable
	"Kent County, DE"	"10001"	"55-64 years"	"55-64"	"Jan., 2012"	"2012/01"	15	Not Applicable	Not Applicable
	"Kent County, DE"	"10001"	"55-64 years"	"55-64"	"Feb., 2012"	"2012/02"	21	Not Applicable	Not Applicable
	"Kent County, DE"	"10001"	"55-64 years"	"55-64"	"Mar., 2012"	"2012/03"	13	Not Applicable	Not Applicable
	"Kent County, DE"	"10001"	"55-64 years"	"55-64"	"Apr., 2012"	"2012/04"	13	Not Applicable	Not Applicable
	"Kent County, DE"	"10001"	"55-64 years"	"55-64"	"May, 2012"	"2012/05"	18	Not Applicable	Not Applicable
	"Kent County, DE"	"10001"	"55-64 years"	"55-64"	"Jun., 2012"	"2012/06"	15	Not Applicable	Not Applicable
	"Kent County, DE"	"10001"	"55-64 years"	"55-64"	"Jul., 2012"	"2012/07"	14	Not Applicable	Not Applicable
	"Kent County, DE"	"10001"	"55-64 years"	"55-64"	"Aug., 2012"	"2012/08"	18	Not Applicable	Not Applicable
	"Kent County, DE"	"10001"	"55-64 years"	"55-64"	"Sep., 2012"	"2012/09"	19	Not Applicable	Not Applicable
	"Kent County, DE"	"10001"	"55-64 years"	"55-64"	"Oct., 2012"	"2012/10"	22	Not Applicable	Not Applicable
	"Kent County, DE"	"10001"	"55-64 years"	"55-64"	"Nov., 2012"	"2012/11"	13	Not Applicable	Not Applicable
	"Kent County, DE"	"10001"	"55-64 years"	"55-64"	"Dec., 2012"	"2012/12"	21	Not Applicable	Not Applicable
	"Kent County, DE"	"10001"	"55-64 years"	"55-64"	"Jan., 2013"	"2013/01"	16	Not Applicable	Not Applicable
	"Kent County, DE"	"10001"	"55-64 years"	"55-64"	"Feb., 2013"	"2013/02"	10	Not Applicable	Not Applicable
	"Kent County, DE"	"10001"	"55-64 years"	"55-64"	"Mar., 2013"	"2013/03"	10	Not Applicable	Not Applicable
	"Kent County, DE"	"10001"	"55-64 years"	"55-64"	"Apr., 2013"	"2013/04"	19	Not Applicable	Not Applicable
