"Notes"	"County"	"County Code"	"Ten-Year Age Groups"	"Ten-Year Age Groups Code"	"Month"	"Month Code"	Deaths	Population	Crude Rate
	"District of Columbia, DC"	"11001"	"55-64 years"	"55-64"	"Jan., 2010"	"2010/01"	59	Not Applicable	Not Applicable
	"District of Columbia, DC"	"11001"	"55-64 years"	"55-64"	"Feb., 2010"	"2010/02"	74	Not Applicable	Not Applicable
	"District of Columbia, DC"	"11001"	"55-64 years"	"55-64"	"Mar., 2010"	"2010/03"	57	Not Applicable	Not Applicable
	"District of Columbia, DC"	"11001"	"55-64 years"	"55-64"	"Apr., 2010"	"2010/04"	58	Not Applicable	Not Applicable
	"District of Columbia, DC"	"11001"	"55-64 years"	"55-64"	"May, 2010"	"2010/05"	70	Not Applicable	Not Applicable
	"District of Columbia, DC"	"11001"	"55-64 years"	"55-64"	"Jun., 2010"	"2010/06"	62	Not Applicable	Not Applicable
	"District of Columbia, DC"	"11001"	"55-64 years"	"55-64"	"Jul., 2010"	"2010/07"	54	Not Applicable	Not Applicable
	"District of Columbia, DC"	"11001"	"55-64 years"	"55-64"	"Aug., 2010"	"2010/08"	43	Not Applicable	Not Applicable
	"District of Columbia, DC"	"11001"	"55-64 years"	"55-64"	"Sep., 2010"	"2010/09"	66	Not Applicable	Not Applicable
	"District of Columbia, DC"	"11001"	"55-64 years"	"55-64"	"Oct., 2010"	"2010/10"	63	Not Applicable	Not Applicable
	"District of Columbia, DC"	"11001"	"55-64 years"	"55-64"	"Nov., 2010"	"2010/11"	76	Not Applicable	Not Applicable
	"District of Columbia, DC"	"11001"	"55-64 years"	"55-64"	"Dec., 2010"	"2010/12"	66	Not Applicable	Not Applicable
	"District of Columbia, DC"	"11001"	"55-64 years"	"55-64"	"Jan., 2011"	"2011/01"	59	Not Applicable	Not Applicable
	"District of Columbia, DC"	"11001"	"55-64 years"	"55-64"	"Feb., 2011"	"2011/02"	73	Not Applicable	Not Applicable
	"District of Columbia, DC"	"11001"	"55-64 years"	"55-64"	"Mar., 2011"	"2011/03"	76	Not Applicable	Not Applicable
	"District of Columbia, DC"	"11001"	"55-64 years"	"55-64"	"Apr., 2011"	"2011/04"	61	Not Applicable	Not Applicable
	"District of Columbia, DC"	"11001"	"55-64 years"	"55-64"	"May, 2011"	"2011/05"	68	Not Applicable	Not Applicable
	"District of Columbia, DC"	"11001"	"55-64 years"	"55-64"	"Jun., 2011"	"2011/06"	58	Not Applicable	Not Applicable
	"District of Columbia, DC"	"11001"	"55-64 years"	"55-64"	"Jul., 2011"	"2011/07"	72	Not Applicable	Not Applicable
	"District of Columbia, DC"	"11001"	"55-64 years"	"55-64"	"Aug., 2011"	"2011/08"	66	Not Applicable	Not Applicable
	"District of Columbia, DC"	"11001"	"55-64 years"	"55-64"	"Sep., 2011"	"2011/09"	59	Not Applicable	Not Applicable
