"Notes"	"County"	"County Code"	"Ten-Year Age Groups"	"Ten-Year Age Groups Code"	"Month"	"Month Code"	Deaths	Population	Crude Rate
	"Alachua County, FL"	"12001"	"55-64 years"	"55-64"	"Jan., 2010"	"2010/01"	25	Not Applicable	Not Applicable
	"Alachua County, FL"	"12001"	"55-64 years"	"55-64"	"Feb., 2010"	"2010/02"	19	Not Applicable	Not Applicable
	"Alachua County, FL"	"12001"	"55-64 years"	"55-64"	"Mar., 2010"	"2010/03"	29	Not Applicable	Not Applicable
	"Alachua County, FL"	"12001"	"55-64 years"	"55-64"	"Apr., 2010"	"2010/04"	20	Not Applicable	Not Applicable
	"Alachua County, FL"	"12001"	"55-64 years"	"55-64"	"May, 2010"	"2010/05"	15	Not Applicable	Not Applicable
	"Alachua County, FL"	"12001"	"55-64 years"	"55-64"	"Jun., 2010"	"2010/06"	19	Not Applicable	Not Applicable
	"Alachua County, FL"	"12001"	"55-64 years"	"55-64"	"Jul., 2010"	"2010/07"	13	Not Applicable	Not Applicable
	"Alachua County, FL"	"12001"	"55-64 years"	"55-64"	"Aug., 2010"	"2010/08"	16	Not Applicable	Not Applicable
	"Alachua County, FL"	"12001"	"55-64 years"	"55-64"	"Sep., 2010"	"2010/09"	13	Not Applicable	Not Applicable
	"Alachua County, FL"	"12001"	"55-64 years"	"55-64"	"Oct., 2010"	"2010/10"	21	Not Applicable	Not Applicable
	"Alachua County, FL"	"12001"	"55-64 years"	"55-64"	"Nov., 2010"	"2010/11"	18	Not Applicable	Not Applicable
	"Alachua County, FL"	"12001"	"55-64 years"	"55-64"	"Dec., 2010"	"2010/12"	24	Not Applicable	Not Applicable
	"Alachua County, FL"	"12001"	"55-64 years"	"55-64"	"Jan., 2011"	"2011/01"	25	Not Applicable	Not Applicable
	"Alachua County, FL"	"12001"	"55-64 years"	"55-64"	"Feb., 2011"	"2011/02"	22	Not Applicable	Not Applicable
	"Alachua County, FL"	"12001"	"55-64 years"	"55-64"	"Mar., 2011"	"2011/03"	27	Not Applicable	Not Applicable
	"Alachua County, FL"	"12001"	"55-64 years"	"55-64"	"Apr., 2011"	"2011/04"	20	Not Applicable	Not Applicable
	"Alachua County, FL"	"12001"	"55-64 years"	"55-64"	"May, 2011"	"2011/05"	27	Not Applicable	Not Applicable
	"Alachua County, FL"	"12001"	"55-64 years"	"55-64"	"Jun., 2011"	"2011/06"	21	Not Applicable	Not Applicable
	"Alachua County, FL"	"12001"	"55-64 years"	"55-64"	"Jul., 2011"	"2011/07"	20	Not Applicable	Not Applicable
	"Alachua County, FL"	"12001"	"55-64 years"	"55-64"	"Aug., 2011"	"2011/08"	23	Not Applicable	Not Applicable
	"Alachua County, FL"	"12001"	"55-64 years"	"55-64"	"Sep., 2011"	"2011/09"	23	Not Applicable	Not Applicable
	"Alachua County, FL"	"12001"	"55-64 years"	"55-64"	"Oct., 2011"	"2011/10"	17	Not Applicable	Not Applicable
	"Alachua County, FL"	"12001"	"55-64 years"	"55-64"	"Nov., 2011"	"2011/11"	19	Not Applicable	Not Applicable
	"Alachua County, FL"	"12001"	"55-64 years"	"55-64"	"Dec., 2011"	"2011/12"	20	Not Applicable	Not Applicable
	"Alachua County, FL"	"12001"	"55-64 years"	"55-64"	"Jan., 2012"	"2012/01"	15	Not Applicable	Not Applicable
	"Alachua County, FL"	"12001"	"55-64 years"	"55-64"	"Feb., 2012"	"2012/02"	19	Not Applicable	Not Applicable
	"Alachua County, FL"	"12001"	"55-64 years"	"55-64"	"Mar., 2012"	"2012/03"	20	Not Applicable	Not Applicable
	"Alachua County, FL"	"12001"	"55-64 years"	"55-64"	"Apr., 2012"	"2012/04"	19	Not Applicable	Not Applicable
	"Alachua County, FL"	"12001"	"55-64 years"	"55-64"	"May, 2012"	"2012/05"	19	Not Applicable	Not Applicable
	"Alachua County, FL"	"12001"	"55-64 years"	"55-64"	"Jun., 2012"	"2012/06"	18	Not Applicable	Not Applicable
	"Alachua County, FL"	"12001"	"55-64 years"	"55-64"	"Jul., 2012"	"2012/07"	21	Not Applicable	Not Applicable
	"Alachua County, FL"	"12001"	"55-64 years"	"55-64"	"Aug., 2012"	"2012/08"	16	Not Applicable	Not Applicable
	"Alachua County, FL"	"12001"	"55-64 years"	"55-64"	"Sep., 2012"	"2012/09"	19	Not Applicable	Not Applicable
	"Alachua County, FL"	"12001"	"55-64 years"	"55-64"	"Oct., 2012"	"2012/10"	23	Not Applicable	Not Applicable
	"Alachua County, FL"	"12001"	"55-64 years"	"55-64"	"Nov., 2012"	"2012/11"	24	Not Applicable	Not Applicable
	"Alachua County, FL"	"12001"	"55-64 years"	"55-64"	"Dec., 2012"	"2012/12"	20	Not Applicable	Not Applicable
	"Alachua County, FL"	"12001"	"65-74 years"	"65-74"	"Jan., 2010"	"2010/01"	19	Not Applicable	Not Applicable
	"Alachua County, FL"	"12001"	"65-74 years"	"65-74"	"Feb., 2010"	"2010/02"	19	Not Applicable	Not Applicable
	"Alachua County, FL"	"12001"	"65-74 years"	"65-74"	"Mar., 2010"	"2010/03"	22	Not Applicable	Not Applicable
	"Alachua County, FL"	"12001"	"65-74 years"	"65-74"	"Apr., 2010"	"2010/04"	23	Not Applicable	Not Applicable
	"Alachua County, FL"	"12001"	"65-74 years"	"65-74"	"May, 2010"	"2010/05"	25	Not Applicable	Not Applicable
	"Alachua County, FL"	"12001"	"65-74 years"	"65-74"	"Jun., 2010"	"2010/06"	17	Not Applicable	Not Applicable
	"Alachua County, FL"	"12001"	"65-74 years"	"65-74"	"Jul., 2010"	"2010/07"	28	Not Applicable	Not Applicable
	"Alachua County, FL"	"12001"	"65-74 years"	"65-74"	"Aug., 2010"	"2010/08"	22	Not Applicable	Not Applicable
	"Alachua County, FL"	"12001"	"65-74 years"	"65-74"	"Sep., 2010"	"2010/09"	24	Not Applicable	Not Applicable
	"Alachua County, FL"	"12001"	"65-74 years"	"65-74"	"Oct., 2010"	"2010/10"	24	Not Applicable	Not Applicable
	"Alachua County, FL"	"12001"	"65-74 years"	"65-74"	"Nov., 2010"	"2010/11"	26	Not Applicable	Not Applicable
	"Alachua County, FL"	"12001"	"65-74 years"	"65-74"	"Dec., 2010"	"2010/12"	27	Not Applicable	Not Applicable
	"Alachua County, FL"	"12001"	"65-74 years"	"65-74"	"Jan., 2011"	"2011/01"	24	Not Applicable	Not Applicable
	"Alachua County, FL"	"12001"	"65-74 years"	"65-74"	"Feb., 2011"	"2011/02"	26	Not Applicable	Not Applicable
	"Alachua County, FL"	"12001"	"65-74 years"	"65-74"	"Mar., 2011"	"2011/03"	19	Not Applicable	Not Applicable
	"Alachua County, FL"	"12001"	"65-74 years"	"65-74"	"Apr., 2011"	"2011/04"	22	Not Applicable	Not Applicable
	"Alachua County, FL"	"12001"	"65-74 years"	"65-74"	"May, 2011"	"2011/05"	15	Not Applicable	Not Applicable
	"Alachua County, FL"	"12001"	"65-74 years"	"65-74"	"Jun., 2011"	"2011/06"	19	Not Applicable	Not Applicable
	"Alachua County, FL"	"12001"	"65-74 years"	"65-74"	"Jul., 2011"	"2011/07"	27	Not Applicable	Not Applicable
	"Alachua County, FL"	"12001"	"65-74 years"	"65-74"	"Aug., 2011"	"2011/08"	24	Not Applicable	Not Applicable
	"Alachua County, FL"	"12001"	"65-74 years"	"65-74"	"Sep., 2011"	"2011/09"	15	Not Applicable	Not Applicable
	"Alachua County, FL"	"12001"	"65-74 years"	"65-74"	"Oct., 2011"	"2011/10"	24	Not Applicable	Not Applicable
	"Alachua County, FL"	"12001"	"65-74 years"	"65-74"	"Nov., 2011"	"2011/11"	17	Not Applicable	Not Applicable
	"Alachua County, FL"	"12001"	"65-74 years"	"65-74"	"Dec., 2011"	"2011/12"	26	Not Applicable	Not Applicable
	"Alachua County, FL"	"12001"	"65-74 years"	"65-74"	"Jan., 2012"	"2012/01"	28	Not Applicable	Not Applicable
	"Alachua County, FL"	"12001"	"65-74 years"	"65-74"	"Feb., 2012"	"2012/02"	21	Not Applicable	Not Applicable
	"Alachua County, FL"	"12001"	"65-74 years"	"65-74"	"Mar., 2012"	"2012/03"	23	Not Applicable	Not Applicable
	"Alachua County, FL"	"12001"	"65-74 years"	"65-74"	"Apr., 2012"	"2012/04"	24	Not Applicable	Not Applicable
	"Alachua County, FL"	"12001"	"65-74 years"	"65-74"	"May, 2012"	"2012/05"	30	Not Applicable	Not Applicable
	"Alachua County, FL"	"12001"	"65-74 years"	"65-74"	"Jun., 2012"	"2012/06"	17	Not Applicable	Not Applicable
	"Alachua County, FL"	"12001"	"65-74 years"	"65-74"	"Jul., 2012"	"2012/07"	19	Not Applicable	Not Applicable
	"Alachua County, FL"	"12001"	"65-74 years"	"65-74"	"Aug., 2012"	"2012/08"	28	Not Applicable	Not Applicable
	"Alachua County, FL"	"12001"	"65-74 years"	"65-74"	"Sep., 2012"	"2012/09"	26	Not Applicable	Not Applicable
	"Alachua County, FL"	"12001"	"65-74 years"	"65-74"	"Oct., 2012"	"2012/10"	25	Not Applicable	Not Applicable
	"Alachua County, FL"	"12001"	"65-74 years"	"65-74"	"Nov., 2012"	"2012/11"	25	Not Applicable	Not Applicable
	"Alachua County, FL"	"12001"	"65-74 years"	"65-74"	"Dec., 2012"	"2012/12"	26	Not Applicable	Not Applicable
	"Alachua County, FL"	"12001"	"75-84 years"	"75-84"	"Jan., 2010"	"2010/01"	51	Not Applicable	Not Applicable
	"Alachua County, FL"	"12001"	"75-84 years"	"75-84"	"Feb., 2010"	"2010/02"	22	Not Applicable	Not Applicable
	"Alachua County, FL"	"12001"	"75-84 years"	"75-84"	"Mar., 2010"	"2010/03"	46	Not Applicable	Not Applicable
	"Alachua County, FL"	"12001"	"75-84 years"	"75-84"	"Apr., 2010"	"2010/04"	34	Not Applicable	Not Applicable
	"Alachua County, FL"	"12001"	"75-84 years"	"75-84"	"May, 2010"	"2010/05"	35	Not Applicable	Not Applicable
	"Alachua County, FL"	"12001"	"75-84 years"	"75-84"	"Jun., 2010"	"2010/06"	29	Not Applicable	Not Applicable
	"Alachua County, FL"	"12001"	"75-84 years"	"75-84"	"Jul., 2010"	"2010/07"	26	Not Applicable	Not Applicable
	"Alachua County, FL"	"12001"	"75-84 years"	"75-84"	"Aug., 2010"	"2010/08"	30	Not Applicable	Not Applicable
	"Alachua County, FL"	"12001"	"75-84 years"	"75-84"	"Sep., 2010"	"2010/09"	37	Not Applicable	Not Applicable
	"Alachua County, FL"	"12001"	"75-84 years"	"75-84"	"Oct., 2010"	"2010/10"	31	Not Applicable	Not Applicable
	"Alachua County, FL"	"12001"	"75-84 years"	"75-84"	"Nov., 2010"	"2010/11"	26	Not Applicable	Not Applicable
	"Alachua County, FL"	"12001"	"75-84 years"	"75-84"	"Dec., 2010"	"2010/12"	39	Not Applicable	Not Applicable
	"Alachua County, FL"	"12001"	"75-84 years"	"75-84"	"Jan., 2011"	"2011/01"	42	Not Applicable	Not Applicable
