"Notes"	"County"	"County Code"	"Ten-Year Age Groups"	"Ten-Year Age Groups Code"	"Month"	"Month Code"	Deaths	Population	Crude Rate
	"Hawaii County, HI"	"15001"	"55-64 years"	"55-64"	"Jan., 2010"	"2010/01"	18	Not Applicable	Not Applicable
	"Hawaii County, HI"	"15001"	"55-64 years"	"55-64"	"Feb., 2010"	"2010/02"	17	Not Applicable	Not Applicable
	"Hawaii County, HI"	"15001"	"55-64 years"	"55-64"	"Mar., 2010"	"2010/03"	17	Not Applicable	Not Applicable
	"Hawaii County, HI"	"15001"	"55-64 years"	"55-64"	"Apr., 2010"	"2010/04"	18	Not Applicable	Not Applicable
	"Hawaii County, HI"	"15001"	"55-64 years"	"55-64"	"May, 2010"	"2010/05"	14	Not Applicable	Not Applicable
	"Hawaii County, HI"	"15001"	"55-64 years"	"55-64"	"Jun., 2010"	"2010/06"	16	Not Applicable	Not Applicable
	"Hawaii County, HI"	"15001"	"55-64 years"	"55-64"	"Jul., 2010"	"2010/07"	13	Not Applicable	Not Applicable
	"Hawaii County, HI"	"15001"	"55-64 years"	"55-64"	"Aug., 2010"	"2010/08"	17	Not Applicable	Not Applicable
	"Hawaii County, HI"	"15001"	"55-64 years"	"55-64"	"Sep., 2010"	"2010/09"	11	Not Applicable	Not Applicable
	"Hawaii County, HI"	"15001"	"55-64 years"	"55-64"	"Oct., 2010"	"2010/10"	18	Not Applicable	Not Applicable
	"Hawaii County, HI"	"15001"	"55-64 years"	"55-64"	"Nov., 2010"	"2010/11"	22	Not Applicable	Not Applicable
	"Hawaii County, HI"	"15001"	"55-64 years"	"55-64"	"Dec., 2010"	"2010/12"	15	Not Applicable	Not Applicable
	"Hawaii County, HI"	"15001"	"55-64 years"	"55-64"	"Jan., 2011"	"2011/01"	20	Not Applicable	Not Applicable
	"Hawaii County, HI"	"15001"	"55-64 years"	"55-64"	"Feb., 2011"	"2011/02"	19	Not Applicable	Not Applicable
	"Hawaii County, HI"	"15001"	"55-64 years"	"55-64"	"Mar., 2011"	"2011/03"	23	Not Applicable	Not Applicable
