"Notes"	"County"	"County Code"	"Ten-Year Age Groups"	"Ten-Year Age Groups Code"	"Month"	"Month Code"	Deaths	Population	Crude Rate
	"Adams County, IL"	"17001"	"55-64 years"	"55-64"	"Jan., 2012"	"2012/01"	13	Not Applicable	Not Applicable
	"Adams County, IL"	"17001"	"55-64 years"	"55-64"	"May, 2012"	"2012/05"	12	Not Applicable	Not Applicable
	"Adams County, IL"	"17001"	"55-64 years"	"55-64"	"Aug., 2013"	"2013/08"	10	Not Applicable	Not Applicable
	"Adams County, IL"	"17001"	"65-74 years"	"65-74"	"Jan., 2012"	"2012/01"	13	Not Applicable	Not Applicable
	"Adams County, IL"	"17001"	"65-74 years"	"65-74"	"Feb., 2012"	"2012/02"	10	Not Applicable	Not Applicable
	"Adams County, IL"	"17001"	"65-74 years"	"65-74"	"May, 2012"	"2012/05"	10	Not Applicable	Not Applicable
	"Adams County, IL"	"17001"	"65-74 years"	"65-74"	"Jun., 2012"	"2012/06"	10	Not Applicable	Not Applicable
	"Adams County, IL"	"17001"	"65-74 years"	"65-74"	"Nov., 2012"	"2012/11"	10	Not Applicable	Not Applicable
	"Adams County, IL"	"17001"	"65-74 years"	"65-74"	"Dec., 2012"	"2012/12"	10	Not Applicable	Not Applicable
	"Adams County, IL"	"17001"	"65-74 years"	"65-74"	"Jan., 2013"	"2013/01"	10	Not Applicable	Not Applicable
	"Adams County, IL"	"17001"	"65-74 years"	"65-74"	"Mar., 2013"	"2013/03"	13	Not Applicable	Not Applicable
	"Adams County, IL"	"17001"	"65-74 years"	"65-74"	"Apr., 2013"	"2013/04"	10	Not Applicable	Not Applicable
	"Adams County, IL"	"17001"	"65-74 years"	"65-74"	"May, 2013"	"2013/05"	12	Not Applicable	Not Applicable
	"Adams County, IL"	"17001"	"65-74 years"	"65-74"	"Aug., 2013"	"2013/08"	10	Not Applicable	Not Applicable
	"Adams County, IL"	"17001"	"65-74 years"	"65-74"	"Nov., 2013"	"2013/11"	13	Not Applicable	Not Applicable
	"Adams County, IL"	"17001"	"65-74 years"	"65-74"	"Dec., 2013"	"2013/12"	15	Not Applicable	Not Applicable
	"Adams County, IL"	"17001"	"75-84 years"	"75-84"	"Jan., 2012"	"2012/01"	18	Not Applicable	Not Applicable
	"Adams County, IL"	"17001"	"75-84 years"	"75-84"	"Feb., 2012"	"2012/02"	20	Not Applicable	Not Applicable
	"Adams County, IL"	"17001"	"75-84 years"	"75-84"	"Mar., 2012"	"2012/03"	23	Not Applicable	Not Applicable
	"Adams County, IL"	"17001"	"75-84 years"	"75-84"	"Apr., 2012"	"2012/04"	15	Not Applicable	Not Applicable
	"Adams County, IL"	"17001"	"75-84 years"	"75-84"	"May, 2012"	"2012/05"	17	Not Applicable	Not Applicable
	"Adams County, IL"	"17001"	"75-84 years"	"75-84"	"Jun., 2012"	"2012/06"	15	Not Applicable	Not Applicable
	"Adams County, IL"	"17001"	"75-84 years"	"75-84"	"Jul., 2012"	"2012/07"	14	Not Applicable	Not Applicable
	"Adams County, IL"	"17001"	"75-84 years"	"75-84"	"Aug., 2012"	"2012/08"	11	Not Applicable	Not Applicable
	"Adams County, IL"	"17001"	"75-84 years"	"75-84"	"Sep., 2012"	"2012/09"	11	Not Applicable	Not Applicable
	"Adams County, IL"	"17001"	"75-84 years"	"75-84"	"Oct., 2012"	"2012/10"	12	Not Applicable	Not Applicable
	"Adams County, IL"	"17001"	"75-84 years"	"75-84"	"Nov., 2012"	"2012/11"	17	Not Applicable	Not Applicable
	"Adams County, IL"	"17001"	"75-84 years"	"75-84"	"Dec., 2012"	"2012/12"	23	Not Applicable	Not Applicable
	"Adams County, IL"	"17001"	"75-84 years"	"75-84"	"Jan., 2013"	"2013/01"	14	Not Applicable	Not Applicable
	"Adams County, IL"	"17001"	"75-84 years"	"75-84"	"Feb., 2013"	"2013/02"	18	Not Applicable	Not Applicable
	"Adams County, IL"	"17001"	"75-84 years"	"75-84"	"Mar., 2013"	"2013/03"	12	Not Applicable	Not Applicable
	"Adams County, IL"	"17001"	"75-84 years"	"75-84"	"Apr., 2013"	"2013/04"	17	Not Applicable	Not Applicable
	"Adams County, IL"	"17001"	"75-84 years"	"75-84"	"May, 2013"	"2013/05"	14	Not Applicable	Not Applicable
	"Adams County, IL"	"17001"	"75-84 years"	"75-84"	"Jun., 2013"	"2013/06"	20	Not Applicable	Not Applicable
	"Adams County, IL"	"17001"	"75-84 years"	"75-84"	"Jul., 2013"	"2013/07"	18	Not Applicable	Not Applicable
	"Adams County, IL"	"17001"	"75-84 years"	"75-84"	"Aug., 2013"	"2013/08"	17	Not Applicable	Not Applicable
	"Adams County, IL"	"17001"	"75-84 years"	"75-84"	"Sep., 2013"	"2013/09"	12	Not Applicable	Not Applicable
	"Adams County, IL"	"17001"	"75-84 years"	"75-84"	"Oct., 2013"	"2013/10"	18	Not Applicable	Not Applicable
	"Adams County, IL"	"17001"	"75-84 years"	"75-84"	"Nov., 2013"	"2013/11"	13	Not Applicable	Not Applicable
	"Adams County, IL"	"17001"	"75-84 years"	"75-84"	"Dec., 2013"	"2013/12"	16	Not Applicable	Not Applicable
	"Adams County, IL"	"17001"	"85+ years"	"85+"	"Jan., 2012"	"2012/01"	32	Not Applicable	Not Applicable
	"Adams County, IL"	"17001"	"85+ years"	"85+"	"Feb., 2012"	"2012/02"	25	Not Applicable	Not Applicable
	"Adams County, IL"	"17001"	"85+ years"	"85+"	"Mar., 2012"	"2012/03"	34	Not Applicable	Not Applicable
	"Adams County, IL"	"17001"	"85+ years"	"85+"	"Apr., 2012"	"2012/04"	25	Not Applicable	Not Applicable
	"Adams County, IL"	"17001"	"85+ years"	"85+"	"May, 2012"	"2012/05"	18	Not Applicable	Not Applicable
