"Notes"	"County"	"County Code"	"Ten-Year Age Groups"	"Ten-Year Age Groups Code"	"Month"	"Month Code"	Deaths	Population	Crude Rate
	"Adams County, IN"	"18001"	"65-74 years"	"65-74"	"Dec., 2020 "	"2020/12"	13	Not Applicable	Not Applicable
	"Adams County, IN"	"18001"	"75-84 years"	"75-84"	"Mar., 2019"	"2019/03"	11	Not Applicable	Not Applicable
	"Adams County, IN"	"18001"	"75-84 years"	"75-84"	"May, 2019"	"2019/05"	10	Not Applicable	Not Applicable
	"Adams County, IN"	"18001"	"75-84 years"	"75-84"	"Oct., 2019"	"2019/10"	13	Not Applicable	Not Applicable
	"Adams County, IN"	"18001"	"75-84 years"	"75-84"	"Nov., 2020 "	"2020/11"	11	Not Applicable	Not Applicable
	"Adams County, IN"	"18001"	"75-84 years"	"75-84"	"Dec., 2020 "	"2020/12"	13	Not Applicable	Not Applicable
	"Adams County, IN"	"18001"	"85+ years"	"85+"	"Jan., 2019"	"2019/01"	10	Not Applicable	Not Applicable
	"Adams County, IN"	"18001"	"85+ years"	"85+"	"Feb., 2019"	"2019/02"	13	Not Applicable	Not Applicable
	"Adams County, IN"	"18001"	"85+ years"	"85+"	"Nov., 2019"	"2019/11"	10	Not Applicable	Not Applicable
	"Adams County, IN"	"18001"	"85+ years"	"85+"	"Jan., 2020 "	"2020/01"	14	Not Applicable	Not Applicable
	"Adams County, IN"	"18001"	"85+ years"	"85+"	"Feb., 2020 "	"2020/02"	13	Not Applicable	Not Applicable
	"Adams County, IN"	"18001"	"85+ years"	"85+"	"Apr., 2020 "	"2020/04"	12	Not Applicable	Not Applicable
	"Adams County, IN"	"18001"	"85+ years"	"85+"	"Oct., 2020 "	"2020/10"	14	Not Applicable	Not Applicable
	"Adams County, IN"	"18001"	"85+ years"	"85+"	"Nov., 2020 "	"2020/11"	22	Not Applicable	Not Applicable
	"Adams County, IN"	"18001"	"85+ years"	"85+"	"Dec., 2020 "	"2020/12"	12	Not Applicable	Not Applicable
	"Allen County, IN"	"18003"	"55-64 years"	"55-64"	"Jan., 2019"	"2019/01"	38	Not Applicable	Not Applicable
	"Allen County, IN"	"18003"	"55-64 years"	"55-64"	"Feb., 2019"	"2019/02"	37	Not Applicable	Not Applicable
	"Allen County, IN"	"18003"	"55-64 years"	"55-64"	"Mar., 2019"	"2019/03"	42	Not Applicable	Not Applicable
	"Allen County, IN"	"18003"	"55-64 years"	"55-64"	"Apr., 2019"	"2019/04"	40	Not Applicable	Not Applicable
	"Allen County, IN"	"18003"	"55-64 years"	"55-64"	"May, 2019"	"2019/05"	37	Not Applicable	Not Applicable
	"Allen County, IN"	"18003"	"55-64 years"	"55-64"	"Jun., 2019"	"2019/06"	37	Not Applicable	Not Applicable
	"Allen County, IN"	"18003"	"55-64 years"	"55-64"	"Jul., 2019"	"2019/07"	33	Not Applicable	Not Applicable
	"Allen County, IN"	"18003"	"55-64 years"	"55-64"	"Aug., 2019"	"2019/08"	51	Not Applicable	Not Applicable
	"Allen County, IN"	"18003"	"55-64 years"	"55-64"	"Sep., 2019"	"2019/09"	47	Not Applicable	Not Applicable
	"Allen County, IN"	"18003"	"55-64 years"	"55-64"	"Oct., 2019"	"2019/10"	44	Not Applicable	Not Applicable
	"Allen County, IN"	"18003"	"55-64 years"	"55-64"	"Nov., 2019"	"2019/11"	30	Not Applicable	Not Applicable
	"Allen County, IN"	"18003"	"55-64 years"	"55-64"	"Dec., 2019"	"2019/12"	49	Not Applicable	Not Applicable
	"Allen County, IN"	"18003"	"55-64 years"	"55-64"	"Jan., 2020 "	"2020/01"	24	Not Applicable	Not Applicable
	"Allen County, IN"	"18003"	"55-64 years"	"55-64"	"Feb., 2020 "	"2020/02"	26	Not Applicable	Not Applicable
	"Allen County, IN"	"18003"	"55-64 years"	"55-64"	"Mar., 2020 "	"2020/03"	33	Not Applicable	Not Applicable
	"Allen County, IN"	"18003"	"55-64 years"	"55-64"	"Apr., 2020 "	"2020/04"	42	Not Applicable	Not Applicable
	"Allen County, IN"	"18003"	"55-64 years"	"55-64"	"May, 2020 "	"2020/05"	37	Not Applicable	Not Applicable
	"Allen County, IN"	"18003"	"55-64 years"	"55-64"	"Jun., 2020 "	"2020/06"	46	Not Applicable	Not Applicable
	"Allen County, IN"	"18003"	"55-64 years"	"55-64"	"Jul., 2020 "	"2020/07"	35	Not Applicable	Not Applicable
	"Allen County, IN"	"18003"	"55-64 years"	"55-64"	"Aug., 2020 "	"2020/08"	49	Not Applicable	Not Applicable
	"Allen County, IN"	"18003"	"55-64 years"	"55-64"	"Sep., 2020 "	"2020/09"	37	Not Applicable	Not Applicable
	"Allen County, IN"	"18003"	"55-64 years"	"55-64"	"Oct., 2020 "	"2020/10"	48	Not Applicable	Not Applicable
	"Allen County, IN"	"18003"	"55-64 years"	"55-64"	"Nov., 2020 "	"2020/11"	40	Not Applicable	Not Applicable
	"Allen County, IN"	"18003"	"55-64 years"	"55-64"	"Dec., 2020 "	"2020/12"	50	Not Applicable	Not Applicable
	"Allen County, IN"	"18003"	"65-74 years"	"65-74"	"Jan., 2019"	"2019/01"	50	Not Applicable	Not Applicable
	"Allen County, IN"	"18003"	"65-74 years"	"65-74"	"Feb., 2019"	"2019/02"	41	Not Applicable	Not Applicable
	"Allen County, IN"	"18003"	"65-74 years"	"65-74"	"Mar., 2019"	"2019/03"	55	Not Applicable	Not Applicable
	"Allen County, IN"	"18003"	"65-74 years"	"65-74"	"Apr., 2019"	"2019/04"	56	Not Applicable	Not Applicable
	"Allen County, IN"	"18003"	"65-74 years"	"65-74"	"May, 2019"	"2019/05"	49	Not Applicable	Not Applicable
	"Allen County, IN"	"18003"	"65-74 years"	"65-74"	"Jun., 2019"	"2019/06"	56	Not Applicable	Not Applicable
