"Notes"	"County"	"County Code"	"Ten-Year Age Groups"	"Ten-Year Age Groups Code"	"Month"	"Month Code"	Deaths	Population	Crude Rate
	"Allamakee County, IA"	"19005"	"85+ years"	"85+"	"Mar., 2011"	"2011/03"	11	Not Applicable	Not Applicable
	"Allamakee County, IA"	"19005"	"85+ years"	"85+"	"Apr., 2011"	"2011/04"	10	Not Applicable	Not Applicable
	"Allamakee County, IA"	"19005"	"85+ years"	"85+"	"Jan., 2012"	"2012/01"	10	Not Applicable	Not Applicable
	"Appanoose County, IA"	"19007"	"85+ years"	"85+"	"Aug., 2011"	"2011/08"	12	Not Applicable	Not Applicable
	"Appanoose County, IA"	"19007"	"85+ years"	"85+"	"Sep., 2011"	"2011/09"	10	Not Applicable	Not Applicable
	"Benton County, IA"	"19011"	"75-84 years"	"75-84"	"Jun., 2010"	"2010/06"	10	Not Applicable	Not Applicable
	"Benton County, IA"	"19011"	"75-84 years"	"75-84"	"Jan., 2011"	"2011/01"	10	Not Applicable	Not Applicable
	"Benton County, IA"	"19011"	"85+ years"	"85+"	"Feb., 2010"	"2010/02"	14	Not Applicable	Not Applicable
	"Benton County, IA"	"19011"	"85+ years"	"85+"	"Jan., 2011"	"2011/01"	15	Not Applicable	Not Applicable
	"Benton County, IA"	"19011"	"85+ years"	"85+"	"Apr., 2011"	"2011/04"	10	Not Applicable	Not Applicable
	"Benton County, IA"	"19011"	"85+ years"	"85+"	"Aug., 2011"	"2011/08"	10	Not Applicable	Not Applicable
	"Benton County, IA"	"19011"	"85+ years"	"85+"	"Sep., 2011"	"2011/09"	14	Not Applicable	Not Applicable
	"Benton County, IA"	"19011"	"85+ years"	"85+"	"Oct., 2011"	"2011/10"	12	Not Applicable	Not Applicable
	"Benton County, IA"	"19011"	"85+ years"	"85+"	"Nov., 2012"	"2012/11"	11	Not Applicable	Not Applicable
	"Black Hawk County, IA"	"19013"	"55-64 years"	"55-64"	"Jan., 2010"	"2010/01"	11	Not Applicable	Not Applicable
	"Black Hawk County, IA"	"19013"	"55-64 years"	"55-64"	"Mar., 2010"	"2010/03"	12	Not Applicable	Not Applicable
	"Black Hawk County, IA"	"19013"	"55-64 years"	"55-64"	"Apr., 2010"	"2010/04"	13	Not Applicable	Not Applicable
	"Black Hawk County, IA"	"19013"	"55-64 years"	"55-64"	"Aug., 2010"	"2010/08"	10	Not Applicable	Not Applicable
	"Black Hawk County, IA"	"19013"	"55-64 years"	"55-64"	"Sep., 2010"	"2010/09"	12	Not Applicable	Not Applicable
	"Black Hawk County, IA"	"19013"	"55-64 years"	"55-64"	"Nov., 2010"	"2010/11"	14	Not Applicable	Not Applicable
	"Black Hawk County, IA"	"19013"	"55-64 years"	"55-64"	"Jan., 2011"	"2011/01"	14	Not Applicable	Not Applicable
	"Black Hawk County, IA"	"19013"	"55-64 years"	"55-64"	"Feb., 2011"	"2011/02"	13	Not Applicable	Not Applicable
	"Black Hawk County, IA"	"19013"	"55-64 years"	"55-64"	"Apr., 2011"	"2011/04"	11	Not Applicable	Not Applicable
	"Black Hawk County, IA"	"19013"	"55-64 years"	"55-64"	"May, 2011"	"2011/05"	10	Not Applicable	Not Applicable
	"Black Hawk County, IA"	"19013"	"55-64 years"	"55-64"	"Jul., 2011"	"2011/07"	10	Not Applicable	Not Applicable
	"Black Hawk County, IA"	"19013"	"55-64 years"	"55-64"	"Sep., 2011"	"2011/09"	16	Not Applicable	Not Applicable
	"Black Hawk County, IA"	"19013"	"55-64 years"	"55-64"	"Dec., 2011"	"2011/12"	13	Not Applicable	Not Applicable
	"Black Hawk County, IA"	"19013"	"55-64 years"	"55-64"	"Jan., 2012"	"2012/01"	11	Not Applicable	Not Applicable
	"Black Hawk County, IA"	"19013"	"55-64 years"	"55-64"	"Mar., 2012"	"2012/03"	12	Not Applicable	Not Applicable
	"Black Hawk County, IA"	"19013"	"55-64 years"	"55-64"	"Apr., 2012"	"2012/04"	17	Not Applicable	Not Applicable
	"Black Hawk County, IA"	"19013"	"55-64 years"	"55-64"	"May, 2012"	"2012/05"	11	Not Applicable	Not Applicable
	"Black Hawk County, IA"	"19013"	"55-64 years"	"55-64"	"Jun., 2012"	"2012/06"	15	Not Applicable	Not Applicable
	"Black Hawk County, IA"	"19013"	"55-64 years"	"55-64"	"Jul., 2012"	"2012/07"	15	Not Applicable	Not Applicable
