"Notes"	"County"	"County Code"	"Ten-Year Age Groups"	"Ten-Year Age Groups Code"	"Month"	"Month Code"	Deaths	Population	Crude Rate
	"Aitkin County, MN"	"27001"	"75-84 years"	"75-84"	"May, 2014"	"2014/05"	11	Not Applicable	Not Applicable
	"Aitkin County, MN"	"27001"	"85+ years"	"85+"	"Oct., 2013"	"2013/10"	11	Not Applicable	Not Applicable
	"Aitkin County, MN"	"27001"	"85+ years"	"85+"	"Mar., 2014"	"2014/03"	11	Not Applicable	Not Applicable
	"Aitkin County, MN"	"27001"	"85+ years"	"85+"	"Jun., 2014"	"2014/06"	10	Not Applicable	Not Applicable
	"Aitkin County, MN"	"27001"	"85+ years"	"85+"	"Jan., 2015"	"2015/01"	12	Not Applicable	Not Applicable
	"Aitkin County, MN"	"27001"	"85+ years"	"85+"	"Oct., 2015"	"2015/10"	10	Not Applicable	Not Applicable
	"Anoka County, MN"	"27003"	"55-64 years"	"55-64"	"Jan., 2013"	"2013/01"	21	Not Applicable	Not Applicable
	"Anoka County, MN"	"27003"	"55-64 years"	"55-64"	"Feb., 2013"	"2013/02"	15	Not Applicable	Not Applicable
	"Anoka County, MN"	"27003"	"55-64 years"	"55-64"	"Mar., 2013"	"2013/03"	31	Not Applicable	Not Applicable
	"Anoka County, MN"	"27003"	"55-64 years"	"55-64"	"Apr., 2013"	"2013/04"	23	Not Applicable	Not Applicable
	"Anoka County, MN"	"27003"	"55-64 years"	"55-64"	"May, 2013"	"2013/05"	28	Not Applicable	Not Applicable
	"Anoka County, MN"	"27003"	"55-64 years"	"55-64"	"Jun., 2013"	"2013/06"	18	Not Applicable	Not Applicable
	"Anoka County, MN"	"27003"	"55-64 years"	"55-64"	"Jul., 2013"	"2013/07"	23	Not Applicable	Not Applicable
	"Anoka County, MN"	"27003"	"55-64 years"	"55-64"	"Aug., 2013"	"2013/08"	23	Not Applicable	Not Applicable
	"Anoka County, MN"	"27003"	"55-64 years"	"55-64"	"Sep., 2013"	"2013/09"	18	Not Applicable	Not Applicable
	"Anoka County, MN"	"27003"	"55-64 years"	"55-64"	"Oct., 2013"	"2013/10"	19	Not Applicable	Not Applicable
	"Anoka County, MN"	"27003"	"55-64 years"	"55-64"	"Nov., 2013"	"2013/11"	22	Not Applicable	Not Applicable
	"Anoka County, MN"	"27003"	"55-64 years"	"55-64"	"Dec., 2013"	"2013/12"	21	Not Applicable	Not Applicable
	"Anoka County, MN"	"27003"	"55-64 years"	"55-64"	"Jan., 2014"	"2014/01"	20	Not Applicable	Not Applicable
	"Anoka County, MN"	"27003"	"55-64 years"	"55-64"	"Feb., 2014"	"2014/02"	22	Not Applicable	Not Applicable
	"Anoka County, MN"	"27003"	"55-64 years"	"55-64"	"Mar., 2014"	"2014/03"	25	Not Applicable	Not Applicable
	"Anoka County, MN"	"27003"	"55-64 years"	"55-64"	"Apr., 2014"	"2014/04"	25	Not Applicable	Not Applicable
	"Anoka County, MN"	"27003"	"55-64 years"	"55-64"	"May, 2014"	"2014/05"	20	Not Applicable	Not Applicable
	"Anoka County, MN"	"27003"	"55-64 years"	"55-64"	"Jun., 2014"	"2014/06"	25	Not Applicable	Not Applicable
	"Anoka County, MN"	"27003"	"55-64 years"	"55-64"	"Jul., 2014"	"2014/07"	25	Not Applicable	Not Applicable
	"Anoka County, MN"	"27003"	"55-64 years"	"55-64"	"Aug., 2014"	"2014/08"	29	Not Applicable	Not Applicable
	"Anoka County, MN"	"27003"	"55-64 years"	"55-64"	"Sep., 2014"	"2014/09"	20	Not Applicable	Not Applicable
	"Anoka County, MN"	"27003"	"55-64 years"	"55-64"	"Oct., 2014"	"2014/10"	16	Not Applicable	Not Applicable
	"Anoka County, MN"	"27003"	"55-64 years"	"55-64"	"Nov., 2014"	"2014/11"	20	Not Applicable	Not Applicable
	"Anoka County, MN"	"27003"	"55-64 years"	"55-64"	"Dec., 2014"	"2014/12"	23	Not Applicable	Not Applicable
	"Anoka County, MN"	"27003"	"55-64 years"	"55-64"	"Jan., 2015"	"2015/01"	32	Not Applicable	Not Applicable
	"Anoka County, MN"	"27003"	"55-64 years"	"55-64"	"Feb., 2015"	"2015/02"	20	Not Applicable	Not Applicable
	"Anoka County, MN"	"27003"	"55-64 years"	"55-64"	"Mar., 2015"	"2015/03"	29	Not Applicable	Not Applicable
	"Anoka County, MN"	"27003"	"55-64 years"	"55-64"	"Apr., 2015"	"2015/04"	18	Not Applicable	Not Applicable
