"Notes"	"County"	"County Code"	"Ten-Year Age Groups"	"Ten-Year Age Groups Code"	"Month"	"Month Code"	Deaths	Population	Crude Rate
	"Aitkin County, MN"	"27001"	"75-84 years"	"75-84"	"Jan., 2019"	"2019/01"	11	Not Applicable	Not Applicable
	"Aitkin County, MN"	"27001"	"75-84 years"	"75-84"	"Jul., 2019"	"2019/07"	11	Not Applicable	Not Applicable
	"Aitkin County, MN"	"27001"	"75-84 years"	"75-84"	"Oct., 2019"	"2019/10"	11	Not Applicable	Not Applicable
	"Aitkin County, MN"	"27001"	"75-84 years"	"75-84"	"Dec., 2019"	"2019/12"	11	Not Applicable	Not Applicable
	"Aitkin County, MN"	"27001"	"75-84 years"	"75-84"	"Nov., 2020 "	"2020/11"	12	Not Applicable	Not Applicable
	"Aitkin County, MN"	"27001"	"75-84 years"	"75-84"	"Dec., 2020 "	"2020/12"	13	Not Applicable	Not Applicable
	"Aitkin County, MN"	"27001"	"85+ years"	"85+"	"Jan., 2020 "	"2020/01"	11	Not Applicable	Not Applicable
	"Aitkin County, MN"	"27001"	"85+ years"	"85+"	"Oct., 2020 "	"2020/10"	11	Not Applicable	Not Applicable
	"Aitkin County, MN"	"27001"	"85+ years"	"85+"	"Nov., 2020 "	"2020/11"	14	Not Applicable	Not Applicable
	"Anoka County, MN"	"27003"	"55-64 years"	"55-64"	"Jan., 2019"	"2019/01"	28	Not Applicable	Not Applicable
	"Anoka County, MN"	"27003"	"55-64 years"	"55-64"	"Feb., 2019"	"2019/02"	20	Not Applicable	Not Applicable
	"Anoka County, MN"	"27003"	"55-64 years"	"55-64"	"Mar., 2019"	"2019/03"	26	Not Applicable	Not Applicable
	"Anoka County, MN"	"27003"	"55-64 years"	"55-64"	"Apr., 2019"	"2019/04"	26	Not Applicable	Not Applicable
	"Anoka County, MN"	"27003"	"55-64 years"	"55-64"	"May, 2019"	"2019/05"	31	Not Applicable	Not Applicable
	"Anoka County, MN"	"27003"	"55-64 years"	"55-64"	"Jun., 2019"	"2019/06"	21	Not Applicable	Not Applicable
	"Anoka County, MN"	"27003"	"55-64 years"	"55-64"	"Jul., 2019"	"2019/07"	18	Not Applicable	Not Applicable
	"Anoka County, MN"	"27003"	"55-64 years"	"55-64"	"Aug., 2019"	"2019/08"	24	Not Applicable	Not Applicable
	"Anoka County, MN"	"27003"	"55-64 years"	"55-64"	"Sep., 2019"	"2019/09"	18	Not Applicable	Not Applicable
	"Anoka County, MN"	"27003"	"55-64 years"	"55-64"	"Oct., 2019"	"2019/10"	27	Not Applicable	Not Applicable
	"Anoka County, MN"	"27003"	"55-64 years"	"55-64"	"Nov., 2019"	"2019/11"	27	Not Applicable	Not Applicable
	"Anoka County, MN"	"27003"	"55-64 years"	"55-64"	"Dec., 2019"	"2019/12"	26	Not Applicable	Not Applicable
	"Anoka County, MN"	"27003"	"55-64 years"	"55-64"	"Jan., 2020 "	"2020/01"	21	Not Applicable	Not Applicable
	"Anoka County, MN"	"27003"	"55-64 years"	"55-64"	"Feb., 2020 "	"2020/02"	21	Not Applicable	Not Applicable
	"Anoka County, MN"	"27003"	"55-64 years"	"55-64"	"Mar., 2020 "	"2020/03"	20	Not Applicable	Not Applicable
	"Anoka County, MN"	"27003"	"55-64 years"	"55-64"	"Apr., 2020 "	"2020/04"	28	Not Applicable	Not Applicable
	"Anoka County, MN"	"27003"	"55-64 years"	"55-64"	"May, 2020 "	"2020/05"	25	Not Applicable	Not Applicable
	"Anoka County, MN"	"27003"	"55-64 years"	"55-64"	"Jun., 2020 "	"2020/06"	19	Not Applicable	Not Applicable
	"Anoka County, MN"	"27003"	"55-64 years"	"55-64"	"Jul., 2020 "	"2020/07"	33	Not Applicable	Not Applicable
	"Anoka County, MN"	"27003"	"55-64 years"	"55-64"	"Aug., 2020 "	"2020/08"	30	Not Applicable	Not Applicable
	"Anoka County, MN"	"27003"	"55-64 years"	"55-64"	"Sep., 2020 "	"2020/09"	30	Not Applicable	Not Applicable
	"Anoka County, MN"	"27003"	"55-64 years"	"55-64"	"Oct., 2020 "	"2020/10"	24	Not Applicable	Not Applicable
	"Anoka County, MN"	"27003"	"55-64 years"	"55-64"	"Nov., 2020 "	"2020/11"	29	Not Applicable	Not Applicable
	"Anoka County, MN"	"27003"	"55-64 years"	"55-64"	"Dec., 2020 "	"2020/12"	36	Not Applicable	Not Applicable
	"Anoka County, MN"	"27003"	"65-74 years"	"65-74"	"Jan., 2019"	"2019/01"	28	Not Applicable	Not Applicable
	"Anoka County, MN"	"27003"	"65-74 years"	"65-74"	"Feb., 2019"	"2019/02"	35	Not Applicable	Not Applicable
	"Anoka County, MN"	"27003"	"65-74 years"	"65-74"	"Mar., 2019"	"2019/03"	39	Not Applicable	Not Applicable
	"Anoka County, MN"	"27003"	"65-74 years"	"65-74"	"Apr., 2019"	"2019/04"	27	Not Applicable	Not Applicable
	"Anoka County, MN"	"27003"	"65-74 years"	"65-74"	"May, 2019"	"2019/05"	44	Not Applicable	Not Applicable
	"Anoka County, MN"	"27003"	"65-74 years"	"65-74"	"Jun., 2019"	"2019/06"	33	Not Applicable	Not Applicable
	"Anoka County, MN"	"27003"	"65-74 years"	"65-74"	"Jul., 2019"	"2019/07"	37	Not Applicable	Not Applicable
	"Anoka County, MN"	"27003"	"65-74 years"	"65-74"	"Aug., 2019"	"2019/08"	40	Not Applicable	Not Applicable
