"Notes"	"County"	"County Code"	"Ten-Year Age Groups"	"Ten-Year Age Groups Code"	"Month"	"Month Code"	Deaths	Population	Crude Rate
	"Adair County, MO"	"29001"	"75-84 years"	"75-84"	"Apr., 2012"	"2012/04"	10	Not Applicable	Not Applicable
	"Adair County, MO"	"29001"	"85+ years"	"85+"	"Jul., 2010"	"2010/07"	10	Not Applicable	Not Applicable
	"Adair County, MO"	"29001"	"85+ years"	"85+"	"Aug., 2011"	"2011/08"	11	Not Applicable	Not Applicable
	"Adair County, MO"	"29001"	"85+ years"	"85+"	"Jul., 2012"	"2012/07"	10	Not Applicable	Not Applicable
	"Adair County, MO"	"29001"	"85+ years"	"85+"	"Dec., 2012"	"2012/12"	10	Not Applicable	Not Applicable
	"Andrew County, MO"	"29003"	"75-84 years"	"75-84"	"Dec., 2011"	"2011/12"	11	Not Applicable	Not Applicable
	"Andrew County, MO"	"29003"	"85+ years"	"85+"	"Feb., 2012"	"2012/02"	11	Not Applicable	Not Applicable
	"Andrew County, MO"	"29003"	"85+ years"	"85+"	"Nov., 2012"	"2012/11"	10	Not Applicable	Not Applicable
	"Audrain County, MO"	"29007"	"75-84 years"	"75-84"	"May, 2010"	"2010/05"	12	Not Applicable	Not Applicable
	"Audrain County, MO"	"29007"	"75-84 years"	"75-84"	"Sep., 2010"	"2010/09"	11	Not Applicable	Not Applicable
	"Audrain County, MO"	"29007"	"75-84 years"	"75-84"	"Oct., 2010"	"2010/10"	11	Not Applicable	Not Applicable
	"Audrain County, MO"	"29007"	"75-84 years"	"75-84"	"Jul., 2012"	"2012/07"	10	Not Applicable	Not Applicable
	"Audrain County, MO"	"29007"	"85+ years"	"85+"	"Jan., 2010"	"2010/01"	10	Not Applicable	Not Applicable
	"Audrain County, MO"	"29007"	"85+ years"	"85+"	"May, 2010"	"2010/05"	11	Not Applicable	Not Applicable
	"Audrain County, MO"	"29007"	"85+ years"	"85+"	"Jul., 2010"	"2010/07"	17	Not Applicable	Not Applicable
	"Audrain County, MO"	"29007"	"85+ years"	"85+"	"Sep., 2010"	"2010/09"	15	Not Applicable	Not Applicable
	"Audrain County, MO"	"29007"	"85+ years"	"85+"	"Oct., 2010"	"2010/10"	14	Not Applicable	Not Applicable
	"Audrain County, MO"	"29007"	"85+ years"	"85+"	"Dec., 2010"	"2010/12"	13	Not Applicable	Not Applicable
	"Audrain County, MO"	"29007"	"85+ years"	"85+"	"Jan., 2011"	"2011/01"	14	Not Applicable	Not Applicable
	"Audrain County, MO"	"29007"	"85+ years"	"85+"	"Apr., 2011"	"2011/04"	15	Not Applicable	Not Applicable
	"Audrain County, MO"	"29007"	"85+ years"	"85+"	"Jul., 2011"	"2011/07"	13	Not Applicable	Not Applicable
	"Audrain County, MO"	"29007"	"85+ years"	"85+"	"Aug., 2011"	"2011/08"	13	Not Applicable	Not Applicable
	"Audrain County, MO"	"29007"	"85+ years"	"85+"	"Oct., 2011"	"2011/10"	14	Not Applicable	Not Applicable
	"Audrain County, MO"	"29007"	"85+ years"	"85+"	"Dec., 2011"	"2011/12"	10	Not Applicable	Not Applicable
	"Audrain County, MO"	"29007"	"85+ years"	"85+"	"Jan., 2012"	"2012/01"	10	Not Applicable	Not Applicable
	"Audrain County, MO"	"29007"	"85+ years"	"85+"	"Mar., 2012"	"2012/03"	10	Not Applicable	Not Applicable
	"Audrain County, MO"	"29007"	"85+ years"	"85+"	"Dec., 2012"	"2012/12"	11	Not Applicable	Not Applicable
	"Barry County, MO"	"29009"	"65-74 years"	"65-74"	"Jan., 2010"	"2010/01"	11	Not Applicable	Not Applicable
	"Barry County, MO"	"29009"	"65-74 years"	"65-74"	"Apr., 2010"	"2010/04"	10	Not Applicable	Not Applicable
	"Barry County, MO"	"29009"	"65-74 years"	"65-74"	"Jun., 2010"	"2010/06"	11	Not Applicable	Not Applicable
	"Barry County, MO"	"29009"	"65-74 years"	"65-74"	"Apr., 2011"	"2011/04"	10	Not Applicable	Not Applicable
	"Barry County, MO"	"29009"	"65-74 years"	"65-74"	"Jan., 2012"	"2012/01"	10	Not Applicable	Not Applicable
	"Barry County, MO"	"29009"	"65-74 years"	"65-74"	"Apr., 2012"	"2012/04"	10	Not Applicable	Not Applicable
	"Barry County, MO"	"29009"	"65-74 years"	"65-74"	"Aug., 2012"	"2012/08"	12	Not Applicable	Not Applicable
	"Barry County, MO"	"29009"	"75-84 years"	"75-84"	"Mar., 2010"	"2010/03"	12	Not Applicable	Not Applicable
	"Barry County, MO"	"29009"	"75-84 years"	"75-84"	"Sep., 2010"	"2010/09"	10	Not Applicable	Not Applicable
	"Barry County, MO"	"29009"	"75-84 years"	"75-84"	"Oct., 2010"	"2010/10"	10	Not Applicable	Not Applicable
	"Barry County, MO"	"29009"	"75-84 years"	"75-84"	"Nov., 2010"	"2010/11"	11	Not Applicable	Not Applicable
	"Barry County, MO"	"29009"	"75-84 years"	"75-84"	"Jun., 2011"	"2011/06"	13	Not Applicable	Not Applicable
	"Barry County, MO"	"29009"	"75-84 years"	"75-84"	"Aug., 2011"	"2011/08"	10	Not Applicable	Not Applicable
	"Barry County, MO"	"29009"	"75-84 years"	"75-84"	"Sep., 2011"	"2011/09"	10	Not Applicable	Not Applicable
	"Barry County, MO"	"29009"	"75-84 years"	"75-84"	"Jan., 2012"	"2012/01"	11	Not Applicable	Not Applicable
	"Barry County, MO"	"29009"	"75-84 years"	"75-84"	"Apr., 2012"	"2012/04"	10	Not Applicable	Not Applicable
	"Barry County, MO"	"29009"	"75-84 years"	"75-84"	"Jun., 2012"	"2012/06"	11	Not Applicable	Not Applicable
	"Barry County, MO"	"29009"	"75-84 years"	"75-84"	"Aug., 2012"	"2012/08"	10	Not Applicable	Not Applicable
	"Barry County, MO"	"29009"	"75-84 years"	"75-84"	"Dec., 2012"	"2012/12"	10	Not Applicable	Not Applicable
	"Barry County, MO"	"29009"	"85+ years"	"85+"	"Jan., 2010"	"2010/01"	11	Not Applicable	Not Applicable
	"Barry County, MO"	"29009"	"85+ years"	"85+"	"Mar., 2010"	"2010/03"	11	Not Applicable	Not Applicable
	"Barry County, MO"	"29009"	"85+ years"	"85+"	"Apr., 2010"	"2010/04"	11	Not Applicable	Not Applicable
	"Barry County, MO"	"29009"	"85+ years"	"85+"	"May, 2010"	"2010/05"	13	Not Applicable	Not Applicable
	"Barry County, MO"	"29009"	"85+ years"	"85+"	"Nov., 2010"	"2010/11"	17	Not Applicable	Not Applicable
	"Barry County, MO"	"29009"	"85+ years"	"85+"	"Dec., 2010"	"2010/12"	16	Not Applicable	Not Applicable
	"Barry County, MO"	"29009"	"85+ years"	"85+"	"Feb., 2011"	"2011/02"	15	Not Applicable	Not Applicable
	"Barry County, MO"	"29009"	"85+ years"	"85+"	"Mar., 2011"	"2011/03"	13	Not Applicable	Not Applicable
	"Barry County, MO"	"29009"	"85+ years"	"85+"	"Apr., 2011"	"2011/04"	10	Not Applicable	Not Applicable
	"Barry County, MO"	"29009"	"85+ years"	"85+"	"Oct., 2011"	"2011/10"	13	Not Applicable	Not Applicable
	"Barry County, MO"	"29009"	"85+ years"	"85+"	"Nov., 2011"	"2011/11"	14	Not Applicable	Not Applicable
	"Barry County, MO"	"29009"	"85+ years"	"85+"	"Mar., 2012"	"2012/03"	13	Not Applicable	Not Applicable
	"Barry County, MO"	"29009"	"85+ years"	"85+"	"Apr., 2012"	"2012/04"	10	Not Applicable	Not Applicable
	"Barry County, MO"	"29009"	"85+ years"	"85+"	"Jul., 2012"	"2012/07"	11	Not Applicable	Not Applicable
	"Barry County, MO"	"29009"	"85+ years"	"85+"	"Sep., 2012"	"2012/09"	10	Not Applicable	Not Applicable
	"Barry County, MO"	"29009"	"85+ years"	"85+"	"Dec., 2012"	"2012/12"	11	Not Applicable	Not Applicable
	"Barton County, MO"	"29011"	"85+ years"	"85+"	"Apr., 2011"	"2011/04"	10	Not Applicable	Not Applicable
	"Bates County, MO"	"29013"	"85+ years"	"85+"	"Feb., 2010"	"2010/02"	10	Not Applicable	Not Applicable
	"Bates County, MO"	"29013"	"85+ years"	"85+"	"Jan., 2011"	"2011/01"	12	Not Applicable	Not Applicable
	"Bates County, MO"	"29013"	"85+ years"	"85+"	"Jan., 2012"	"2012/01"	10	Not Applicable	Not Applicable
	"Benton County, MO"	"29015"	"65-74 years"	"65-74"	"Jul., 2010"	"2010/07"	10	Not Applicable	Not Applicable
	"Benton County, MO"	"29015"	"65-74 years"	"65-74"	"Apr., 2011"	"2011/04"	10	Not Applicable	Not Applicable
	"Benton County, MO"	"29015"	"75-84 years"	"75-84"	"May, 2010"	"2010/05"	11	Not Applicable	Not Applicable
	"Benton County, MO"	"29015"	"75-84 years"	"75-84"	"Jan., 2012"	"2012/01"	12	Not Applicable	Not Applicable
	"Benton County, MO"	"29015"	"85+ years"	"85+"	"Nov., 2012"	"2012/11"	10	Not Applicable	Not Applicable
	"Benton County, MO"	"29015"	"85+ years"	"85+"	"Dec., 2012"	"2012/12"	12	Not Applicable	Not Applicable
	"Boone County, MO"	"29019"	"55-64 years"	"55-64"	"Jan., 2010"	"2010/01"	16	Not Applicable	Not Applicable
	"Boone County, MO"	"29019"	"55-64 years"	"55-64"	"Mar., 2010"	"2010/03"	10	Not Applicable	Not Applicable
	"Boone County, MO"	"29019"	"55-64 years"	"55-64"	"Aug., 2010"	"2010/08"	11	Not Applicable	Not Applicable
	"Boone County, MO"	"29019"	"55-64 years"	"55-64"	"Sep., 2010"	"2010/09"	10	Not Applicable	Not Applicable
	"Boone County, MO"	"29019"	"55-64 years"	"55-64"	"Oct., 2010"	"2010/10"	11	Not Applicable	Not Applicable
	"Boone County, MO"	"29019"	"55-64 years"	"55-64"	"Jan., 2011"	"2011/01"	13	Not Applicable	Not Applicable
	"Boone County, MO"	"29019"	"55-64 years"	"55-64"	"Feb., 2011"	"2011/02"	17	Not Applicable	Not Applicable
	"Boone County, MO"	"29019"	"55-64 years"	"55-64"	"Mar., 2011"	"2011/03"	12	Not Applicable	Not Applicable
	"Boone County, MO"	"29019"	"55-64 years"	"55-64"	"Apr., 2011"	"2011/04"	10	Not Applicable	Not Applicable
	"Boone County, MO"	"29019"	"55-64 years"	"55-64"	"Jun., 2011"	"2011/06"	10	Not Applicable	Not Applicable
	"Boone County, MO"	"29019"	"55-64 years"	"55-64"	"Aug., 2011"	"2011/08"	13	Not Applicable	Not Applicable
	"Boone County, MO"	"29019"	"55-64 years"	"55-64"	"Sep., 2011"	"2011/09"	12	Not Applicable	Not Applicable
	"Boone County, MO"	"29019"	"55-64 years"	"55-64"	"Oct., 2011"	"2011/10"	13	Not Applicable	Not Applicable
	"Boone County, MO"	"29019"	"55-64 years"	"55-64"	"Dec., 2011"	"2011/12"	18	Not Applicable	Not Applicable
	"Boone County, MO"	"29019"	"55-64 years"	"55-64"	"Apr., 2012"	"2012/04"	12	Not Applicable	Not Applicable
	"Boone County, MO"	"29019"	"55-64 years"	"55-64"	"May, 2012"	"2012/05"	11	Not Applicable	Not Applicable
	"Boone County, MO"	"29019"	"55-64 years"	"55-64"	"Jul., 2012"	"2012/07"	13	Not Applicable	Not Applicable
	"Boone County, MO"	"29019"	"55-64 years"	"55-64"	"Sep., 2012"	"2012/09"	11	Not Applicable	Not Applicable
	"Boone County, MO"	"29019"	"55-64 years"	"55-64"	"Nov., 2012"	"2012/11"	10	Not Applicable	Not Applicable
	"Boone County, MO"	"29019"	"55-64 years"	"55-64"	"Dec., 2012"	"2012/12"	11	Not Applicable	Not Applicable
	"Boone County, MO"	"29019"	"65-74 years"	"65-74"	"Jan., 2010"	"2010/01"	10	Not Applicable	Not Applicable
	"Boone County, MO"	"29019"	"65-74 years"	"65-74"	"Mar., 2010"	"2010/03"	14	Not Applicable	Not Applicable
	"Boone County, MO"	"29019"	"65-74 years"	"65-74"	"Apr., 2010"	"2010/04"	12	Not Applicable	Not Applicable
	"Boone County, MO"	"29019"	"65-74 years"	"65-74"	"Jun., 2010"	"2010/06"	18	Not Applicable	Not Applicable
	"Boone County, MO"	"29019"	"65-74 years"	"65-74"	"Jul., 2010"	"2010/07"	14	Not Applicable	Not Applicable
	"Boone County, MO"	"29019"	"65-74 years"	"65-74"	"Nov., 2010"	"2010/11"	18	Not Applicable	Not Applicable
	"Boone County, MO"	"29019"	"65-74 years"	"65-74"	"Dec., 2010"	"2010/12"	17	Not Applicable	Not Applicable
	"Boone County, MO"	"29019"	"65-74 years"	"65-74"	"Jan., 2011"	"2011/01"	12	Not Applicable	Not Applicable
	"Boone County, MO"	"29019"	"65-74 years"	"65-74"	"Feb., 2011"	"2011/02"	15	Not Applicable	Not Applicable
	"Boone County, MO"	"29019"	"65-74 years"	"65-74"	"Mar., 2011"	"2011/03"	15	Not Applicable	Not Applicable
	"Boone County, MO"	"29019"	"65-74 years"	"65-74"	"Jun., 2011"	"2011/06"	14	Not Applicable	Not Applicable
	"Boone County, MO"	"29019"	"65-74 years"	"65-74"	"Jul., 2011"	"2011/07"	16	Not Applicable	Not Applicable
	"Boone County, MO"	"29019"	"65-74 years"	"65-74"	"Aug., 2011"	"2011/08"	13	Not Applicable	Not Applicable
	"Boone County, MO"	"29019"	"65-74 years"	"65-74"	"Sep., 2011"	"2011/09"	15	Not Applicable	Not Applicable
	"Boone County, MO"	"29019"	"65-74 years"	"65-74"	"Oct., 2011"	"2011/10"	13	Not Applicable	Not Applicable
	"Boone County, MO"	"29019"	"65-74 years"	"65-74"	"Nov., 2011"	"2011/11"	12	Not Applicable	Not Applicable
	"Boone County, MO"	"29019"	"65-74 years"	"65-74"	"Dec., 2011"	"2011/12"	18	Not Applicable	Not Applicable
	"Boone County, MO"	"29019"	"65-74 years"	"65-74"	"Mar., 2012"	"2012/03"	15	Not Applicable	Not Applicable
	"Boone County, MO"	"29019"	"65-74 years"	"65-74"	"May, 2012"	"2012/05"	14	Not Applicable	Not Applicable
	"Boone County, MO"	"29019"	"65-74 years"	"65-74"	"Jun., 2012"	"2012/06"	13	Not Applicable	Not Applicable
	"Boone County, MO"	"29019"	"65-74 years"	"65-74"	"Jul., 2012"	"2012/07"	15	Not Applicable	Not Applicable
	"Boone County, MO"	"29019"	"65-74 years"	"65-74"	"Aug., 2012"	"2012/08"	10	Not Applicable	Not Applicable
	"Boone County, MO"	"29019"	"65-74 years"	"65-74"	"Sep., 2012"	"2012/09"	15	Not Applicable	Not Applicable
	"Boone County, MO"	"29019"	"65-74 years"	"65-74"	"Oct., 2012"	"2012/10"	15	Not Applicable	Not Applicable
	"Boone County, MO"	"29019"	"65-74 years"	"65-74"	"Nov., 2012"	"2012/11"	13	Not Applicable	Not Applicable
	"Boone County, MO"	"29019"	"65-74 years"	"65-74"	"Dec., 2012"	"2012/12"	16	Not Applicable	Not Applicable
	"Boone County, MO"	"29019"	"75-84 years"	"75-84"	"Jan., 2010"	"2010/01"	21	Not Applicable	Not Applicable
	"Boone County, MO"	"29019"	"75-84 years"	"75-84"	"Feb., 2010"	"2010/02"	21	Not Applicable	Not Applicable
	"Boone County, MO"	"29019"	"75-84 years"	"75-84"	"Mar., 2010"	"2010/03"	24	Not Applicable	Not Applicable
	"Boone County, MO"	"29019"	"75-84 years"	"75-84"	"Apr., 2010"	"2010/04"	19	Not Applicable	Not Applicable
	"Boone County, MO"	"29019"	"75-84 years"	"75-84"	"May, 2010"	"2010/05"	19	Not Applicable	Not Applicable
	"Boone County, MO"	"29019"	"75-84 years"	"75-84"	"Jun., 2010"	"2010/06"	24	Not Applicable	Not Applicable
	"Boone County, MO"	"29019"	"75-84 years"	"75-84"	"Jul., 2010"	"2010/07"	16	Not Applicable	Not Applicable
	"Boone County, MO"	"29019"	"75-84 years"	"75-84"	"Aug., 2010"	"2010/08"	13	Not Applicable	Not Applicable
	"Boone County, MO"	"29019"	"75-84 years"	"75-84"	"Sep., 2010"	"2010/09"	21	Not Applicable	Not Applicable
	"Boone County, MO"	"29019"	"75-84 years"	"75-84"	"Oct., 2010"	"2010/10"	17	Not Applicable	Not Applicable
	"Boone County, MO"	"29019"	"75-84 years"	"75-84"	"Nov., 2010"	"2010/11"	19	Not Applicable	Not Applicable
	"Boone County, MO"	"29019"	"75-84 years"	"75-84"	"Dec., 2010"	"2010/12"	14	Not Applicable	Not Applicable
	"Boone County, MO"	"29019"	"75-84 years"	"75-84"	"Jan., 2011"	"2011/01"	19	Not Applicable	Not Applicable
