"Notes"	"County"	"County Code"	"Ten-Year Age Groups"	"Ten-Year Age Groups Code"	"Month"	"Month Code"	Deaths	Population	Crude Rate
	"Atlantic County, NJ"	"34001"	"55-64 years"	"55-64"	"Jan., 2010"	"2010/01"	27	Not Applicable	Not Applicable
	"Atlantic County, NJ"	"34001"	"55-64 years"	"55-64"	"Feb., 2010"	"2010/02"	26	Not Applicable	Not Applicable
	"Atlantic County, NJ"	"34001"	"55-64 years"	"55-64"	"Mar., 2010"	"2010/03"	36	Not Applicable	Not Applicable
	"Atlantic County, NJ"	"34001"	"55-64 years"	"55-64"	"Apr., 2010"	"2010/04"	31	Not Applicable	Not Applicable
	"Atlantic County, NJ"	"34001"	"55-64 years"	"55-64"	"May, 2010"	"2010/05"	27	Not Applicable	Not Applicable
	"Atlantic County, NJ"	"34001"	"55-64 years"	"55-64"	"Jun., 2010"	"2010/06"	22	Not Applicable	Not Applicable
	"Atlantic County, NJ"	"34001"	"55-64 years"	"55-64"	"Jul., 2010"	"2010/07"	24	Not Applicable	Not Applicable
	"Atlantic County, NJ"	"34001"	"55-64 years"	"55-64"	"Aug., 2010"	"2010/08"	17	Not Applicable	Not Applicable
	"Atlantic County, NJ"	"34001"	"55-64 years"	"55-64"	"Sep., 2010"	"2010/09"	16	Not Applicable	Not Applicable
	"Atlantic County, NJ"	"34001"	"55-64 years"	"55-64"	"Oct., 2010"	"2010/10"	25	Not Applicable	Not Applicable
	"Atlantic County, NJ"	"34001"	"55-64 years"	"55-64"	"Nov., 2010"	"2010/11"	29	Not Applicable	Not Applicable
	"Atlantic County, NJ"	"34001"	"55-64 years"	"55-64"	"Dec., 2010"	"2010/12"	29	Not Applicable	Not Applicable
	"Atlantic County, NJ"	"34001"	"55-64 years"	"55-64"	"Jan., 2011"	"2011/01"	34	Not Applicable	Not Applicable
	"Atlantic County, NJ"	"34001"	"55-64 years"	"55-64"	"Feb., 2011"	"2011/02"	29	Not Applicable	Not Applicable
	"Atlantic County, NJ"	"34001"	"55-64 years"	"55-64"	"Mar., 2011"	"2011/03"	34	Not Applicable	Not Applicable
	"Atlantic County, NJ"	"34001"	"55-64 years"	"55-64"	"Apr., 2011"	"2011/04"	25	Not Applicable	Not Applicable
	"Atlantic County, NJ"	"34001"	"55-64 years"	"55-64"	"May, 2011"	"2011/05"	26	Not Applicable	Not Applicable
	"Atlantic County, NJ"	"34001"	"55-64 years"	"55-64"	"Jun., 2011"	"2011/06"	34	Not Applicable	Not Applicable
	"Atlantic County, NJ"	"34001"	"55-64 years"	"55-64"	"Jul., 2011"	"2011/07"	28	Not Applicable	Not Applicable
	"Atlantic County, NJ"	"34001"	"55-64 years"	"55-64"	"Aug., 2011"	"2011/08"	27	Not Applicable	Not Applicable
	"Atlantic County, NJ"	"34001"	"55-64 years"	"55-64"	"Sep., 2011"	"2011/09"	18	Not Applicable	Not Applicable
	"Atlantic County, NJ"	"34001"	"55-64 years"	"55-64"	"Oct., 2011"	"2011/10"	19	Not Applicable	Not Applicable
	"Atlantic County, NJ"	"34001"	"55-64 years"	"55-64"	"Nov., 2011"	"2011/11"	27	Not Applicable	Not Applicable
	"Atlantic County, NJ"	"34001"	"55-64 years"	"55-64"	"Dec., 2011"	"2011/12"	22	Not Applicable	Not Applicable
