"Notes"	"County"	"County Code"	"Ten-Year Age Groups"	"Ten-Year Age Groups Code"	"Month"	"Month Code"	Deaths	Population	Crude Rate
	"Bernalillo County, NM"	"35001"	"55-64 years"	"55-64"	"Jan., 2010"	"2010/01"	63	Not Applicable	Not Applicable
	"Bernalillo County, NM"	"35001"	"55-64 years"	"55-64"	"Feb., 2010"	"2010/02"	53	Not Applicable	Not Applicable
	"Bernalillo County, NM"	"35001"	"55-64 years"	"55-64"	"Mar., 2010"	"2010/03"	54	Not Applicable	Not Applicable
	"Bernalillo County, NM"	"35001"	"55-64 years"	"55-64"	"Apr., 2010"	"2010/04"	57	Not Applicable	Not Applicable
	"Bernalillo County, NM"	"35001"	"55-64 years"	"55-64"	"May, 2010"	"2010/05"	55	Not Applicable	Not Applicable
	"Bernalillo County, NM"	"35001"	"55-64 years"	"55-64"	"Jun., 2010"	"2010/06"	48	Not Applicable	Not Applicable
	"Bernalillo County, NM"	"35001"	"55-64 years"	"55-64"	"Jul., 2010"	"2010/07"	65	Not Applicable	Not Applicable
	"Bernalillo County, NM"	"35001"	"55-64 years"	"55-64"	"Aug., 2010"	"2010/08"	46	Not Applicable	Not Applicable
	"Bernalillo County, NM"	"35001"	"55-64 years"	"55-64"	"Sep., 2010"	"2010/09"	47	Not Applicable	Not Applicable
	"Bernalillo County, NM"	"35001"	"55-64 years"	"55-64"	"Oct., 2010"	"2010/10"	50	Not Applicable	Not Applicable
	"Bernalillo County, NM"	"35001"	"55-64 years"	"55-64"	"Nov., 2010"	"2010/11"	51	Not Applicable	Not Applicable
	"Bernalillo County, NM"	"35001"	"55-64 years"	"55-64"	"Dec., 2010"	"2010/12"	46	Not Applicable	Not Applicable
	"Bernalillo County, NM"	"35001"	"55-64 years"	"55-64"	"Jan., 2011"	"2011/01"	68	Not Applicable	Not Applicable
	"Bernalillo County, NM"	"35001"	"55-64 years"	"55-64"	"Feb., 2011"	"2011/02"	34	Not Applicable	Not Applicable
	"Bernalillo County, NM"	"35001"	"55-64 years"	"55-64"	"Mar., 2011"	"2011/03"	60	Not Applicable	Not Applicable
	"Bernalillo County, NM"	"35001"	"55-64 years"	"55-64"	"Apr., 2011"	"2011/04"	72	Not Applicable	Not Applicable
	"Bernalillo County, NM"	"35001"	"55-64 years"	"55-64"	"May, 2011"	"2011/05"	57	Not Applicable	Not Applicable
	"Bernalillo County, NM"	"35001"	"55-64 years"	"55-64"	"Jun., 2011"	"2011/06"	53	Not Applicable	Not Applicable
	"Bernalillo County, NM"	"35001"	"55-64 years"	"55-64"	"Jul., 2011"	"2011/07"	46	Not Applicable	Not Applicable
	"Bernalillo County, NM"	"35001"	"55-64 years"	"55-64"	"Aug., 2011"	"2011/08"	53	Not Applicable	Not Applicable
	"Bernalillo County, NM"	"35001"	"55-64 years"	"55-64"	"Sep., 2011"	"2011/09"	56	Not Applicable	Not Applicable
	"Bernalillo County, NM"	"35001"	"55-64 years"	"55-64"	"Oct., 2011"	"2011/10"	44	Not Applicable	Not Applicable
	"Bernalillo County, NM"	"35001"	"55-64 years"	"55-64"	"Nov., 2011"	"2011/11"	41	Not Applicable	Not Applicable
	"Bernalillo County, NM"	"35001"	"55-64 years"	"55-64"	"Dec., 2011"	"2011/12"	52	Not Applicable	Not Applicable
	"Bernalillo County, NM"	"35001"	"55-64 years"	"55-64"	"Jan., 2012"	"2012/01"	59	Not Applicable	Not Applicable
	"Bernalillo County, NM"	"35001"	"55-64 years"	"55-64"	"Feb., 2012"	"2012/02"	78	Not Applicable	Not Applicable
	"Bernalillo County, NM"	"35001"	"55-64 years"	"55-64"	"Mar., 2012"	"2012/03"	73	Not Applicable	Not Applicable
	"Bernalillo County, NM"	"35001"	"55-64 years"	"55-64"	"Apr., 2012"	"2012/04"	53	Not Applicable	Not Applicable
	"Bernalillo County, NM"	"35001"	"55-64 years"	"55-64"	"May, 2012"	"2012/05"	52	Not Applicable	Not Applicable
	"Bernalillo County, NM"	"35001"	"55-64 years"	"55-64"	"Jun., 2012"	"2012/06"	63	Not Applicable	Not Applicable
	"Bernalillo County, NM"	"35001"	"55-64 years"	"55-64"	"Jul., 2012"	"2012/07"	58	Not Applicable	Not Applicable
	"Bernalillo County, NM"	"35001"	"55-64 years"	"55-64"	"Aug., 2012"	"2012/08"	54	Not Applicable	Not Applicable
	"Bernalillo County, NM"	"35001"	"55-64 years"	"55-64"	"Sep., 2012"	"2012/09"	64	Not Applicable	Not Applicable
	"Bernalillo County, NM"	"35001"	"55-64 years"	"55-64"	"Oct., 2012"	"2012/10"	60	Not Applicable	Not Applicable
	"Bernalillo County, NM"	"35001"	"55-64 years"	"55-64"	"Nov., 2012"	"2012/11"	54	Not Applicable	Not Applicable
	"Bernalillo County, NM"	"35001"	"55-64 years"	"55-64"	"Dec., 2012"	"2012/12"	57	Not Applicable	Not Applicable
	"Bernalillo County, NM"	"35001"	"55-64 years"	"55-64"	"Jan., 2013"	"2013/01"	74	Not Applicable	Not Applicable
	"Bernalillo County, NM"	"35001"	"55-64 years"	"55-64"	"Feb., 2013"	"2013/02"	67	Not Applicable	Not Applicable
	"Bernalillo County, NM"	"35001"	"55-64 years"	"55-64"	"Mar., 2013"	"2013/03"	59	Not Applicable	Not Applicable
	"Bernalillo County, NM"	"35001"	"55-64 years"	"55-64"	"Apr., 2013"	"2013/04"	50	Not Applicable	Not Applicable
	"Bernalillo County, NM"	"35001"	"55-64 years"	"55-64"	"May, 2013"	"2013/05"	50	Not Applicable	Not Applicable
	"Bernalillo County, NM"	"35001"	"55-64 years"	"55-64"	"Jun., 2013"	"2013/06"	53	Not Applicable	Not Applicable
	"Bernalillo County, NM"	"35001"	"55-64 years"	"55-64"	"Jul., 2013"	"2013/07"	67	Not Applicable	Not Applicable
	"Bernalillo County, NM"	"35001"	"55-64 years"	"55-64"	"Aug., 2013"	"2013/08"	50	Not Applicable	Not Applicable
	"Bernalillo County, NM"	"35001"	"55-64 years"	"55-64"	"Sep., 2013"	"2013/09"	40	Not Applicable	Not Applicable
	"Bernalillo County, NM"	"35001"	"55-64 years"	"55-64"	"Oct., 2013"	"2013/10"	56	Not Applicable	Not Applicable
	"Bernalillo County, NM"	"35001"	"55-64 years"	"55-64"	"Nov., 2013"	"2013/11"	47	Not Applicable	Not Applicable
	"Bernalillo County, NM"	"35001"	"55-64 years"	"55-64"	"Dec., 2013"	"2013/12"	66	Not Applicable	Not Applicable
	"Bernalillo County, NM"	"35001"	"55-64 years"	"55-64"	"Jan., 2014"	"2014/01"	72	Not Applicable	Not Applicable
	"Bernalillo County, NM"	"35001"	"55-64 years"	"55-64"	"Feb., 2014"	"2014/02"	68	Not Applicable	Not Applicable
	"Bernalillo County, NM"	"35001"	"55-64 years"	"55-64"	"Mar., 2014"	"2014/03"	62	Not Applicable	Not Applicable
	"Bernalillo County, NM"	"35001"	"55-64 years"	"55-64"	"Apr., 2014"	"2014/04"	64	Not Applicable	Not Applicable
	"Bernalillo County, NM"	"35001"	"55-64 years"	"55-64"	"May, 2014"	"2014/05"	65	Not Applicable	Not Applicable
	"Bernalillo County, NM"	"35001"	"55-64 years"	"55-64"	"Jun., 2014"	"2014/06"	47	Not Applicable	Not Applicable
	"Bernalillo County, NM"	"35001"	"55-64 years"	"55-64"	"Jul., 2014"	"2014/07"	58	Not Applicable	Not Applicable
	"Bernalillo County, NM"	"35001"	"55-64 years"	"55-64"	"Aug., 2014"	"2014/08"	66	Not Applicable	Not Applicable
	"Bernalillo County, NM"	"35001"	"55-64 years"	"55-64"	"Sep., 2014"	"2014/09"	51	Not Applicable	Not Applicable
	"Bernalillo County, NM"	"35001"	"55-64 years"	"55-64"	"Oct., 2014"	"2014/10"	63	Not Applicable	Not Applicable
	"Bernalillo County, NM"	"35001"	"55-64 years"	"55-64"	"Nov., 2014"	"2014/11"	63	Not Applicable	Not Applicable
	"Bernalillo County, NM"	"35001"	"55-64 years"	"55-64"	"Dec., 2014"	"2014/12"	75	Not Applicable	Not Applicable
	"Bernalillo County, NM"	"35001"	"55-64 years"	"55-64"	"Jan., 2015"	"2015/01"	63	Not Applicable	Not Applicable
	"Bernalillo County, NM"	"35001"	"55-64 years"	"55-64"	"Feb., 2015"	"2015/02"	63	Not Applicable	Not Applicable
	"Bernalillo County, NM"	"35001"	"55-64 years"	"55-64"	"Mar., 2015"	"2015/03"	48	Not Applicable	Not Applicable
	"Bernalillo County, NM"	"35001"	"55-64 years"	"55-64"	"Apr., 2015"	"2015/04"	69	Not Applicable	Not Applicable
	"Bernalillo County, NM"	"35001"	"55-64 years"	"55-64"	"May, 2015"	"2015/05"	66	Not Applicable	Not Applicable
	"Bernalillo County, NM"	"35001"	"55-64 years"	"55-64"	"Jun., 2015"	"2015/06"	62	Not Applicable	Not Applicable
	"Bernalillo County, NM"	"35001"	"55-64 years"	"55-64"	"Jul., 2015"	"2015/07"	63	Not Applicable	Not Applicable
	"Bernalillo County, NM"	"35001"	"55-64 years"	"55-64"	"Aug., 2015"	"2015/08"	53	Not Applicable	Not Applicable
	"Bernalillo County, NM"	"35001"	"55-64 years"	"55-64"	"Sep., 2015"	"2015/09"	56	Not Applicable	Not Applicable
	"Bernalillo County, NM"	"35001"	"55-64 years"	"55-64"	"Oct., 2015"	"2015/10"	48	Not Applicable	Not Applicable
	"Bernalillo County, NM"	"35001"	"55-64 years"	"55-64"	"Nov., 2015"	"2015/11"	68	Not Applicable	Not Applicable
	"Bernalillo County, NM"	"35001"	"55-64 years"	"55-64"	"Dec., 2015"	"2015/12"	70	Not Applicable	Not Applicable
	"Bernalillo County, NM"	"35001"	"55-64 years"	"55-64"	"Jan., 2016"	"2016/01"	74	Not Applicable	Not Applicable
	"Bernalillo County, NM"	"35001"	"55-64 years"	"55-64"	"Feb., 2016"	"2016/02"	64	Not Applicable	Not Applicable
	"Bernalillo County, NM"	"35001"	"55-64 years"	"55-64"	"Mar., 2016"	"2016/03"	74	Not Applicable	Not Applicable
