"Notes"	"County"	"County Code"	"Ten-Year Age Groups"	"Ten-Year Age Groups Code"	"Month"	"Month Code"	Deaths	Population	Crude Rate
	"Albany County, NY"	"36001"	"55-64 years"	"55-64"	"Jan., 2010"	"2010/01"	21	Not Applicable	Not Applicable
	"Albany County, NY"	"36001"	"55-64 years"	"55-64"	"Feb., 2010"	"2010/02"	25	Not Applicable	Not Applicable
	"Albany County, NY"	"36001"	"55-64 years"	"55-64"	"Mar., 2010"	"2010/03"	35	Not Applicable	Not Applicable
	"Albany County, NY"	"36001"	"55-64 years"	"55-64"	"Apr., 2010"	"2010/04"	22	Not Applicable	Not Applicable
	"Albany County, NY"	"36001"	"55-64 years"	"55-64"	"May, 2010"	"2010/05"	21	Not Applicable	Not Applicable
	"Albany County, NY"	"36001"	"55-64 years"	"55-64"	"Jun., 2010"	"2010/06"	25	Not Applicable	Not Applicable
	"Albany County, NY"	"36001"	"55-64 years"	"55-64"	"Jul., 2010"	"2010/07"	22	Not Applicable	Not Applicable
	"Albany County, NY"	"36001"	"55-64 years"	"55-64"	"Aug., 2010"	"2010/08"	23	Not Applicable	Not Applicable
	"Albany County, NY"	"36001"	"55-64 years"	"55-64"	"Sep., 2010"	"2010/09"	28	Not Applicable	Not Applicable
	"Albany County, NY"	"36001"	"55-64 years"	"55-64"	"Oct., 2010"	"2010/10"	23	Not Applicable	Not Applicable
	"Albany County, NY"	"36001"	"55-64 years"	"55-64"	"Nov., 2010"	"2010/11"	20	Not Applicable	Not Applicable
	"Albany County, NY"	"36001"	"55-64 years"	"55-64"	"Dec., 2010"	"2010/12"	25	Not Applicable	Not Applicable
	"Albany County, NY"	"36001"	"55-64 years"	"55-64"	"Jan., 2011"	"2011/01"	21	Not Applicable	Not Applicable
	"Albany County, NY"	"36001"	"55-64 years"	"55-64"	"Feb., 2011"	"2011/02"	27	Not Applicable	Not Applicable
	"Albany County, NY"	"36001"	"55-64 years"	"55-64"	"Mar., 2011"	"2011/03"	23	Not Applicable	Not Applicable
	"Albany County, NY"	"36001"	"55-64 years"	"55-64"	"Apr., 2011"	"2011/04"	23	Not Applicable	Not Applicable
	"Albany County, NY"	"36001"	"55-64 years"	"55-64"	"May, 2011"	"2011/05"	25	Not Applicable	Not Applicable
	"Albany County, NY"	"36001"	"55-64 years"	"55-64"	"Jun., 2011"	"2011/06"	21	Not Applicable	Not Applicable
	"Albany County, NY"	"36001"	"55-64 years"	"55-64"	"Jul., 2011"	"2011/07"	14	Not Applicable	Not Applicable
	"Albany County, NY"	"36001"	"55-64 years"	"55-64"	"Aug., 2011"	"2011/08"	23	Not Applicable	Not Applicable
	"Albany County, NY"	"36001"	"55-64 years"	"55-64"	"Sep., 2011"	"2011/09"	30	Not Applicable	Not Applicable
	"Albany County, NY"	"36001"	"55-64 years"	"55-64"	"Oct., 2011"	"2011/10"	26	Not Applicable	Not Applicable
	"Albany County, NY"	"36001"	"55-64 years"	"55-64"	"Nov., 2011"	"2011/11"	35	Not Applicable	Not Applicable
	"Albany County, NY"	"36001"	"55-64 years"	"55-64"	"Dec., 2011"	"2011/12"	26	Not Applicable	Not Applicable
	"Albany County, NY"	"36001"	"55-64 years"	"55-64"	"Jan., 2012"	"2012/01"	37	Not Applicable	Not Applicable
	"Albany County, NY"	"36001"	"55-64 years"	"55-64"	"Feb., 2012"	"2012/02"	24	Not Applicable	Not Applicable
	"Albany County, NY"	"36001"	"55-64 years"	"55-64"	"Mar., 2012"	"2012/03"	16	Not Applicable	Not Applicable
	"Albany County, NY"	"36001"	"55-64 years"	"55-64"	"Apr., 2012"	"2012/04"	23	Not Applicable	Not Applicable
	"Albany County, NY"	"36001"	"55-64 years"	"55-64"	"May, 2012"	"2012/05"	35	Not Applicable	Not Applicable
	"Albany County, NY"	"36001"	"55-64 years"	"55-64"	"Jun., 2012"	"2012/06"	28	Not Applicable	Not Applicable
	"Albany County, NY"	"36001"	"55-64 years"	"55-64"	"Jul., 2012"	"2012/07"	32	Not Applicable	Not Applicable
	"Albany County, NY"	"36001"	"55-64 years"	"55-64"	"Aug., 2012"	"2012/08"	28	Not Applicable	Not Applicable
	"Albany County, NY"	"36001"	"55-64 years"	"55-64"	"Sep., 2012"	"2012/09"	18	Not Applicable	Not Applicable
	"Albany County, NY"	"36001"	"55-64 years"	"55-64"	"Oct., 2012"	"2012/10"	28	Not Applicable	Not Applicable
	"Albany County, NY"	"36001"	"55-64 years"	"55-64"	"Nov., 2012"	"2012/11"	30	Not Applicable	Not Applicable
	"Albany County, NY"	"36001"	"55-64 years"	"55-64"	"Dec., 2012"	"2012/12"	22	Not Applicable	Not Applicable
	"Albany County, NY"	"36001"	"55-64 years"	"55-64"	"Jan., 2013"	"2013/01"	23	Not Applicable	Not Applicable
