"Notes"	"County"	"County Code"	"Ten-Year Age Groups"	"Ten-Year Age Groups Code"	"Month"	"Month Code"	Deaths	Population	Crude Rate
	"Alamance County, NC"	"37001"	"55-64 years"	"55-64"	"Jan., 2010"	"2010/01"	16	Not Applicable	Not Applicable
	"Alamance County, NC"	"37001"	"55-64 years"	"55-64"	"Feb., 2010"	"2010/02"	12	Not Applicable	Not Applicable
	"Alamance County, NC"	"37001"	"55-64 years"	"55-64"	"Mar., 2010"	"2010/03"	16	Not Applicable	Not Applicable
	"Alamance County, NC"	"37001"	"55-64 years"	"55-64"	"Apr., 2010"	"2010/04"	19	Not Applicable	Not Applicable
	"Alamance County, NC"	"37001"	"55-64 years"	"55-64"	"May, 2010"	"2010/05"	12	Not Applicable	Not Applicable
	"Alamance County, NC"	"37001"	"55-64 years"	"55-64"	"Jun., 2010"	"2010/06"	14	Not Applicable	Not Applicable
	"Alamance County, NC"	"37001"	"55-64 years"	"55-64"	"Aug., 2010"	"2010/08"	15	Not Applicable	Not Applicable
	"Alamance County, NC"	"37001"	"55-64 years"	"55-64"	"Sep., 2010"	"2010/09"	16	Not Applicable	Not Applicable
	"Alamance County, NC"	"37001"	"55-64 years"	"55-64"	"Oct., 2010"	"2010/10"	16	Not Applicable	Not Applicable
	"Alamance County, NC"	"37001"	"55-64 years"	"55-64"	"Dec., 2010"	"2010/12"	16	Not Applicable	Not Applicable
	"Alamance County, NC"	"37001"	"55-64 years"	"55-64"	"Jan., 2011"	"2011/01"	18	Not Applicable	Not Applicable
	"Alamance County, NC"	"37001"	"55-64 years"	"55-64"	"Mar., 2011"	"2011/03"	18	Not Applicable	Not Applicable
	"Alamance County, NC"	"37001"	"55-64 years"	"55-64"	"Apr., 2011"	"2011/04"	12	Not Applicable	Not Applicable
	"Alamance County, NC"	"37001"	"55-64 years"	"55-64"	"May, 2011"	"2011/05"	10	Not Applicable	Not Applicable
	"Alamance County, NC"	"37001"	"55-64 years"	"55-64"	"Jun., 2011"	"2011/06"	12	Not Applicable	Not Applicable
	"Alamance County, NC"	"37001"	"55-64 years"	"55-64"	"Jul., 2011"	"2011/07"	17	Not Applicable	Not Applicable
	"Alamance County, NC"	"37001"	"55-64 years"	"55-64"	"Aug., 2011"	"2011/08"	17	Not Applicable	Not Applicable
	"Alamance County, NC"	"37001"	"55-64 years"	"55-64"	"Sep., 2011"	"2011/09"	19	Not Applicable	Not Applicable
	"Alamance County, NC"	"37001"	"55-64 years"	"55-64"	"Oct., 2011"	"2011/10"	16	Not Applicable	Not Applicable
	"Alamance County, NC"	"37001"	"55-64 years"	"55-64"	"Dec., 2011"	"2011/12"	17	Not Applicable	Not Applicable
	"Alamance County, NC"	"37001"	"55-64 years"	"55-64"	"Jan., 2012"	"2012/01"	18	Not Applicable	Not Applicable
	"Alamance County, NC"	"37001"	"55-64 years"	"55-64"	"Feb., 2012"	"2012/02"	14	Not Applicable	Not Applicable
	"Alamance County, NC"	"37001"	"55-64 years"	"55-64"	"Mar., 2012"	"2012/03"	22	Not Applicable	Not Applicable
	"Alamance County, NC"	"37001"	"55-64 years"	"55-64"	"Apr., 2012"	"2012/04"	20	Not Applicable	Not Applicable
