"Notes"	"County"	"County Code"	"Ten-Year Age Groups"	"Ten-Year Age Groups Code"	"Month"	"Month Code"	Deaths	Population	Crude Rate
"Total"	"Adams County, ND"	"38001"	"55-64 years"	"55-64"			34	Not Applicable	Not Applicable
"Total"	"Adams County, ND"	"38001"	"65-74 years"	"65-74"			45	Not Applicable	Not Applicable
"Total"	"Adams County, ND"	"38001"	"75-84 years"	"75-84"			76	Not Applicable	Not Applicable
"Total"	"Adams County, ND"	"38001"	"85+ years"	"85+"			167	Not Applicable	Not Applicable
"Total"	"Adams County, ND"	"38001"					322	Not Applicable	Not Applicable
"Total"	"Barnes County, ND"	"38003"	"55-64 years"	"55-64"			159	Not Applicable	Not Applicable
"Total"	"Barnes County, ND"	"38003"	"65-74 years"	"65-74"			222	Not Applicable	Not Applicable
"Total"	"Barnes County, ND"	"38003"	"75-84 years"	"75-84"			393	Not Applicable	Not Applicable
	"Barnes County, ND"	"38003"	"85+ years"	"85+"	"Jun., 2010"	"2010/06"	10	Not Applicable	Not Applicable
	"Barnes County, ND"	"38003"	"85+ years"	"85+"	"Mar., 2014"	"2014/03"	10	Not Applicable	Not Applicable
	"Barnes County, ND"	"38003"	"85+ years"	"85+"	"Nov., 2020 "	"2020/11"	11	Not Applicable	Not Applicable
	"Barnes County, ND"	"38003"	"85+ years"	"85+"	"Dec., 2020 "	"2020/12"	10	Not Applicable	Not Applicable
"Total"	"Barnes County, ND"	"38003"	"85+ years"	"85+"			573	Not Applicable	Not Applicable
"Total"	"Barnes County, ND"	"38003"					1347	Not Applicable	Not Applicable
"Total"	"Benson County, ND"	"38005"	"55-64 years"	"55-64"			99	Not Applicable	Not Applicable
"Total"	"Benson County, ND"	"38005"	"65-74 years"	"65-74"			155	Not Applicable	Not Applicable
"Total"	"Benson County, ND"	"38005"	"75-84 years"	"75-84"			149	Not Applicable	Not Applicable
"Total"	"Benson County, ND"	"38005"	"85+ years"	"85+"			144	Not Applicable	Not Applicable
"Total"	"Benson County, ND"	"38005"					547	Not Applicable	Not Applicable
"Total"	"Billings County, ND"	"38007"	"55-64 years"	"55-64"			11	Not Applicable	Not Applicable
"Total"	"Billings County, ND"	"38007"	"65-74 years"	"65-74"			12	Not Applicable	Not Applicable
"Total"	"Billings County, ND"	"38007"	"75-84 years"	"75-84"			15	Not Applicable	Not Applicable
"Total"	"Billings County, ND"	"38007"	"85+ years"	"85+"			16	Not Applicable	Not Applicable
"Total"	"Billings County, ND"	"38007"					54	Not Applicable	Not Applicable
"Total"	"Bottineau County, ND"	"38009"	"55-64 years"	"55-64"			85	Not Applicable	Not Applicable
"Total"	"Bottineau County, ND"	"38009"	"65-74 years"	"65-74"			146	Not Applicable	Not Applicable
"Total"	"Bottineau County, ND"	"38009"	"75-84 years"	"75-84"			227	Not Applicable	Not Applicable
"Total"	"Bottineau County, ND"	"38009"	"85+ years"	"85+"			352	Not Applicable	Not Applicable
"Total"	"Bottineau County, ND"	"38009"					810	Not Applicable	Not Applicable
"Total"	"Bowman County, ND"	"38011"	"55-64 years"	"55-64"			41	Not Applicable	Not Applicable
"Total"	"Bowman County, ND"	"38011"	"65-74 years"	"65-74"			60	Not Applicable	Not Applicable
"Total"	"Bowman County, ND"	"38011"	"75-84 years"	"75-84"			129	Not Applicable	Not Applicable
"Total"	"Bowman County, ND"	"38011"	"85+ years"	"85+"			208	Not Applicable	Not Applicable
"Total"	"Bowman County, ND"	"38011"					438	Not Applicable	Not Applicable
"Total"	"Burke County, ND"	"38013"	"55-64 years"	"55-64"			30	Not Applicable	Not Applicable
"Total"	"Burke County, ND"	"38013"	"65-74 years"	"65-74"			52	Not Applicable	Not Applicable
"Total"	"Burke County, ND"	"38013"	"75-84 years"	"75-84"			66	Not Applicable	Not Applicable
"Total"	"Burke County, ND"	"38013"	"85+ years"	"85+"			69	Not Applicable	Not Applicable
