"Notes"	"County"	"County Code"	"Ten-Year Age Groups"	"Ten-Year Age Groups Code"	"Month"	"Month Code"	Deaths	Population	Crude Rate
	"Adams County, OH"	"39001"	"65-74 years"	"65-74"	"Jan., 2010"	"2010/01"	10	Not Applicable	Not Applicable
	"Adams County, OH"	"39001"	"65-74 years"	"65-74"	"Jul., 2012"	"2012/07"	12	Not Applicable	Not Applicable
	"Adams County, OH"	"39001"	"75-84 years"	"75-84"	"Sep., 2010"	"2010/09"	10	Not Applicable	Not Applicable
	"Adams County, OH"	"39001"	"75-84 years"	"75-84"	"Dec., 2010"	"2010/12"	10	Not Applicable	Not Applicable
	"Adams County, OH"	"39001"	"75-84 years"	"75-84"	"Mar., 2011"	"2011/03"	10	Not Applicable	Not Applicable
	"Adams County, OH"	"39001"	"75-84 years"	"75-84"	"Oct., 2011"	"2011/10"	12	Not Applicable	Not Applicable
	"Adams County, OH"	"39001"	"75-84 years"	"75-84"	"Dec., 2011"	"2011/12"	13	Not Applicable	Not Applicable
	"Adams County, OH"	"39001"	"75-84 years"	"75-84"	"Apr., 2012"	"2012/04"	14	Not Applicable	Not Applicable
	"Adams County, OH"	"39001"	"75-84 years"	"75-84"	"Sep., 2012"	"2012/09"	10	Not Applicable	Not Applicable
	"Adams County, OH"	"39001"	"85+ years"	"85+"	"Apr., 2010"	"2010/04"	11	Not Applicable	Not Applicable
	"Adams County, OH"	"39001"	"85+ years"	"85+"	"Jul., 2010"	"2010/07"	10	Not Applicable	Not Applicable
	"Adams County, OH"	"39001"	"85+ years"	"85+"	"Oct., 2010"	"2010/10"	10	Not Applicable	Not Applicable
	"Adams County, OH"	"39001"	"85+ years"	"85+"	"Feb., 2011"	"2011/02"	11	Not Applicable	Not Applicable
	"Adams County, OH"	"39001"	"85+ years"	"85+"	"Jan., 2012"	"2012/01"	10	Not Applicable	Not Applicable
	"Adams County, OH"	"39001"	"85+ years"	"85+"	"Feb., 2012"	"2012/02"	11	Not Applicable	Not Applicable
	"Adams County, OH"	"39001"	"85+ years"	"85+"	"May, 2012"	"2012/05"	12	Not Applicable	Not Applicable
	"Allen County, OH"	"39003"	"55-64 years"	"55-64"	"Jan., 2010"	"2010/01"	12	Not Applicable	Not Applicable
	"Allen County, OH"	"39003"	"55-64 years"	"55-64"	"Feb., 2010"	"2010/02"	11	Not Applicable	Not Applicable
	"Allen County, OH"	"39003"	"55-64 years"	"55-64"	"Mar., 2010"	"2010/03"	10	Not Applicable	Not Applicable
