"Notes"	"County"	"County Code"	"Ten-Year Age Groups"	"Ten-Year Age Groups Code"	"Month"	"Month Code"	Deaths	Population	Crude Rate
	"Adams County, OH"	"39001"	"55-64 years"	"55-64"	"Jan., 2020 "	"2020/01"	10	Not Applicable	Not Applicable
	"Adams County, OH"	"39001"	"55-64 years"	"55-64"	"Jul., 2020 "	"2020/07"	10	Not Applicable	Not Applicable
	"Adams County, OH"	"39001"	"55-64 years"	"55-64"	"Nov., 2020 "	"2020/11"	10	Not Applicable	Not Applicable
	"Adams County, OH"	"39001"	"65-74 years"	"65-74"	"Mar., 2019"	"2019/03"	10	Not Applicable	Not Applicable
	"Adams County, OH"	"39001"	"65-74 years"	"65-74"	"Apr., 2019"	"2019/04"	12	Not Applicable	Not Applicable
	"Adams County, OH"	"39001"	"65-74 years"	"65-74"	"Apr., 2020 "	"2020/04"	10	Not Applicable	Not Applicable
	"Adams County, OH"	"39001"	"75-84 years"	"75-84"	"Apr., 2019"	"2019/04"	10	Not Applicable	Not Applicable
	"Adams County, OH"	"39001"	"75-84 years"	"75-84"	"Jul., 2019"	"2019/07"	14	Not Applicable	Not Applicable
	"Adams County, OH"	"39001"	"75-84 years"	"75-84"	"Oct., 2019"	"2019/10"	10	Not Applicable	Not Applicable
	"Adams County, OH"	"39001"	"75-84 years"	"75-84"	"Nov., 2019"	"2019/11"	10	Not Applicable	Not Applicable
	"Adams County, OH"	"39001"	"75-84 years"	"75-84"	"Dec., 2019"	"2019/12"	11	Not Applicable	Not Applicable
	"Adams County, OH"	"39001"	"75-84 years"	"75-84"	"Feb., 2020 "	"2020/02"	10	Not Applicable	Not Applicable
	"Adams County, OH"	"39001"	"75-84 years"	"75-84"	"Apr., 2020 "	"2020/04"	10	Not Applicable	Not Applicable
	"Adams County, OH"	"39001"	"75-84 years"	"75-84"	"May, 2020 "	"2020/05"	11	Not Applicable	Not Applicable
	"Adams County, OH"	"39001"	"75-84 years"	"75-84"	"Nov., 2020 "	"2020/11"	18	Not Applicable	Not Applicable
	"Adams County, OH"	"39001"	"75-84 years"	"75-84"	"Dec., 2020 "	"2020/12"	15	Not Applicable	Not Applicable
	"Adams County, OH"	"39001"	"85+ years"	"85+"	"Mar., 2019"	"2019/03"	10	Not Applicable	Not Applicable
	"Adams County, OH"	"39001"	"85+ years"	"85+"	"Jun., 2019"	"2019/06"	10	Not Applicable	Not Applicable
	"Adams County, OH"	"39001"	"85+ years"	"85+"	"Sep., 2019"	"2019/09"	10	Not Applicable	Not Applicable
	"Adams County, OH"	"39001"	"85+ years"	"85+"	"Dec., 2019"	"2019/12"	10	Not Applicable	Not Applicable
	"Adams County, OH"	"39001"	"85+ years"	"85+"	"Apr., 2020 "	"2020/04"	12	Not Applicable	Not Applicable
	"Adams County, OH"	"39001"	"85+ years"	"85+"	"Nov., 2020 "	"2020/11"	11	Not Applicable	Not Applicable
	"Allen County, OH"	"39003"	"55-64 years"	"55-64"	"Jan., 2019"	"2019/01"	15	Not Applicable	Not Applicable
	"Allen County, OH"	"39003"	"55-64 years"	"55-64"	"Feb., 2019"	"2019/02"	12	Not Applicable	Not Applicable
	"Allen County, OH"	"39003"	"55-64 years"	"55-64"	"Mar., 2019"	"2019/03"	18	Not Applicable	Not Applicable
	"Allen County, OH"	"39003"	"55-64 years"	"55-64"	"Apr., 2019"	"2019/04"	12	Not Applicable	Not Applicable
	"Allen County, OH"	"39003"	"55-64 years"	"55-64"	"May, 2019"	"2019/05"	15	Not Applicable	Not Applicable
	"Allen County, OH"	"39003"	"55-64 years"	"55-64"	"Jun., 2019"	"2019/06"	10	Not Applicable	Not Applicable
	"Allen County, OH"	"39003"	"55-64 years"	"55-64"	"Jul., 2019"	"2019/07"	11	Not Applicable	Not Applicable
	"Allen County, OH"	"39003"	"55-64 years"	"55-64"	"Aug., 2019"	"2019/08"	11	Not Applicable	Not Applicable
	"Allen County, OH"	"39003"	"55-64 years"	"55-64"	"Sep., 2019"	"2019/09"	19	Not Applicable	Not Applicable
	"Allen County, OH"	"39003"	"55-64 years"	"55-64"	"Oct., 2019"	"2019/10"	11	Not Applicable	Not Applicable
	"Allen County, OH"	"39003"	"55-64 years"	"55-64"	"Nov., 2019"	"2019/11"	10	Not Applicable	Not Applicable
	"Allen County, OH"	"39003"	"55-64 years"	"55-64"	"Dec., 2019"	"2019/12"	13	Not Applicable	Not Applicable
	"Allen County, OH"	"39003"	"55-64 years"	"55-64"	"Jan., 2020 "	"2020/01"	21	Not Applicable	Not Applicable
	"Allen County, OH"	"39003"	"55-64 years"	"55-64"	"Mar., 2020 "	"2020/03"	13	Not Applicable	Not Applicable
	"Allen County, OH"	"39003"	"55-64 years"	"55-64"	"Apr., 2020 "	"2020/04"	11	Not Applicable	Not Applicable
	"Allen County, OH"	"39003"	"55-64 years"	"55-64"	"May, 2020 "	"2020/05"	13	Not Applicable	Not Applicable
	"Allen County, OH"	"39003"	"55-64 years"	"55-64"	"Jun., 2020 "	"2020/06"	16	Not Applicable	Not Applicable
	"Allen County, OH"	"39003"	"55-64 years"	"55-64"	"Jul., 2020 "	"2020/07"	16	Not Applicable	Not Applicable
	"Allen County, OH"	"39003"	"55-64 years"	"55-64"	"Sep., 2020 "	"2020/09"	16	Not Applicable	Not Applicable
	"Allen County, OH"	"39003"	"55-64 years"	"55-64"	"Oct., 2020 "	"2020/10"	16	Not Applicable	Not Applicable
	"Allen County, OH"	"39003"	"55-64 years"	"55-64"	"Nov., 2020 "	"2020/11"	15	Not Applicable	Not Applicable
	"Allen County, OH"	"39003"	"55-64 years"	"55-64"	"Dec., 2020 "	"2020/12"	17	Not Applicable	Not Applicable
	"Allen County, OH"	"39003"	"65-74 years"	"65-74"	"Jan., 2019"	"2019/01"	17	Not Applicable	Not Applicable
	"Allen County, OH"	"39003"	"65-74 years"	"65-74"	"Feb., 2019"	"2019/02"	19	Not Applicable	Not Applicable
	"Allen County, OH"	"39003"	"65-74 years"	"65-74"	"Mar., 2019"	"2019/03"	25	Not Applicable	Not Applicable
	"Allen County, OH"	"39003"	"65-74 years"	"65-74"	"Apr., 2019"	"2019/04"	17	Not Applicable	Not Applicable
	"Allen County, OH"	"39003"	"65-74 years"	"65-74"	"May, 2019"	"2019/05"	20	Not Applicable	Not Applicable
	"Allen County, OH"	"39003"	"65-74 years"	"65-74"	"Jun., 2019"	"2019/06"	17	Not Applicable	Not Applicable
	"Allen County, OH"	"39003"	"65-74 years"	"65-74"	"Jul., 2019"	"2019/07"	22	Not Applicable	Not Applicable
	"Allen County, OH"	"39003"	"65-74 years"	"65-74"	"Aug., 2019"	"2019/08"	30	Not Applicable	Not Applicable
	"Allen County, OH"	"39003"	"65-74 years"	"65-74"	"Sep., 2019"	"2019/09"	24	Not Applicable	Not Applicable
	"Allen County, OH"	"39003"	"65-74 years"	"65-74"	"Oct., 2019"	"2019/10"	22	Not Applicable	Not Applicable
	"Allen County, OH"	"39003"	"65-74 years"	"65-74"	"Nov., 2019"	"2019/11"	12	Not Applicable	Not Applicable
	"Allen County, OH"	"39003"	"65-74 years"	"65-74"	"Dec., 2019"	"2019/12"	23	Not Applicable	Not Applicable
	"Allen County, OH"	"39003"	"65-74 years"	"65-74"	"Jan., 2020 "	"2020/01"	21	Not Applicable	Not Applicable
	"Allen County, OH"	"39003"	"65-74 years"	"65-74"	"Feb., 2020 "	"2020/02"	19	Not Applicable	Not Applicable
	"Allen County, OH"	"39003"	"65-74 years"	"65-74"	"Mar., 2020 "	"2020/03"	25	Not Applicable	Not Applicable
	"Allen County, OH"	"39003"	"65-74 years"	"65-74"	"Apr., 2020 "	"2020/04"	16	Not Applicable	Not Applicable
	"Allen County, OH"	"39003"	"65-74 years"	"65-74"	"May, 2020 "	"2020/05"	18	Not Applicable	Not Applicable
	"Allen County, OH"	"39003"	"65-74 years"	"65-74"	"Jun., 2020 "	"2020/06"	18	Not Applicable	Not Applicable
	"Allen County, OH"	"39003"	"65-74 years"	"65-74"	"Jul., 2020 "	"2020/07"	26	Not Applicable	Not Applicable
	"Allen County, OH"	"39003"	"65-74 years"	"65-74"	"Aug., 2020 "	"2020/08"	26	Not Applicable	Not Applicable
	"Allen County, OH"	"39003"	"65-74 years"	"65-74"	"Sep., 2020 "	"2020/09"	19	Not Applicable	Not Applicable
	"Allen County, OH"	"39003"	"65-74 years"	"65-74"	"Oct., 2020 "	"2020/10"	25	Not Applicable	Not Applicable
	"Allen County, OH"	"39003"	"65-74 years"	"65-74"	"Nov., 2020 "	"2020/11"	27	Not Applicable	Not Applicable
	"Allen County, OH"	"39003"	"65-74 years"	"65-74"	"Dec., 2020 "	"2020/12"	40	Not Applicable	Not Applicable
	"Allen County, OH"	"39003"	"75-84 years"	"75-84"	"Jan., 2019"	"2019/01"	24	Not Applicable	Not Applicable
	"Allen County, OH"	"39003"	"75-84 years"	"75-84"	"Feb., 2019"	"2019/02"	21	Not Applicable	Not Applicable
	"Allen County, OH"	"39003"	"75-84 years"	"75-84"	"Mar., 2019"	"2019/03"	31	Not Applicable	Not Applicable
	"Allen County, OH"	"39003"	"75-84 years"	"75-84"	"Apr., 2019"	"2019/04"	13	Not Applicable	Not Applicable
	"Allen County, OH"	"39003"	"75-84 years"	"75-84"	"May, 2019"	"2019/05"	24	Not Applicable	Not Applicable
