"Notes"	"County"	"County Code"	"Ten-Year Age Groups"	"Ten-Year Age Groups Code"	"Month"	"Month Code"	Deaths	Population	Crude Rate
	"Adams County, PA"	"42001"	"55-64 years"	"55-64"	"Feb., 2010"	"2010/02"	11	Not Applicable	Not Applicable
	"Adams County, PA"	"42001"	"55-64 years"	"55-64"	"Mar., 2010"	"2010/03"	12	Not Applicable	Not Applicable
	"Adams County, PA"	"42001"	"55-64 years"	"55-64"	"May, 2010"	"2010/05"	13	Not Applicable	Not Applicable
	"Adams County, PA"	"42001"	"55-64 years"	"55-64"	"Aug., 2010"	"2010/08"	11	Not Applicable	Not Applicable
	"Adams County, PA"	"42001"	"55-64 years"	"55-64"	"Oct., 2010"	"2010/10"	10	Not Applicable	Not Applicable
	"Adams County, PA"	"42001"	"55-64 years"	"55-64"	"Dec., 2010"	"2010/12"	10	Not Applicable	Not Applicable
	"Adams County, PA"	"42001"	"55-64 years"	"55-64"	"Mar., 2011"	"2011/03"	10	Not Applicable	Not Applicable
	"Adams County, PA"	"42001"	"55-64 years"	"55-64"	"Sep., 2011"	"2011/09"	11	Not Applicable	Not Applicable
	"Adams County, PA"	"42001"	"55-64 years"	"55-64"	"Apr., 2012"	"2012/04"	13	Not Applicable	Not Applicable
	"Adams County, PA"	"42001"	"55-64 years"	"55-64"	"Aug., 2012"	"2012/08"	11	Not Applicable	Not Applicable
	"Adams County, PA"	"42001"	"55-64 years"	"55-64"	"Jan., 2013"	"2013/01"	10	Not Applicable	Not Applicable
	"Adams County, PA"	"42001"	"55-64 years"	"55-64"	"Apr., 2013"	"2013/04"	10	Not Applicable	Not Applicable
	"Adams County, PA"	"42001"	"55-64 years"	"55-64"	"May, 2013"	"2013/05"	10	Not Applicable	Not Applicable
	"Adams County, PA"	"42001"	"55-64 years"	"55-64"	"Nov., 2013"	"2013/11"	12	Not Applicable	Not Applicable
	"Adams County, PA"	"42001"	"55-64 years"	"55-64"	"Jan., 2014"	"2014/01"	13	Not Applicable	Not Applicable
	"Adams County, PA"	"42001"	"55-64 years"	"55-64"	"Mar., 2014"	"2014/03"	12	Not Applicable	Not Applicable
	"Adams County, PA"	"42001"	"55-64 years"	"55-64"	"May, 2014"	"2014/05"	10	Not Applicable	Not Applicable
	"Adams County, PA"	"42001"	"55-64 years"	"55-64"	"Jun., 2014"	"2014/06"	12	Not Applicable	Not Applicable
	"Adams County, PA"	"42001"	"55-64 years"	"55-64"	"Jul., 2014"	"2014/07"	11	Not Applicable	Not Applicable
	"Adams County, PA"	"42001"	"55-64 years"	"55-64"	"Mar., 2015"	"2015/03"	11	Not Applicable	Not Applicable
	"Adams County, PA"	"42001"	"55-64 years"	"55-64"	"Apr., 2015"	"2015/04"	12	Not Applicable	Not Applicable
	"Adams County, PA"	"42001"	"55-64 years"	"55-64"	"May, 2015"	"2015/05"	15	Not Applicable	Not Applicable
	"Adams County, PA"	"42001"	"55-64 years"	"55-64"	"Sep., 2015"	"2015/09"	15	Not Applicable	Not Applicable
	"Adams County, PA"	"42001"	"55-64 years"	"55-64"	"Dec., 2015"	"2015/12"	17	Not Applicable	Not Applicable
	"Adams County, PA"	"42001"	"55-64 years"	"55-64"	"Apr., 2016"	"2016/04"	12	Not Applicable	Not Applicable
	"Adams County, PA"	"42001"	"55-64 years"	"55-64"	"Jun., 2016"	"2016/06"	14	Not Applicable	Not Applicable
	"Adams County, PA"	"42001"	"55-64 years"	"55-64"	"Aug., 2016"	"2016/08"	13	Not Applicable	Not Applicable
	"Adams County, PA"	"42001"	"55-64 years"	"55-64"	"Oct., 2016"	"2016/10"	11	Not Applicable	Not Applicable
	"Adams County, PA"	"42001"	"55-64 years"	"55-64"	"Dec., 2016"	"2016/12"	13	Not Applicable	Not Applicable
	"Adams County, PA"	"42001"	"55-64 years"	"55-64"	"Feb., 2017"	"2017/02"	10	Not Applicable	Not Applicable
	"Adams County, PA"	"42001"	"55-64 years"	"55-64"	"May, 2017"	"2017/05"	10	Not Applicable	Not Applicable
	"Adams County, PA"	"42001"	"55-64 years"	"55-64"	"Aug., 2017"	"2017/08"	11	Not Applicable	Not Applicable
	"Adams County, PA"	"42001"	"55-64 years"	"55-64"	"Sep., 2017"	"2017/09"	11	Not Applicable	Not Applicable
	"Adams County, PA"	"42001"	"55-64 years"	"55-64"	"Oct., 2017"	"2017/10"	11	Not Applicable	Not Applicable
	"Adams County, PA"	"42001"	"55-64 years"	"55-64"	"Nov., 2017"	"2017/11"	11	Not Applicable	Not Applicable
	"Adams County, PA"	"42001"	"55-64 years"	"55-64"	"Dec., 2017"	"2017/12"	10	Not Applicable	Not Applicable
	"Adams County, PA"	"42001"	"55-64 years"	"55-64"	"Apr., 2018"	"2018/04"	11	Not Applicable	Not Applicable
	"Adams County, PA"	"42001"	"55-64 years"	"55-64"	"Jun., 2018"	"2018/06"	10	Not Applicable	Not Applicable
	"Adams County, PA"	"42001"	"55-64 years"	"55-64"	"Aug., 2018"	"2018/08"	12	Not Applicable	Not Applicable
	"Adams County, PA"	"42001"	"55-64 years"	"55-64"	"Sep., 2018"	"2018/09"	10	Not Applicable	Not Applicable
	"Adams County, PA"	"42001"	"55-64 years"	"55-64"	"Nov., 2018"	"2018/11"	10	Not Applicable	Not Applicable
	"Adams County, PA"	"42001"	"55-64 years"	"55-64"	"Dec., 2018"	"2018/12"	13	Not Applicable	Not Applicable
	"Adams County, PA"	"42001"	"55-64 years"	"55-64"	"Jan., 2019"	"2019/01"	10	Not Applicable	Not Applicable
	"Adams County, PA"	"42001"	"55-64 years"	"55-64"	"Feb., 2019"	"2019/02"	11	Not Applicable	Not Applicable
	"Adams County, PA"	"42001"	"55-64 years"	"55-64"	"Apr., 2019"	"2019/04"	11	Not Applicable	Not Applicable
	"Adams County, PA"	"42001"	"55-64 years"	"55-64"	"Jun., 2019"	"2019/06"	11	Not Applicable	Not Applicable
	"Adams County, PA"	"42001"	"55-64 years"	"55-64"	"Oct., 2019"	"2019/10"	18	Not Applicable	Not Applicable
	"Adams County, PA"	"42001"	"55-64 years"	"55-64"	"Jan., 2020 "	"2020/01"	11	Not Applicable	Not Applicable
	"Adams County, PA"	"42001"	"55-64 years"	"55-64"	"Feb., 2020 "	"2020/02"	10	Not Applicable	Not Applicable
	"Adams County, PA"	"42001"	"55-64 years"	"55-64"	"Mar., 2020 "	"2020/03"	13	Not Applicable	Not Applicable
	"Adams County, PA"	"42001"	"55-64 years"	"55-64"	"Apr., 2020 "	"2020/04"	11	Not Applicable	Not Applicable
	"Adams County, PA"	"42001"	"55-64 years"	"55-64"	"May, 2020 "	"2020/05"	12	Not Applicable	Not Applicable
	"Adams County, PA"	"42001"	"55-64 years"	"55-64"	"Jun., 2020 "	"2020/06"	11	Not Applicable	Not Applicable
	"Adams County, PA"	"42001"	"55-64 years"	"55-64"	"Aug., 2020 "	"2020/08"	15	Not Applicable	Not Applicable
	"Adams County, PA"	"42001"	"55-64 years"	"55-64"	"Dec., 2020 "	"2020/12"	12	Not Applicable	Not Applicable
	"Adams County, PA"	"42001"	"65-74 years"	"65-74"	"Jan., 2010"	"2010/01"	15	Not Applicable	Not Applicable
	"Adams County, PA"	"42001"	"65-74 years"	"65-74"	"Feb., 2010"	"2010/02"	16	Not Applicable	Not Applicable
	"Adams County, PA"	"42001"	"65-74 years"	"65-74"	"Mar., 2010"	"2010/03"	15	Not Applicable	Not Applicable
	"Adams County, PA"	"42001"	"65-74 years"	"65-74"	"May, 2010"	"2010/05"	16	Not Applicable	Not Applicable
	"Adams County, PA"	"42001"	"65-74 years"	"65-74"	"Jul., 2010"	"2010/07"	11	Not Applicable	Not Applicable
	"Adams County, PA"	"42001"	"65-74 years"	"65-74"	"Aug., 2010"	"2010/08"	13	Not Applicable	Not Applicable
	"Adams County, PA"	"42001"	"65-74 years"	"65-74"	"Sep., 2010"	"2010/09"	16	Not Applicable	Not Applicable
	"Adams County, PA"	"42001"	"65-74 years"	"65-74"	"Oct., 2010"	"2010/10"	12	Not Applicable	Not Applicable
	"Adams County, PA"	"42001"	"65-74 years"	"65-74"	"Nov., 2010"	"2010/11"	11	Not Applicable	Not Applicable
	"Adams County, PA"	"42001"	"65-74 years"	"65-74"	"Dec., 2010"	"2010/12"	12	Not Applicable	Not Applicable
	"Adams County, PA"	"42001"	"65-74 years"	"65-74"	"Jan., 2011"	"2011/01"	20	Not Applicable	Not Applicable
	"Adams County, PA"	"42001"	"65-74 years"	"65-74"	"Feb., 2011"	"2011/02"	15	Not Applicable	Not Applicable
	"Adams County, PA"	"42001"	"65-74 years"	"65-74"	"Apr., 2011"	"2011/04"	12	Not Applicable	Not Applicable
	"Adams County, PA"	"42001"	"65-74 years"	"65-74"	"May, 2011"	"2011/05"	12	Not Applicable	Not Applicable
	"Adams County, PA"	"42001"	"65-74 years"	"65-74"	"Jun., 2011"	"2011/06"	11	Not Applicable	Not Applicable
	"Adams County, PA"	"42001"	"65-74 years"	"65-74"	"Jul., 2011"	"2011/07"	10	Not Applicable	Not Applicable
	"Adams County, PA"	"42001"	"65-74 years"	"65-74"	"Aug., 2011"	"2011/08"	18	Not Applicable	Not Applicable
	"Adams County, PA"	"42001"	"65-74 years"	"65-74"	"Sep., 2011"	"2011/09"	12	Not Applicable	Not Applicable
	"Adams County, PA"	"42001"	"65-74 years"	"65-74"	"Oct., 2011"	"2011/10"	17	Not Applicable	Not Applicable
