"Notes"	"County"	"County Code"	"Ten-Year Age Groups"	"Ten-Year Age Groups Code"	"Month"	"Month Code"	Deaths	Population	Crude Rate
	"Beadle County, SD"	"46005"	"75-84 years"	"75-84"	"Jul., 2014"	"2014/07"	10	Not Applicable	Not Applicable
	"Beadle County, SD"	"46005"	"85+ years"	"85+"	"Aug., 2013"	"2013/08"	10	Not Applicable	Not Applicable
	"Beadle County, SD"	"46005"	"85+ years"	"85+"	"Jan., 2014"	"2014/01"	10	Not Applicable	Not Applicable
	"Beadle County, SD"	"46005"	"85+ years"	"85+"	"Apr., 2014"	"2014/04"	11	Not Applicable	Not Applicable
	"Beadle County, SD"	"46005"	"85+ years"	"85+"	"Jan., 2015"	"2015/01"	11	Not Applicable	Not Applicable
	"Beadle County, SD"	"46005"	"85+ years"	"85+"	"Nov., 2015"	"2015/11"	14	Not Applicable	Not Applicable
	"Brookings County, SD"	"46011"	"85+ years"	"85+"	"Jun., 2013"	"2013/06"	11	Not Applicable	Not Applicable
	"Brookings County, SD"	"46011"	"85+ years"	"85+"	"Jan., 2014"	"2014/01"	12	Not Applicable	Not Applicable
	"Brookings County, SD"	"46011"	"85+ years"	"85+"	"Sep., 2014"	"2014/09"	10	Not Applicable	Not Applicable
	"Brookings County, SD"	"46011"	"85+ years"	"85+"	"Oct., 2015"	"2015/10"	10	Not Applicable	Not Applicable
	"Brookings County, SD"	"46011"	"85+ years"	"85+"	"Nov., 2015"	"2015/11"	10	Not Applicable	Not Applicable
	"Brown County, SD"	"46013"	"75-84 years"	"75-84"	"May, 2013"	"2013/05"	13	Not Applicable	Not Applicable
	"Brown County, SD"	"46013"	"75-84 years"	"75-84"	"Jul., 2013"	"2013/07"	10	Not Applicable	Not Applicable
	"Brown County, SD"	"46013"	"75-84 years"	"75-84"	"Sep., 2013"	"2013/09"	13	Not Applicable	Not Applicable
	"Brown County, SD"	"46013"	"75-84 years"	"75-84"	"Oct., 2013"	"2013/10"	16	Not Applicable	Not Applicable
	"Brown County, SD"	"46013"	"75-84 years"	"75-84"	"Feb., 2014"	"2014/02"	10	Not Applicable	Not Applicable
	"Brown County, SD"	"46013"	"75-84 years"	"75-84"	"Jul., 2014"	"2014/07"	10	Not Applicable	Not Applicable
	"Brown County, SD"	"46013"	"75-84 years"	"75-84"	"Nov., 2014"	"2014/11"	11	Not Applicable	Not Applicable
	"Brown County, SD"	"46013"	"75-84 years"	"75-84"	"Mar., 2015"	"2015/03"	10	Not Applicable	Not Applicable
	"Brown County, SD"	"46013"	"85+ years"	"85+"	"Jan., 2013"	"2013/01"	19	Not Applicable	Not Applicable
	"Brown County, SD"	"46013"	"85+ years"	"85+"	"Feb., 2013"	"2013/02"	24	Not Applicable	Not Applicable
	"Brown County, SD"	"46013"	"85+ years"	"85+"	"Mar., 2013"	"2013/03"	16	Not Applicable	Not Applicable
	"Brown County, SD"	"46013"	"85+ years"	"85+"	"Apr., 2013"	"2013/04"	13	Not Applicable	Not Applicable
	"Brown County, SD"	"46013"	"85+ years"	"85+"	"May, 2013"	"2013/05"	15	Not Applicable	Not Applicable
	"Brown County, SD"	"46013"	"85+ years"	"85+"	"Jun., 2013"	"2013/06"	16	Not Applicable	Not Applicable
	"Brown County, SD"	"46013"	"85+ years"	"85+"	"Jul., 2013"	"2013/07"	10	Not Applicable	Not Applicable
	"Brown County, SD"	"46013"	"85+ years"	"85+"	"Aug., 2013"	"2013/08"	10	Not Applicable	Not Applicable
	"Brown County, SD"	"46013"	"85+ years"	"85+"	"Sep., 2013"	"2013/09"	10	Not Applicable	Not Applicable
	"Brown County, SD"	"46013"	"85+ years"	"85+"	"Oct., 2013"	"2013/10"	15	Not Applicable	Not Applicable
	"Brown County, SD"	"46013"	"85+ years"	"85+"	"Nov., 2013"	"2013/11"	10	Not Applicable	Not Applicable
	"Brown County, SD"	"46013"	"85+ years"	"85+"	"Dec., 2013"	"2013/12"	10	Not Applicable	Not Applicable
	"Brown County, SD"	"46013"	"85+ years"	"85+"	"Jan., 2014"	"2014/01"	15	Not Applicable	Not Applicable
	"Brown County, SD"	"46013"	"85+ years"	"85+"	"Feb., 2014"	"2014/02"	20	Not Applicable	Not Applicable
	"Brown County, SD"	"46013"	"85+ years"	"85+"	"Mar., 2014"	"2014/03"	19	Not Applicable	Not Applicable
	"Brown County, SD"	"46013"	"85+ years"	"85+"	"Apr., 2014"	"2014/04"	22	Not Applicable	Not Applicable
	"Brown County, SD"	"46013"	"85+ years"	"85+"	"May, 2014"	"2014/05"	11	Not Applicable	Not Applicable
	"Brown County, SD"	"46013"	"85+ years"	"85+"	"Jul., 2014"	"2014/07"	12	Not Applicable	Not Applicable
	"Brown County, SD"	"46013"	"85+ years"	"85+"	"Aug., 2014"	"2014/08"	18	Not Applicable	Not Applicable
	"Brown County, SD"	"46013"	"85+ years"	"85+"	"Sep., 2014"	"2014/09"	17	Not Applicable	Not Applicable
	"Brown County, SD"	"46013"	"85+ years"	"85+"	"Oct., 2014"	"2014/10"	15	Not Applicable	Not Applicable
	"Brown County, SD"	"46013"	"85+ years"	"85+"	"Nov., 2014"	"2014/11"	10	Not Applicable	Not Applicable
	"Brown County, SD"	"46013"	"85+ years"	"85+"	"Dec., 2014"	"2014/12"	18	Not Applicable	Not Applicable
	"Brown County, SD"	"46013"	"85+ years"	"85+"	"Jan., 2015"	"2015/01"	16	Not Applicable	Not Applicable
	"Brown County, SD"	"46013"	"85+ years"	"85+"	"Feb., 2015"	"2015/02"	15	Not Applicable	Not Applicable
	"Brown County, SD"	"46013"	"85+ years"	"85+"	"Mar., 2015"	"2015/03"	21	Not Applicable	Not Applicable
	"Brown County, SD"	"46013"	"85+ years"	"85+"	"Apr., 2015"	"2015/04"	11	Not Applicable	Not Applicable
	"Brown County, SD"	"46013"	"85+ years"	"85+"	"May, 2015"	"2015/05"	12	Not Applicable	Not Applicable
	"Brown County, SD"	"46013"	"85+ years"	"85+"	"Jun., 2015"	"2015/06"	13	Not Applicable	Not Applicable
	"Brown County, SD"	"46013"	"85+ years"	"85+"	"Jul., 2015"	"2015/07"	10	Not Applicable	Not Applicable
	"Brown County, SD"	"46013"	"85+ years"	"85+"	"Aug., 2015"	"2015/08"	10	Not Applicable	Not Applicable
	"Brown County, SD"	"46013"	"85+ years"	"85+"	"Oct., 2015"	"2015/10"	14	Not Applicable	Not Applicable
	"Brown County, SD"	"46013"	"85+ years"	"85+"	"Nov., 2015"	"2015/11"	18	Not Applicable	Not Applicable
	"Codington County, SD"	"46029"	"75-84 years"	"75-84"	"Oct., 2013"	"2013/10"	10	Not Applicable	Not Applicable
	"Codington County, SD"	"46029"	"85+ years"	"85+"	"Mar., 2013"	"2013/03"	12	Not Applicable	Not Applicable
	"Codington County, SD"	"46029"	"85+ years"	"85+"	"Jun., 2013"	"2013/06"	10	Not Applicable	Not Applicable
	"Codington County, SD"	"46029"	"85+ years"	"85+"	"Nov., 2013"	"2013/11"	10	Not Applicable	Not Applicable
	"Codington County, SD"	"46029"	"85+ years"	"85+"	"Jan., 2014"	"2014/01"	11	Not Applicable	Not Applicable
	"Codington County, SD"	"46029"	"85+ years"	"85+"	"Mar., 2014"	"2014/03"	10	Not Applicable	Not Applicable
	"Codington County, SD"	"46029"	"85+ years"	"85+"	"Oct., 2014"	"2014/10"	10	Not Applicable	Not Applicable
	"Codington County, SD"	"46029"	"85+ years"	"85+"	"Jan., 2015"	"2015/01"	13	Not Applicable	Not Applicable
	"Codington County, SD"	"46029"	"85+ years"	"85+"	"Mar., 2015"	"2015/03"	10	Not Applicable	Not Applicable
	"Codington County, SD"	"46029"	"85+ years"	"85+"	"May, 2015"	"2015/05"	10	Not Applicable	Not Applicable
	"Codington County, SD"	"46029"	"85+ years"	"85+"	"Dec., 2015"	"2015/12"	12	Not Applicable	Not Applicable
	"Davison County, SD"	"46035"	"85+ years"	"85+"	"Jan., 2013"	"2013/01"	12	Not Applicable	Not Applicable
	"Davison County, SD"	"46035"	"85+ years"	"85+"	"Feb., 2014"	"2014/02"	15	Not Applicable	Not Applicable
	"Davison County, SD"	"46035"	"85+ years"	"85+"	"Nov., 2014"	"2014/11"	12	Not Applicable	Not Applicable
	"Davison County, SD"	"46035"	"85+ years"	"85+"	"Dec., 2014"	"2014/12"	15	Not Applicable	Not Applicable
	"Davison County, SD"	"46035"	"85+ years"	"85+"	"Jun., 2015"	"2015/06"	12	Not Applicable	Not Applicable
	"Fall River County, SD"	"46047"	"85+ years"	"85+"	"Jul., 2015"	"2015/07"	10	Not Applicable	Not Applicable
	"Hughes County, SD"	"46065"	"85+ years"	"85+"	"Mar., 2015"	"2015/03"	10	Not Applicable	Not Applicable
	"Hughes County, SD"	"46065"	"85+ years"	"85+"	"Aug., 2015"	"2015/08"	10	Not Applicable	Not Applicable
	"Hutchinson County, SD"	"46067"	"85+ years"	"85+"	"Jan., 2014"	"2014/01"	10	Not Applicable	Not Applicable
