"Notes"	"County"	"County Code"	"Ten-Year Age Groups"	"Ten-Year Age Groups Code"	"Month"	"Month Code"	Deaths	Population	Crude Rate
	"Anderson County, TN"	"47001"	"55-64 years"	"55-64"	"Feb., 2013"	"2013/02"	11	Not Applicable	Not Applicable
	"Anderson County, TN"	"47001"	"55-64 years"	"55-64"	"Apr., 2013"	"2013/04"	12	Not Applicable	Not Applicable
	"Anderson County, TN"	"47001"	"55-64 years"	"55-64"	"May, 2013"	"2013/05"	13	Not Applicable	Not Applicable
	"Anderson County, TN"	"47001"	"55-64 years"	"55-64"	"Jul., 2013"	"2013/07"	19	Not Applicable	Not Applicable
	"Anderson County, TN"	"47001"	"55-64 years"	"55-64"	"Sep., 2013"	"2013/09"	10	Not Applicable	Not Applicable
	"Anderson County, TN"	"47001"	"55-64 years"	"55-64"	"Oct., 2013"	"2013/10"	10	Not Applicable	Not Applicable
	"Anderson County, TN"	"47001"	"55-64 years"	"55-64"	"Nov., 2013"	"2013/11"	15	Not Applicable	Not Applicable
	"Anderson County, TN"	"47001"	"55-64 years"	"55-64"	"Dec., 2013"	"2013/12"	14	Not Applicable	Not Applicable
	"Anderson County, TN"	"47001"	"55-64 years"	"55-64"	"Jan., 2014"	"2014/01"	10	Not Applicable	Not Applicable
	"Anderson County, TN"	"47001"	"55-64 years"	"55-64"	"Feb., 2014"	"2014/02"	11	Not Applicable	Not Applicable
	"Anderson County, TN"	"47001"	"55-64 years"	"55-64"	"Apr., 2014"	"2014/04"	11	Not Applicable	Not Applicable
	"Anderson County, TN"	"47001"	"55-64 years"	"55-64"	"May, 2014"	"2014/05"	16	Not Applicable	Not Applicable
	"Anderson County, TN"	"47001"	"55-64 years"	"55-64"	"Jul., 2014"	"2014/07"	11	Not Applicable	Not Applicable
	"Anderson County, TN"	"47001"	"55-64 years"	"55-64"	"Sep., 2014"	"2014/09"	10	Not Applicable	Not Applicable
	"Anderson County, TN"	"47001"	"55-64 years"	"55-64"	"Oct., 2014"	"2014/10"	12	Not Applicable	Not Applicable
	"Anderson County, TN"	"47001"	"55-64 years"	"55-64"	"Nov., 2014"	"2014/11"	13	Not Applicable	Not Applicable
	"Anderson County, TN"	"47001"	"55-64 years"	"55-64"	"Dec., 2014"	"2014/12"	13	Not Applicable	Not Applicable
	"Anderson County, TN"	"47001"	"55-64 years"	"55-64"	"Feb., 2015"	"2015/02"	13	Not Applicable	Not Applicable
	"Anderson County, TN"	"47001"	"55-64 years"	"55-64"	"Mar., 2015"	"2015/03"	14	Not Applicable	Not Applicable
	"Anderson County, TN"	"47001"	"55-64 years"	"55-64"	"Jun., 2015"	"2015/06"	11	Not Applicable	Not Applicable
	"Anderson County, TN"	"47001"	"55-64 years"	"55-64"	"Jul., 2015"	"2015/07"	10	Not Applicable	Not Applicable
	"Anderson County, TN"	"47001"	"55-64 years"	"55-64"	"Aug., 2015"	"2015/08"	10	Not Applicable	Not Applicable
	"Anderson County, TN"	"47001"	"55-64 years"	"55-64"	"Oct., 2015"	"2015/10"	10	Not Applicable	Not Applicable
	"Anderson County, TN"	"47001"	"55-64 years"	"55-64"	"Dec., 2015"	"2015/12"	22	Not Applicable	Not Applicable
	"Anderson County, TN"	"47001"	"65-74 years"	"65-74"	"Jan., 2013"	"2013/01"	16	Not Applicable	Not Applicable
	"Anderson County, TN"	"47001"	"65-74 years"	"65-74"	"Feb., 2013"	"2013/02"	11	Not Applicable	Not Applicable
	"Anderson County, TN"	"47001"	"65-74 years"	"65-74"	"Mar., 2013"	"2013/03"	20	Not Applicable	Not Applicable
	"Anderson County, TN"	"47001"	"65-74 years"	"65-74"	"Apr., 2013"	"2013/04"	12	Not Applicable	Not Applicable
	"Anderson County, TN"	"47001"	"65-74 years"	"65-74"	"May, 2013"	"2013/05"	11	Not Applicable	Not Applicable
	"Anderson County, TN"	"47001"	"65-74 years"	"65-74"	"Jun., 2013"	"2013/06"	15	Not Applicable	Not Applicable
	"Anderson County, TN"	"47001"	"65-74 years"	"65-74"	"Jul., 2013"	"2013/07"	18	Not Applicable	Not Applicable
	"Anderson County, TN"	"47001"	"65-74 years"	"65-74"	"Aug., 2013"	"2013/08"	16	Not Applicable	Not Applicable
	"Anderson County, TN"	"47001"	"65-74 years"	"65-74"	"Oct., 2013"	"2013/10"	11	Not Applicable	Not Applicable
	"Anderson County, TN"	"47001"	"65-74 years"	"65-74"	"Nov., 2013"	"2013/11"	16	Not Applicable	Not Applicable
	"Anderson County, TN"	"47001"	"65-74 years"	"65-74"	"Dec., 2013"	"2013/12"	17	Not Applicable	Not Applicable
	"Anderson County, TN"	"47001"	"65-74 years"	"65-74"	"Jan., 2014"	"2014/01"	11	Not Applicable	Not Applicable
	"Anderson County, TN"	"47001"	"65-74 years"	"65-74"	"Feb., 2014"	"2014/02"	17	Not Applicable	Not Applicable
	"Anderson County, TN"	"47001"	"65-74 years"	"65-74"	"Mar., 2014"	"2014/03"	21	Not Applicable	Not Applicable
	"Anderson County, TN"	"47001"	"65-74 years"	"65-74"	"Apr., 2014"	"2014/04"	13	Not Applicable	Not Applicable
