"Notes"	"County"	"County Code"	"Ten-Year Age Groups"	"Ten-Year Age Groups Code"	"Month"	"Month Code"	Deaths	Population	Crude Rate
"Total"	"Beaver County, UT"	"49001"	"55-64 years"	"55-64"			72	Not Applicable	Not Applicable
"Total"	"Beaver County, UT"	"49001"	"65-74 years"	"65-74"			101	Not Applicable	Not Applicable
"Total"	"Beaver County, UT"	"49001"	"75-84 years"	"75-84"			165	Not Applicable	Not Applicable
"Total"	"Beaver County, UT"	"49001"	"85+ years"	"85+"			221	Not Applicable	Not Applicable
"Total"	"Beaver County, UT"	"49001"					559	Not Applicable	Not Applicable
	"Box Elder County, UT"	"49003"	"55-64 years"	"55-64"	"Apr., 2020 "	"2020/04"	10	Not Applicable	Not Applicable
"Total"	"Box Elder County, UT"	"49003"	"55-64 years"	"55-64"			435	Not Applicable	Not Applicable
	"Box Elder County, UT"	"49003"	"65-74 years"	"65-74"	"Aug., 2012"	"2012/08"	13	Not Applicable	Not Applicable
	"Box Elder County, UT"	"49003"	"65-74 years"	"65-74"	"Apr., 2014"	"2014/04"	11	Not Applicable	Not Applicable
	"Box Elder County, UT"	"49003"	"65-74 years"	"65-74"	"Mar., 2017"	"2017/03"	10	Not Applicable	Not Applicable
	"Box Elder County, UT"	"49003"	"65-74 years"	"65-74"	"Jan., 2020 "	"2020/01"	10	Not Applicable	Not Applicable
	"Box Elder County, UT"	"49003"	"65-74 years"	"65-74"	"Aug., 2020 "	"2020/08"	11	Not Applicable	Not Applicable
"Total"	"Box Elder County, UT"	"49003"	"65-74 years"	"65-74"			670	Not Applicable	Not Applicable
	"Box Elder County, UT"	"49003"	"75-84 years"	"75-84"	"Mar., 2010"	"2010/03"	13	Not Applicable	Not Applicable
	"Box Elder County, UT"	"49003"	"75-84 years"	"75-84"	"May, 2010"	"2010/05"	12	Not Applicable	Not Applicable
	"Box Elder County, UT"	"49003"	"75-84 years"	"75-84"	"Jul., 2010"	"2010/07"	10	Not Applicable	Not Applicable
