"Notes"	"County"	"County Code"	"Ten-Year Age Groups"	"Ten-Year Age Groups Code"	"Month"	"Month Code"	Deaths	Population	Crude Rate
	"Accomack County, VA"	"51001"	"55-64 years"	"55-64"	"May, 2015"	"2015/05"	10	Not Applicable	Not Applicable
	"Accomack County, VA"	"51001"	"55-64 years"	"55-64"	"Jun., 2015"	"2015/06"	10	Not Applicable	Not Applicable
	"Accomack County, VA"	"51001"	"65-74 years"	"65-74"	"Jan., 2013"	"2013/01"	10	Not Applicable	Not Applicable
	"Accomack County, VA"	"51001"	"65-74 years"	"65-74"	"Apr., 2013"	"2013/04"	11	Not Applicable	Not Applicable
	"Accomack County, VA"	"51001"	"65-74 years"	"65-74"	"May, 2013"	"2013/05"	11	Not Applicable	Not Applicable
	"Accomack County, VA"	"51001"	"65-74 years"	"65-74"	"Oct., 2014"	"2014/10"	12	Not Applicable	Not Applicable
	"Accomack County, VA"	"51001"	"75-84 years"	"75-84"	"Jan., 2013"	"2013/01"	12	Not Applicable	Not Applicable
	"Accomack County, VA"	"51001"	"75-84 years"	"75-84"	"Feb., 2013"	"2013/02"	13	Not Applicable	Not Applicable
	"Accomack County, VA"	"51001"	"75-84 years"	"75-84"	"Apr., 2013"	"2013/04"	11	Not Applicable	Not Applicable
	"Accomack County, VA"	"51001"	"75-84 years"	"75-84"	"Aug., 2013"	"2013/08"	10	Not Applicable	Not Applicable
	"Accomack County, VA"	"51001"	"75-84 years"	"75-84"	"Sep., 2013"	"2013/09"	10	Not Applicable	Not Applicable
	"Accomack County, VA"	"51001"	"75-84 years"	"75-84"	"Oct., 2013"	"2013/10"	14	Not Applicable	Not Applicable
	"Accomack County, VA"	"51001"	"75-84 years"	"75-84"	"Nov., 2013"	"2013/11"	10	Not Applicable	Not Applicable
	"Accomack County, VA"	"51001"	"75-84 years"	"75-84"	"Dec., 2013"	"2013/12"	12	Not Applicable	Not Applicable
	"Accomack County, VA"	"51001"	"75-84 years"	"75-84"	"Jan., 2014"	"2014/01"	15	Not Applicable	Not Applicable
	"Accomack County, VA"	"51001"	"75-84 years"	"75-84"	"Feb., 2014"	"2014/02"	12	Not Applicable	Not Applicable
	"Accomack County, VA"	"51001"	"75-84 years"	"75-84"	"Mar., 2014"	"2014/03"	11	Not Applicable	Not Applicable
	"Accomack County, VA"	"51001"	"75-84 years"	"75-84"	"Apr., 2014"	"2014/04"	17	Not Applicable	Not Applicable
	"Accomack County, VA"	"51001"	"75-84 years"	"75-84"	"Oct., 2014"	"2014/10"	11	Not Applicable	Not Applicable
	"Accomack County, VA"	"51001"	"75-84 years"	"75-84"	"Nov., 2014"	"2014/11"	11	Not Applicable	Not Applicable
	"Accomack County, VA"	"51001"	"75-84 years"	"75-84"	"Dec., 2014"	"2014/12"	15	Not Applicable	Not Applicable
	"Accomack County, VA"	"51001"	"75-84 years"	"75-84"	"Jan., 2015"	"2015/01"	11	Not Applicable	Not Applicable
	"Accomack County, VA"	"51001"	"75-84 years"	"75-84"	"Feb., 2015"	"2015/02"	15	Not Applicable	Not Applicable
	"Accomack County, VA"	"51001"	"75-84 years"	"75-84"	"Mar., 2015"	"2015/03"	14	Not Applicable	Not Applicable
	"Accomack County, VA"	"51001"	"75-84 years"	"75-84"	"Apr., 2015"	"2015/04"	12	Not Applicable	Not Applicable
	"Accomack County, VA"	"51001"	"75-84 years"	"75-84"	"Jun., 2015"	"2015/06"	10	Not Applicable	Not Applicable
	"Accomack County, VA"	"51001"	"75-84 years"	"75-84"	"Jul., 2015"	"2015/07"	17	Not Applicable	Not Applicable
	"Accomack County, VA"	"51001"	"75-84 years"	"75-84"	"Sep., 2015"	"2015/09"	10	Not Applicable	Not Applicable
	"Accomack County, VA"	"51001"	"85+ years"	"85+"	"Jan., 2013"	"2013/01"	11	Not Applicable	Not Applicable
	"Accomack County, VA"	"51001"	"85+ years"	"85+"	"Feb., 2013"	"2013/02"	14	Not Applicable	Not Applicable
	"Accomack County, VA"	"51001"	"85+ years"	"85+"	"Mar., 2013"	"2013/03"	14	Not Applicable	Not Applicable
	"Accomack County, VA"	"51001"	"85+ years"	"85+"	"Apr., 2013"	"2013/04"	10	Not Applicable	Not Applicable
	"Accomack County, VA"	"51001"	"85+ years"	"85+"	"Jul., 2013"	"2013/07"	10	Not Applicable	Not Applicable
	"Accomack County, VA"	"51001"	"85+ years"	"85+"	"Aug., 2013"	"2013/08"	13	Not Applicable	Not Applicable
	"Accomack County, VA"	"51001"	"85+ years"	"85+"	"Sep., 2013"	"2013/09"	10	Not Applicable	Not Applicable
	"Accomack County, VA"	"51001"	"85+ years"	"85+"	"Oct., 2013"	"2013/10"	10	Not Applicable	Not Applicable
	"Accomack County, VA"	"51001"	"85+ years"	"85+"	"Jan., 2014"	"2014/01"	10	Not Applicable	Not Applicable
	"Accomack County, VA"	"51001"	"85+ years"	"85+"	"Feb., 2014"	"2014/02"	12	Not Applicable	Not Applicable
	"Accomack County, VA"	"51001"	"85+ years"	"85+"	"Mar., 2014"	"2014/03"	15	Not Applicable	Not Applicable
	"Accomack County, VA"	"51001"	"85+ years"	"85+"	"Apr., 2014"	"2014/04"	10	Not Applicable	Not Applicable
	"Accomack County, VA"	"51001"	"85+ years"	"85+"	"May, 2014"	"2014/05"	12	Not Applicable	Not Applicable
	"Accomack County, VA"	"51001"	"85+ years"	"85+"	"Aug., 2014"	"2014/08"	14	Not Applicable	Not Applicable
	"Accomack County, VA"	"51001"	"85+ years"	"85+"	"Sep., 2014"	"2014/09"	18	Not Applicable	Not Applicable
	"Accomack County, VA"	"51001"	"85+ years"	"85+"	"Oct., 2014"	"2014/10"	10	Not Applicable	Not Applicable
	"Accomack County, VA"	"51001"	"85+ years"	"85+"	"Mar., 2015"	"2015/03"	14	Not Applicable	Not Applicable
	"Accomack County, VA"	"51001"	"85+ years"	"85+"	"Apr., 2015"	"2015/04"	11	Not Applicable	Not Applicable
	"Accomack County, VA"	"51001"	"85+ years"	"85+"	"May, 2015"	"2015/05"	13	Not Applicable	Not Applicable
	"Albemarle County, VA"	"51003"	"55-64 years"	"55-64"	"Nov., 2014"	"2014/11"	10	Not Applicable	Not Applicable
	"Albemarle County, VA"	"51003"	"55-64 years"	"55-64"	"Feb., 2015"	"2015/02"	10	Not Applicable	Not Applicable
	"Albemarle County, VA"	"51003"	"65-74 years"	"65-74"	"Jan., 2013"	"2013/01"	11	Not Applicable	Not Applicable
	"Albemarle County, VA"	"51003"	"65-74 years"	"65-74"	"Feb., 2013"	"2013/02"	13	Not Applicable	Not Applicable
	"Albemarle County, VA"	"51003"	"65-74 years"	"65-74"	"Apr., 2013"	"2013/04"	14	Not Applicable	Not Applicable
	"Albemarle County, VA"	"51003"	"65-74 years"	"65-74"	"May, 2013"	"2013/05"	13	Not Applicable	Not Applicable
	"Albemarle County, VA"	"51003"	"65-74 years"	"65-74"	"Dec., 2013"	"2013/12"	11	Not Applicable	Not Applicable
