"Notes"	"County"	"County Code"	"Ten-Year Age Groups"	"Ten-Year Age Groups Code"	"Month"	"Month Code"	Deaths	Population	Crude Rate
	"Barbour County, WV"	"54001"	"75-84 years"	"75-84"	"Apr., 2012"	"2012/04"	10	Not Applicable	Not Applicable
	"Barbour County, WV"	"54001"	"75-84 years"	"75-84"	"May, 2020 "	"2020/05"	10	Not Applicable	Not Applicable
	"Barbour County, WV"	"54001"	"85+ years"	"85+"	"Oct., 2012"	"2012/10"	11	Not Applicable	Not Applicable
	"Barbour County, WV"	"54001"	"85+ years"	"85+"	"Aug., 2020 "	"2020/08"	11	Not Applicable	Not Applicable
	"Berkeley County, WV"	"54003"	"55-64 years"	"55-64"	"Jan., 2010"	"2010/01"	15	Not Applicable	Not Applicable
	"Berkeley County, WV"	"54003"	"55-64 years"	"55-64"	"Feb., 2010"	"2010/02"	14	Not Applicable	Not Applicable
	"Berkeley County, WV"	"54003"	"55-64 years"	"55-64"	"Apr., 2010"	"2010/04"	18	Not Applicable	Not Applicable
	"Berkeley County, WV"	"54003"	"55-64 years"	"55-64"	"May, 2010"	"2010/05"	12	Not Applicable	Not Applicable
	"Berkeley County, WV"	"54003"	"55-64 years"	"55-64"	"Jun., 2010"	"2010/06"	14	Not Applicable	Not Applicable
	"Berkeley County, WV"	"54003"	"55-64 years"	"55-64"	"Aug., 2010"	"2010/08"	15	Not Applicable	Not Applicable
	"Berkeley County, WV"	"54003"	"55-64 years"	"55-64"	"Sep., 2010"	"2010/09"	13	Not Applicable	Not Applicable
	"Berkeley County, WV"	"54003"	"55-64 years"	"55-64"	"Nov., 2010"	"2010/11"	13	Not Applicable	Not Applicable
	"Berkeley County, WV"	"54003"	"55-64 years"	"55-64"	"Dec., 2010"	"2010/12"	14	Not Applicable	Not Applicable
	"Berkeley County, WV"	"54003"	"55-64 years"	"55-64"	"Jan., 2011"	"2011/01"	12	Not Applicable	Not Applicable
	"Berkeley County, WV"	"54003"	"55-64 years"	"55-64"	"Feb., 2011"	"2011/02"	12	Not Applicable	Not Applicable
	"Berkeley County, WV"	"54003"	"55-64 years"	"55-64"	"Mar., 2011"	"2011/03"	12	Not Applicable	Not Applicable
	"Berkeley County, WV"	"54003"	"55-64 years"	"55-64"	"Apr., 2011"	"2011/04"	11	Not Applicable	Not Applicable
	"Berkeley County, WV"	"54003"	"55-64 years"	"55-64"	"May, 2011"	"2011/05"	17	Not Applicable	Not Applicable
	"Berkeley County, WV"	"54003"	"55-64 years"	"55-64"	"Jul., 2011"	"2011/07"	13	Not Applicable	Not Applicable
	"Berkeley County, WV"	"54003"	"55-64 years"	"55-64"	"Aug., 2011"	"2011/08"	15	Not Applicable	Not Applicable
	"Berkeley County, WV"	"54003"	"55-64 years"	"55-64"	"Sep., 2011"	"2011/09"	10	Not Applicable	Not Applicable
	"Berkeley County, WV"	"54003"	"55-64 years"	"55-64"	"Oct., 2011"	"2011/10"	15	Not Applicable	Not Applicable
	"Berkeley County, WV"	"54003"	"55-64 years"	"55-64"	"Dec., 2011"	"2011/12"	13	Not Applicable	Not Applicable
	"Berkeley County, WV"	"54003"	"55-64 years"	"55-64"	"Jan., 2012"	"2012/01"	15	Not Applicable	Not Applicable
	"Berkeley County, WV"	"54003"	"55-64 years"	"55-64"	"Apr., 2012"	"2012/04"	17	Not Applicable	Not Applicable
	"Berkeley County, WV"	"54003"	"55-64 years"	"55-64"	"May, 2012"	"2012/05"	20	Not Applicable	Not Applicable
	"Berkeley County, WV"	"54003"	"55-64 years"	"55-64"	"Jun., 2012"	"2012/06"	14	Not Applicable	Not Applicable
	"Berkeley County, WV"	"54003"	"55-64 years"	"55-64"	"Aug., 2012"	"2012/08"	16	Not Applicable	Not Applicable
	"Berkeley County, WV"	"54003"	"55-64 years"	"55-64"	"Sep., 2012"	"2012/09"	10	Not Applicable	Not Applicable
	"Berkeley County, WV"	"54003"	"55-64 years"	"55-64"	"Oct., 2012"	"2012/10"	15	Not Applicable	Not Applicable
	"Berkeley County, WV"	"54003"	"55-64 years"	"55-64"	"Dec., 2012"	"2012/12"	13	Not Applicable	Not Applicable
	"Berkeley County, WV"	"54003"	"55-64 years"	"55-64"	"Jan., 2013"	"2013/01"	17	Not Applicable	Not Applicable
	"Berkeley County, WV"	"54003"	"55-64 years"	"55-64"	"Mar., 2013"	"2013/03"	15	Not Applicable	Not Applicable
	"Berkeley County, WV"	"54003"	"55-64 years"	"55-64"	"Apr., 2013"	"2013/04"	15	Not Applicable	Not Applicable
	"Berkeley County, WV"	"54003"	"55-64 years"	"55-64"	"Jun., 2013"	"2013/06"	14	Not Applicable	Not Applicable
	"Berkeley County, WV"	"54003"	"55-64 years"	"55-64"	"Aug., 2013"	"2013/08"	17	Not Applicable	Not Applicable
	"Berkeley County, WV"	"54003"	"55-64 years"	"55-64"	"Sep., 2013"	"2013/09"	12	Not Applicable	Not Applicable
	"Berkeley County, WV"	"54003"	"55-64 years"	"55-64"	"Oct., 2013"	"2013/10"	10	Not Applicable	Not Applicable
	"Berkeley County, WV"	"54003"	"55-64 years"	"55-64"	"Nov., 2013"	"2013/11"	13	Not Applicable	Not Applicable
	"Berkeley County, WV"	"54003"	"55-64 years"	"55-64"	"Dec., 2013"	"2013/12"	11	Not Applicable	Not Applicable
	"Berkeley County, WV"	"54003"	"55-64 years"	"55-64"	"Jan., 2014"	"2014/01"	19	Not Applicable	Not Applicable
	"Berkeley County, WV"	"54003"	"55-64 years"	"55-64"	"Feb., 2014"	"2014/02"	13	Not Applicable	Not Applicable
	"Berkeley County, WV"	"54003"	"55-64 years"	"55-64"	"Mar., 2014"	"2014/03"	12	Not Applicable	Not Applicable
	"Berkeley County, WV"	"54003"	"55-64 years"	"55-64"	"Jun., 2014"	"2014/06"	12	Not Applicable	Not Applicable
	"Berkeley County, WV"	"54003"	"55-64 years"	"55-64"	"Jul., 2014"	"2014/07"	11	Not Applicable	Not Applicable
	"Berkeley County, WV"	"54003"	"55-64 years"	"55-64"	"Aug., 2014"	"2014/08"	11	Not Applicable	Not Applicable
	"Berkeley County, WV"	"54003"	"55-64 years"	"55-64"	"Sep., 2014"	"2014/09"	12	Not Applicable	Not Applicable
	"Berkeley County, WV"	"54003"	"55-64 years"	"55-64"	"Oct., 2014"	"2014/10"	15	Not Applicable	Not Applicable
	"Berkeley County, WV"	"54003"	"55-64 years"	"55-64"	"Nov., 2014"	"2014/11"	12	Not Applicable	Not Applicable
	"Berkeley County, WV"	"54003"	"55-64 years"	"55-64"	"Dec., 2014"	"2014/12"	12	Not Applicable	Not Applicable
	"Berkeley County, WV"	"54003"	"55-64 years"	"55-64"	"Jan., 2015"	"2015/01"	14	Not Applicable	Not Applicable
	"Berkeley County, WV"	"54003"	"55-64 years"	"55-64"	"Feb., 2015"	"2015/02"	16	Not Applicable	Not Applicable
