"Notes"	"County"	"County Code"	"Ten-Year Age Groups"	"Ten-Year Age Groups Code"	"Month"	"Month Code"	Deaths	Population	Crude Rate
	"Ada County, ID"	"16001"	"55-64 years"	"55-64"	"Jan., 2010"	"2010/01"	19	Not Applicable	Not Applicable
	"Ada County, ID"	"16001"	"55-64 years"	"55-64"	"Feb., 2010"	"2010/02"	23	Not Applicable	Not Applicable
	"Ada County, ID"	"16001"	"55-64 years"	"55-64"	"Mar., 2010"	"2010/03"	17	Not Applicable	Not Applicable
	"Ada County, ID"	"16001"	"55-64 years"	"55-64"	"Apr., 2010"	"2010/04"	15	Not Applicable	Not Applicable
	"Ada County, ID"	"16001"	"55-64 years"	"55-64"	"May, 2010"	"2010/05"	26	Not Applicable	Not Applicable
	"Ada County, ID"	"16001"	"55-64 years"	"55-64"	"Jun., 2010"	"2010/06"	17	Not Applicable	Not Applicable
	"Ada County, ID"	"16001"	"55-64 years"	"55-64"	"Jul., 2010"	"2010/07"	26	Not Applicable	Not Applicable
	"Ada County, ID"	"16001"	"55-64 years"	"55-64"	"Aug., 2010"	"2010/08"	20	Not Applicable	Not Applicable
	"Ada County, ID"	"16001"	"55-64 years"	"55-64"	"Sep., 2010"	"2010/09"	15	Not Applicable	Not Applicable
	"Ada County, ID"	"16001"	"55-64 years"	"55-64"	"Oct., 2010"	"2010/10"	24	Not Applicable	Not Applicable
	"Ada County, ID"	"16001"	"55-64 years"	"55-64"	"Nov., 2010"	"2010/11"	27	Not Applicable	Not Applicable
	"Ada County, ID"	"16001"	"55-64 years"	"55-64"	"Dec., 2010"	"2010/12"	21	Not Applicable	Not Applicable
	"Ada County, ID"	"16001"	"55-64 years"	"55-64"	"Jan., 2011"	"2011/01"	28	Not Applicable	Not Applicable
	"Ada County, ID"	"16001"	"55-64 years"	"55-64"	"Feb., 2011"	"2011/02"	18	Not Applicable	Not Applicable
	"Ada County, ID"	"16001"	"55-64 years"	"55-64"	"Mar., 2011"	"2011/03"	22	Not Applicable	Not Applicable
	"Ada County, ID"	"16001"	"55-64 years"	"55-64"	"Apr., 2011"	"2011/04"	35	Not Applicable	Not Applicable
	"Ada County, ID"	"16001"	"55-64 years"	"55-64"	"May, 2011"	"2011/05"	21	Not Applicable	Not Applicable
	"Ada County, ID"	"16001"	"55-64 years"	"55-64"	"Jun., 2011"	"2011/06"	24	Not Applicable	Not Applicable
	"Ada County, ID"	"16001"	"55-64 years"	"55-64"	"Jul., 2011"	"2011/07"	22	Not Applicable	Not Applicable
	"Ada County, ID"	"16001"	"55-64 years"	"55-64"	"Aug., 2011"	"2011/08"	21	Not Applicable	Not Applicable
	"Ada County, ID"	"16001"	"55-64 years"	"55-64"	"Sep., 2011"	"2011/09"	25	Not Applicable	Not Applicable
	"Ada County, ID"	"16001"	"55-64 years"	"55-64"	"Oct., 2011"	"2011/10"	25	Not Applicable	Not Applicable
	"Ada County, ID"	"16001"	"55-64 years"	"55-64"	"Nov., 2011"	"2011/11"	31	Not Applicable	Not Applicable
	"Ada County, ID"	"16001"	"55-64 years"	"55-64"	"Dec., 2011"	"2011/12"	21	Not Applicable	Not Applicable
	"Ada County, ID"	"16001"	"55-64 years"	"55-64"	"Jan., 2012"	"2012/01"	25	Not Applicable	Not Applicable
	"Ada County, ID"	"16001"	"55-64 years"	"55-64"	"Feb., 2012"	"2012/02"	24	Not Applicable	Not Applicable
	"Ada County, ID"	"16001"	"55-64 years"	"55-64"	"Mar., 2012"	"2012/03"	17	Not Applicable	Not Applicable
	"Ada County, ID"	"16001"	"55-64 years"	"55-64"	"Apr., 2012"	"2012/04"	30	Not Applicable	Not Applicable
	"Ada County, ID"	"16001"	"55-64 years"	"55-64"	"May, 2012"	"2012/05"	24	Not Applicable	Not Applicable
	"Ada County, ID"	"16001"	"55-64 years"	"55-64"	"Jun., 2012"	"2012/06"	23	Not Applicable	Not Applicable
	"Ada County, ID"	"16001"	"55-64 years"	"55-64"	"Jul., 2012"	"2012/07"	24	Not Applicable	Not Applicable
	"Ada County, ID"	"16001"	"55-64 years"	"55-64"	"Aug., 2012"	"2012/08"	25	Not Applicable	Not Applicable
	"Ada County, ID"	"16001"	"55-64 years"	"55-64"	"Sep., 2012"	"2012/09"	22	Not Applicable	Not Applicable
	"Ada County, ID"	"16001"	"55-64 years"	"55-64"	"Oct., 2012"	"2012/10"	20	Not Applicable	Not Applicable
	"Ada County, ID"	"16001"	"55-64 years"	"55-64"	"Nov., 2012"	"2012/11"	22	Not Applicable	Not Applicable
	"Ada County, ID"	"16001"	"55-64 years"	"55-64"	"Dec., 2012"	"2012/12"	31	Not Applicable	Not Applicable
	"Ada County, ID"	"16001"	"55-64 years"	"55-64"	"Jan., 2013"	"2013/01"	24	Not Applicable	Not Applicable
	"Ada County, ID"	"16001"	"55-64 years"	"55-64"	"Feb., 2013"	"2013/02"	29	Not Applicable	Not Applicable
	"Ada County, ID"	"16001"	"55-64 years"	"55-64"	"Mar., 2013"	"2013/03"	18	Not Applicable	Not Applicable
	"Ada County, ID"	"16001"	"55-64 years"	"55-64"	"Apr., 2013"	"2013/04"	28	Not Applicable	Not Applicable
	"Ada County, ID"	"16001"	"55-64 years"	"55-64"	"May, 2013"	"2013/05"	25	Not Applicable	Not Applicable
	"Ada County, ID"	"16001"	"55-64 years"	"55-64"	"Jun., 2013"	"2013/06"	42	Not Applicable	Not Applicable
	"Ada County, ID"	"16001"	"55-64 years"	"55-64"	"Jul., 2013"	"2013/07"	27	Not Applicable	Not Applicable
	"Ada County, ID"	"16001"	"55-64 years"	"55-64"	"Aug., 2013"	"2013/08"	26	Not Applicable	Not Applicable
	"Ada County, ID"	"16001"	"55-64 years"	"55-64"	"Sep., 2013"	"2013/09"	30	Not Applicable	Not Applicable
	"Ada County, ID"	"16001"	"55-64 years"	"55-64"	"Oct., 2013"	"2013/10"	30	Not Applicable	Not Applicable
	"Ada County, ID"	"16001"	"55-64 years"	"55-64"	"Nov., 2013"	"2013/11"	29	Not Applicable	Not Applicable
	"Ada County, ID"	"16001"	"55-64 years"	"55-64"	"Dec., 2013"	"2013/12"	45	Not Applicable	Not Applicable
	"Ada County, ID"	"16001"	"55-64 years"	"55-64"	"Jan., 2014"	"2014/01"	21	Not Applicable	Not Applicable
	"Ada County, ID"	"16001"	"55-64 years"	"55-64"	"Feb., 2014"	"2014/02"	20	Not Applicable	Not Applicable
	"Ada County, ID"	"16001"	"55-64 years"	"55-64"	"Mar., 2014"	"2014/03"	34	Not Applicable	Not Applicable
