"Notes"	"County"	"County Code"	"Ten-Year Age Groups"	"Ten-Year Age Groups Code"	"Month"	"Month Code"	Deaths	Population	Crude Rate
	"Adams County, IL"	"17001"	"55-64 years"	"55-64"	"Jan., 2018"	"2018/01"	15	Not Applicable	Not Applicable
	"Adams County, IL"	"17001"	"55-64 years"	"55-64"	"Feb., 2018"	"2018/02"	12	Not Applicable	Not Applicable
	"Adams County, IL"	"17001"	"55-64 years"	"55-64"	"Aug., 2018"	"2018/08"	10	Not Applicable	Not Applicable
	"Adams County, IL"	"17001"	"55-64 years"	"55-64"	"Oct., 2018"	"2018/10"	10	Not Applicable	Not Applicable
	"Adams County, IL"	"17001"	"55-64 years"	"55-64"	"Jan., 2019"	"2019/01"	10	Not Applicable	Not Applicable
	"Adams County, IL"	"17001"	"55-64 years"	"55-64"	"Oct., 2019"	"2019/10"	10	Not Applicable	Not Applicable
	"Adams County, IL"	"17001"	"65-74 years"	"65-74"	"Feb., 2018"	"2018/02"	16	Not Applicable	Not Applicable
	"Adams County, IL"	"17001"	"65-74 years"	"65-74"	"Mar., 2018"	"2018/03"	13	Not Applicable	Not Applicable
	"Adams County, IL"	"17001"	"65-74 years"	"65-74"	"Apr., 2018"	"2018/04"	14	Not Applicable	Not Applicable
	"Adams County, IL"	"17001"	"65-74 years"	"65-74"	"Jun., 2018"	"2018/06"	14	Not Applicable	Not Applicable
	"Adams County, IL"	"17001"	"65-74 years"	"65-74"	"Jul., 2018"	"2018/07"	10	Not Applicable	Not Applicable
	"Adams County, IL"	"17001"	"65-74 years"	"65-74"	"Aug., 2018"	"2018/08"	10	Not Applicable	Not Applicable
	"Adams County, IL"	"17001"	"65-74 years"	"65-74"	"Oct., 2018"	"2018/10"	15	Not Applicable	Not Applicable
	"Adams County, IL"	"17001"	"65-74 years"	"65-74"	"Dec., 2018"	"2018/12"	15	Not Applicable	Not Applicable
	"Adams County, IL"	"17001"	"65-74 years"	"65-74"	"Jan., 2019"	"2019/01"	13	Not Applicable	Not Applicable
	"Adams County, IL"	"17001"	"65-74 years"	"65-74"	"Feb., 2019"	"2019/02"	10	Not Applicable	Not Applicable
	"Adams County, IL"	"17001"	"65-74 years"	"65-74"	"Mar., 2019"	"2019/03"	12	Not Applicable	Not Applicable
	"Adams County, IL"	"17001"	"65-74 years"	"65-74"	"May, 2019"	"2019/05"	12	Not Applicable	Not Applicable
	"Adams County, IL"	"17001"	"65-74 years"	"65-74"	"Jun., 2019"	"2019/06"	10	Not Applicable	Not Applicable
	"Adams County, IL"	"17001"	"65-74 years"	"65-74"	"Jul., 2019"	"2019/07"	13	Not Applicable	Not Applicable
	"Adams County, IL"	"17001"	"65-74 years"	"65-74"	"Aug., 2019"	"2019/08"	12	Not Applicable	Not Applicable
	"Adams County, IL"	"17001"	"65-74 years"	"65-74"	"Sep., 2019"	"2019/09"	12	Not Applicable	Not Applicable
	"Adams County, IL"	"17001"	"65-74 years"	"65-74"	"Oct., 2019"	"2019/10"	16	Not Applicable	Not Applicable
	"Adams County, IL"	"17001"	"75-84 years"	"75-84"	"Jan., 2018"	"2018/01"	22	Not Applicable	Not Applicable
	"Adams County, IL"	"17001"	"75-84 years"	"75-84"	"Feb., 2018"	"2018/02"	11	Not Applicable	Not Applicable
	"Adams County, IL"	"17001"	"75-84 years"	"75-84"	"Mar., 2018"	"2018/03"	25	Not Applicable	Not Applicable
	"Adams County, IL"	"17001"	"75-84 years"	"75-84"	"Apr., 2018"	"2018/04"	25	Not Applicable	Not Applicable
	"Adams County, IL"	"17001"	"75-84 years"	"75-84"	"May, 2018"	"2018/05"	24	Not Applicable	Not Applicable
	"Adams County, IL"	"17001"	"75-84 years"	"75-84"	"Jun., 2018"	"2018/06"	20	Not Applicable	Not Applicable
	"Adams County, IL"	"17001"	"75-84 years"	"75-84"	"Jul., 2018"	"2018/07"	19	Not Applicable	Not Applicable
	"Adams County, IL"	"17001"	"75-84 years"	"75-84"	"Aug., 2018"	"2018/08"	18	Not Applicable	Not Applicable
	"Adams County, IL"	"17001"	"75-84 years"	"75-84"	"Sep., 2018"	"2018/09"	15	Not Applicable	Not Applicable
	"Adams County, IL"	"17001"	"75-84 years"	"75-84"	"Oct., 2018"	"2018/10"	19	Not Applicable	Not Applicable
	"Adams County, IL"	"17001"	"75-84 years"	"75-84"	"Dec., 2018"	"2018/12"	15	Not Applicable	Not Applicable
	"Adams County, IL"	"17001"	"75-84 years"	"75-84"	"Jan., 2019"	"2019/01"	21	Not Applicable	Not Applicable
	"Adams County, IL"	"17001"	"75-84 years"	"75-84"	"Feb., 2019"	"2019/02"	17	Not Applicable	Not Applicable
	"Adams County, IL"	"17001"	"75-84 years"	"75-84"	"Mar., 2019"	"2019/03"	21	Not Applicable	Not Applicable
	"Adams County, IL"	"17001"	"75-84 years"	"75-84"	"Apr., 2019"	"2019/04"	13	Not Applicable	Not Applicable
	"Adams County, IL"	"17001"	"75-84 years"	"75-84"	"May, 2019"	"2019/05"	17	Not Applicable	Not Applicable
	"Adams County, IL"	"17001"	"75-84 years"	"75-84"	"Jun., 2019"	"2019/06"	19	Not Applicable	Not Applicable
	"Adams County, IL"	"17001"	"75-84 years"	"75-84"	"Jul., 2019"	"2019/07"	15	Not Applicable	Not Applicable
	"Adams County, IL"	"17001"	"75-84 years"	"75-84"	"Aug., 2019"	"2019/08"	22	Not Applicable	Not Applicable
	"Adams County, IL"	"17001"	"75-84 years"	"75-84"	"Sep., 2019"	"2019/09"	19	Not Applicable	Not Applicable
	"Adams County, IL"	"17001"	"75-84 years"	"75-84"	"Oct., 2019"	"2019/10"	15	Not Applicable	Not Applicable
	"Adams County, IL"	"17001"	"75-84 years"	"75-84"	"Nov., 2019"	"2019/11"	17	Not Applicable	Not Applicable
	"Adams County, IL"	"17001"	"75-84 years"	"75-84"	"Dec., 2019"	"2019/12"	10	Not Applicable	Not Applicable
	"Adams County, IL"	"17001"	"85+ years"	"85+"	"Jan., 2018"	"2018/01"	37	Not Applicable	Not Applicable
	"Adams County, IL"	"17001"	"85+ years"	"85+"	"Feb., 2018"	"2018/02"	20	Not Applicable	Not Applicable
	"Adams County, IL"	"17001"	"85+ years"	"85+"	"Mar., 2018"	"2018/03"	34	Not Applicable	Not Applicable
	"Adams County, IL"	"17001"	"85+ years"	"85+"	"Apr., 2018"	"2018/04"	28	Not Applicable	Not Applicable
	"Adams County, IL"	"17001"	"85+ years"	"85+"	"May, 2018"	"2018/05"	28	Not Applicable	Not Applicable
	"Adams County, IL"	"17001"	"85+ years"	"85+"	"Jun., 2018"	"2018/06"	24	Not Applicable	Not Applicable
	"Adams County, IL"	"17001"	"85+ years"	"85+"	"Jul., 2018"	"2018/07"	29	Not Applicable	Not Applicable
	"Adams County, IL"	"17001"	"85+ years"	"85+"	"Aug., 2018"	"2018/08"	23	Not Applicable	Not Applicable
	"Adams County, IL"	"17001"	"85+ years"	"85+"	"Sep., 2018"	"2018/09"	33	Not Applicable	Not Applicable
	"Adams County, IL"	"17001"	"85+ years"	"85+"	"Oct., 2018"	"2018/10"	25	Not Applicable	Not Applicable
	"Adams County, IL"	"17001"	"85+ years"	"85+"	"Nov., 2018"	"2018/11"	33	Not Applicable	Not Applicable
	"Adams County, IL"	"17001"	"85+ years"	"85+"	"Dec., 2018"	"2018/12"	23	Not Applicable	Not Applicable
	"Adams County, IL"	"17001"	"85+ years"	"85+"	"Jan., 2019"	"2019/01"	25	Not Applicable	Not Applicable
	"Adams County, IL"	"17001"	"85+ years"	"85+"	"Feb., 2019"	"2019/02"	21	Not Applicable	Not Applicable
	"Adams County, IL"	"17001"	"85+ years"	"85+"	"Mar., 2019"	"2019/03"	29	Not Applicable	Not Applicable
	"Adams County, IL"	"17001"	"85+ years"	"85+"	"Apr., 2019"	"2019/04"	19	Not Applicable	Not Applicable
	"Adams County, IL"	"17001"	"85+ years"	"85+"	"May, 2019"	"2019/05"	31	Not Applicable	Not Applicable
	"Adams County, IL"	"17001"	"85+ years"	"85+"	"Jun., 2019"	"2019/06"	24	Not Applicable	Not Applicable
	"Adams County, IL"	"17001"	"85+ years"	"85+"	"Jul., 2019"	"2019/07"	26	Not Applicable	Not Applicable
	"Adams County, IL"	"17001"	"85+ years"	"85+"	"Aug., 2019"	"2019/08"	25	Not Applicable	Not Applicable
	"Adams County, IL"	"17001"	"85+ years"	"85+"	"Sep., 2019"	"2019/09"	16	Not Applicable	Not Applicable
	"Adams County, IL"	"17001"	"85+ years"	"85+"	"Oct., 2019"	"2019/10"	33	Not Applicable	Not Applicable
	"Adams County, IL"	"17001"	"85+ years"	"85+"	"Nov., 2019"	"2019/11"	24	Not Applicable	Not Applicable
	"Adams County, IL"	"17001"	"85+ years"	"85+"	"Dec., 2019"	"2019/12"	27	Not Applicable	Not Applicable
	"Bond County, IL"	"17005"	"85+ years"	"85+"	"Jan., 2018"	"2018/01"	10	Not Applicable	Not Applicable
	"Bond County, IL"	"17005"	"85+ years"	"85+"	"Oct., 2019"	"2019/10"	10	Not Applicable	Not Applicable
	"Boone County, IL"	"17007"	"55-64 years"	"55-64"	"Aug., 2018"	"2018/08"	10	Not Applicable	Not Applicable
	"Boone County, IL"	"17007"	"65-74 years"	"65-74"	"Apr., 2018"	"2018/04"	11	Not Applicable	Not Applicable
	"Boone County, IL"	"17007"	"65-74 years"	"65-74"	"Jun., 2018"	"2018/06"	10	Not Applicable	Not Applicable
	"Boone County, IL"	"17007"	"65-74 years"	"65-74"	"Aug., 2018"	"2018/08"	11	Not Applicable	Not Applicable
	"Boone County, IL"	"17007"	"65-74 years"	"65-74"	"Nov., 2018"	"2018/11"	10	Not Applicable	Not Applicable
	"Boone County, IL"	"17007"	"65-74 years"	"65-74"	"Aug., 2019"	"2019/08"	10	Not Applicable	Not Applicable
	"Boone County, IL"	"17007"	"65-74 years"	"65-74"	"Oct., 2019"	"2019/10"	11	Not Applicable	Not Applicable
	"Boone County, IL"	"17007"	"75-84 years"	"75-84"	"Jan., 2018"	"2018/01"	11	Not Applicable	Not Applicable
	"Boone County, IL"	"17007"	"75-84 years"	"75-84"	"Feb., 2018"	"2018/02"	10	Not Applicable	Not Applicable
	"Boone County, IL"	"17007"	"75-84 years"	"75-84"	"Mar., 2018"	"2018/03"	12	Not Applicable	Not Applicable
