"county_fips","county","state","year","asthma"
1003,"Baldwin","Alabama",2018,9.6
1003,"Baldwin","Alabama",2019,8.9
1015,"Calhoun","Alabama",2019,10
1015,"Calhoun","Alabama",2018,11.2
1055,"Etowah","Alabama",2018,10.7
1055,"Etowah","Alabama",2019,9.9
1069,"Houston","Alabama",2018,10.9
1069,"Houston","Alabama",2019,10.2
1073,"Jefferson","Alabama",2018,10
1073,"Jefferson","Alabama",2019,9.8
1077,"Lauderdale","Alabama",2018,10.2
1077,"Lauderdale","Alabama",2019,9.4
1081,"Lee","Alabama",2019,9.5
1081,"Lee","Alabama",2018,9.8
1089,"Madison","Alabama",2019,9.6
1089,"Madison","Alabama",2018,9.6
1097,"Mobile","Alabama",2019,9.7
1097,"Mobile","Alabama",2018,10.8
1101,"Montgomery","Alabama",2018,10.9
1101,"Montgomery","Alabama",2019,9.9
1103,"Morgan","Alabama",2019,9.6
1103,"Morgan","Alabama",2018,10.2
1125,"Tuscaloosa","Alabama",2018,10.4
1125,"Tuscaloosa","Alabama",2019,9.9
2020,"Anchorage","Alaska",2019,9.2
2020,"Anchorage","Alaska",2018,9
2090,"Fairbanks North Star","Alaska",2019,9.5
2090,"Fairbanks North Star","Alaska",2018,8.8
4003,"Cochise","Arizona",2019,10
4003,"Cochise","Arizona",2018,10.1
4005,"Coconino","Arizona",2019,9.8
4005,"Coconino","Arizona",2018,10.8
4013,"Maricopa","Arizona",2018,10
4013,"Maricopa","Arizona",2019,9.5
4015,"Mohave","Arizona",2019,10.1
4015,"Mohave","Arizona",2018,10.8
4019,"Pima","Arizona",2019,9.5
4019,"Pima","Arizona",2018,10.4
4021,"Pinal","Arizona",2018,10.7
4021,"Pinal","Arizona",2019,9.5
4025,"Yavapai","Arizona",2018,10.6
4025,"Yavapai","Arizona",2019,10.2
4027,"Yuma","Arizona",2019,9.5
4027,"Yuma","Arizona",2018,10.1
5031,"Craighead","Arkansas",2019,9.8
5031,"Craighead","Arkansas",2018,9.7
5045,"Faulkner","Arkansas",2019,10.2
5045,"Faulkner","Arkansas",2018,9.9
5051,"Garland","Arkansas",2019,9.7
5051,"Garland","Arkansas",2018,9.9
5069,"Jefferson","Arkansas",2018,11.2
5069,"Jefferson","Arkansas",2019,10.6
5119,"Pulaski","Arkansas",2019,9.8
5119,"Pulaski","Arkansas",2018,10.3
5131,"Sebastian","Arkansas",2018,10.2
5131,"Sebastian","Arkansas",2019,9.7
5143,"Washington","Arkansas",2019,9.5
5143,"Washington","Arkansas",2018,9.6
6001,"Alameda","California",2019,8
6001,"Alameda","California",2018,8.3
6007,"Butte","California",2019,9.9
6007,"Butte","California",2018,10.1
6013,"Contra Costa","California",2018,9
6013,"Contra Costa","California",2019,8.3
6019,"Fresno","California",2018,10.2
6019,"Fresno","California",2019,9.2
6025,"Imperial","California",2018,9.3
6025,"Imperial","California",2019,9
6029,"Kern","California",2018,10.2
6029,"Kern","California",2019,9.3
6031,"Kings","California",2019,9
6031,"Kings","California",2018,9.7
6037,"Los Angeles","California",2019,7.4
6037,"Los Angeles","California",2018,8.4
6039,"Madera","California",2018,10.1
6039,"Madera","California",2019,9.4
6047,"Merced","California",2019,9.3
6047,"Merced","California",2018,10
6053,"Monterey","California",2018,9.2
6053,"Monterey","California",2019,8.7
6055,"Napa","California",2019,8.4
6055,"Napa","California",2018,8.8
6059,"Orange","California",2019,7.6
6059,"Orange","California",2018,8.1
6065,"Riverside","California",2018,9.2
6065,"Riverside","California",2019,8.3
6067,"Sacramento","California",2019,9.8
6067,"Sacramento","California",2018,9.9
6071,"San Bernardino","California",2018,9.5
6071,"San Bernardino","California",2019,8.9
6073,"San Diego","California",2018,8.6
6073,"San Diego","California",2019,7.9
6075,"San Francisco","California",2018,7.7
6075,"San Francisco","California",2019,7.5
6077,"San Joaquin","California",2019,9.6
6077,"San Joaquin","California",2018,9.3
6079,"San Luis Obispo","California",2018,9.3
6079,"San Luis Obispo","California",2019,9
6083,"Santa Barbara","California",2018,9.2
6083,"Santa Barbara","California",2019,8.6
6085,"Santa Clara","California",2018,7.5
6085,"Santa Clara","California",2019,7.2
6087,"Santa Cruz","California",2018,9.2
6087,"Santa Cruz","California",2019,8.8
6089,"Shasta","California",2019,9.6
6089,"Shasta","California",2018,10.3
6095,"Solano","California",2018,9.6
6095,"Solano","California",2019,8.8
6097,"Sonoma","California",2019,9.1
6097,"Sonoma","California",2018,9.2
6099,"Stanislaus","California",2018,10
6099,"Stanislaus","California",2019,9.4
6101,"Sutter","California",2019,9.1
6101,"Sutter","California",2018,9.6
6107,"Tulare","California",2019,9.5
6107,"Tulare","California",2018,10.1
6111,"Ventura","California",2018,8.9
6111,"Ventura","California",2019,8.2
6113,"Yolo","California",2019,8.8
6113,"Yolo","California",2018,9.2
8013,"Boulder","Colorado",2018,8.7
8013,"Boulder","Colorado",2019,8.4
8031,"Denver","Colorado",2019,9
8031,"Denver","Colorado",2018,9
8041,"El Paso","Colorado",2019,10.1
8041,"El Paso","Colorado",2018,9.1
8069,"Larimer","Colorado",2019,9.1
8069,"Larimer","Colorado",2018,9.2
8077,"Mesa","Colorado",2019,9.6
8077,"Mesa","Colorado",2018,9.7
8101,"Pueblo","Colorado",2018,9.9
8101,"Pueblo","Colorado",2019,9.5
8123,"Weld","Colorado",2019,9
8123,"Weld","Colorado",2018,9.3
9001,"Fairfield","Connecticut",2019,8.2
9001,"Fairfield","Connecticut",2018,8.9
9003,"Hartford","Connecticut",2018,10.2
9003,"Hartford","Connecticut",2019,10.1
9009,"New Haven","Connecticut",2018,11.2
9009,"New Haven","Connecticut",2019,10.6
9011,"New London","Connecticut",2018,10.1
9011,"New London","Connecticut",2019,10
10001,"Kent","Delaware",2019,11.2
10001,"Kent","Delaware",2018,10.6
11001,"District of Columbia","District of Columbia",2018,10.7
11001,"District of Columbia","District of Columbia",2019,10.1
12001,"Alachua","Florida",2019,9.1
12001,"Alachua","Florida",2018,9
12005,"Bay","Florida",2018,9.2
12005,"Bay","Florida",2019,8.9
12009,"Brevard","Florida",2019,8.3
12009,"Brevard","Florida",2018,8.9
12017,"Citrus","Florida",2018,9.4
12017,"Citrus","Florida",2019,9.2
12031,"Duval","Florida",2019,9.1
12031,"Duval","Florida",2018,9.5
