"","county_fips","population","age_group","county","year"
"1","48441",13649,"55-64","Taylor County, Texas",2010
"2","48441",8916,"65-74","Taylor County, Texas",2010
"3","48441",6052,"75-84","Taylor County, Texas",2010
"4","48441",2386,"85+","Taylor County, Texas",2010
"5","41043",15781,"55-64","Linn County, Oregon",2010
"6","41043",9948,"65-74","Linn County, Oregon",2010
"7","41043",5583,"75-84","Linn County, Oregon",2010
"8","41043",2460,"85+","Linn County, Oregon",2010
"9","35001",79181,"55-64","Bernalillo County, New Mexico",2010
"10","35001",43975,"65-74","Bernalillo County, New Mexico",2010
"11","35001",26058,"75-84","Bernalillo County, New Mexico",2010
"12","35001",10981,"85+","Bernalillo County, New Mexico",2010
"13","22079",15764,"55-64","Rapides Parish, Louisiana",2010
"14","22079",10056,"65-74","Rapides Parish, Louisiana",2010
"15","22079",5839,"75-84","Rapides Parish, Louisiana",2010
"16","22079",2117,"85+","Rapides Parish, Louisiana",2010
"17","17119",32568,"55-64","Madison County, Illinois",2010
"18","17119",19759,"65-74","Madison County, Illinois",2010
"19","17119",13228,"75-84","Madison County, Illinois",2010
"20","17119",5441,"85+","Madison County, Illinois",2010
"21","48375",12147,"55-64","Potter County, Texas",2010
"22","48375",6795,"65-74","Potter County, Texas",2010
"23","48375",4387,"75-84","Potter County, Texas",2010
"24","48375",1960,"85+","Potter County, Texas",2010
"25","19169",8239,"55-64","Story County, Iowa",2010
"26","19169",4510,"65-74","Story County, Iowa",2010
"27","19169",2942,"75-84","Story County, Iowa",2010
"28","19169",1493,"85+","Story County, Iowa",2010
"29","02020",33028,"55-64","Anchorage Municipality, Alaska",2010
"30","02020",13309,"65-74","Anchorage Municipality, Alaska",2010
"31","02020",5868,"75-84","Anchorage Municipality, Alaska",2010
"32","02020",1962,"85+","Anchorage Municipality, Alaska",2010
"33","18095",16546,"55-64","Madison County, Indiana",2010
"34","18095",10722,"65-74","Madison County, Indiana",2010
"35","18095",6722,"75-84","Madison County, Indiana",2010
"36","18095",2790,"85+","Madison County, Indiana",2010
"37","06013",128758,"55-64","Contra Costa County, California",2010
"38","06013",70719,"65-74","Contra Costa County, California",2010
