"Notes"	"County"	"County Code"	"Ten-Year Age Groups"	"Ten-Year Age Groups Code"	"Month"	"Month Code"	Deaths	Population	Crude Rate
	"Autauga County, AL"	"01001"	"55-64 years"	"55-64"	"Jan., 2019"	"2019/01"	10	Not Applicable	Not Applicable
	"Autauga County, AL"	"01001"	"55-64 years"	"55-64"	"Jan., 2020 "	"2020/01"	11	Not Applicable	Not Applicable
	"Autauga County, AL"	"01001"	"55-64 years"	"55-64"	"Apr., 2020 "	"2020/04"	12	Not Applicable	Not Applicable
	"Autauga County, AL"	"01001"	"55-64 years"	"55-64"	"Jun., 2020 "	"2020/06"	12	Not Applicable	Not Applicable
	"Autauga County, AL"	"01001"	"55-64 years"	"55-64"	"Aug., 2020 "	"2020/08"	10	Not Applicable	Not Applicable
	"Autauga County, AL"	"01001"	"65-74 years"	"65-74"	"Apr., 2019"	"2019/04"	14	Not Applicable	Not Applicable
	"Autauga County, AL"	"01001"	"65-74 years"	"65-74"	"May, 2019"	"2019/05"	17	Not Applicable	Not Applicable
	"Autauga County, AL"	"01001"	"65-74 years"	"65-74"	"Aug., 2019"	"2019/08"	10	Not Applicable	Not Applicable
	"Autauga County, AL"	"01001"	"65-74 years"	"65-74"	"Sep., 2019"	"2019/09"	17	Not Applicable	Not Applicable
	"Autauga County, AL"	"01001"	"65-74 years"	"65-74"	"Nov., 2019"	"2019/11"	10	Not Applicable	Not Applicable
	"Autauga County, AL"	"01001"	"65-74 years"	"65-74"	"Dec., 2019"	"2019/12"	13	Not Applicable	Not Applicable
	"Autauga County, AL"	"01001"	"65-74 years"	"65-74"	"Feb., 2020 "	"2020/02"	12	Not Applicable	Not Applicable
	"Autauga County, AL"	"01001"	"65-74 years"	"65-74"	"Apr., 2020 "	"2020/04"	11	Not Applicable	Not Applicable
	"Autauga County, AL"	"01001"	"65-74 years"	"65-74"	"May, 2020 "	"2020/05"	12	Not Applicable	Not Applicable
	"Autauga County, AL"	"01001"	"65-74 years"	"65-74"	"Jun., 2020 "	"2020/06"	13	Not Applicable	Not Applicable
	"Autauga County, AL"	"01001"	"65-74 years"	"65-74"	"Jul., 2020 "	"2020/07"	18	Not Applicable	Not Applicable
	"Autauga County, AL"	"01001"	"65-74 years"	"65-74"	"Sep., 2020 "	"2020/09"	11	Not Applicable	Not Applicable
	"Autauga County, AL"	"01001"	"65-74 years"	"65-74"	"Oct., 2020 "	"2020/10"	14	Not Applicable	Not Applicable
	"Autauga County, AL"	"01001"	"65-74 years"	"65-74"	"Nov., 2020 "	"2020/11"	17	Not Applicable	Not Applicable
	"Autauga County, AL"	"01001"	"65-74 years"	"65-74"	"Dec., 2020 "	"2020/12"	11	Not Applicable	Not Applicable
	"Autauga County, AL"	"01001"	"75-84 years"	"75-84"	"Jan., 2019"	"2019/01"	15	Not Applicable	Not Applicable
	"Autauga County, AL"	"01001"	"75-84 years"	"75-84"	"Feb., 2019"	"2019/02"	11	Not Applicable	Not Applicable
	"Autauga County, AL"	"01001"	"75-84 years"	"75-84"	"Mar., 2019"	"2019/03"	14	Not Applicable	Not Applicable
	"Autauga County, AL"	"01001"	"75-84 years"	"75-84"	"Apr., 2019"	"2019/04"	10	Not Applicable	Not Applicable
	"Autauga County, AL"	"01001"	"75-84 years"	"75-84"	"May, 2019"	"2019/05"	13	Not Applicable	Not Applicable
	"Autauga County, AL"	"01001"	"75-84 years"	"75-84"	"Jul., 2019"	"2019/07"	17	Not Applicable	Not Applicable
	"Autauga County, AL"	"01001"	"75-84 years"	"75-84"	"Aug., 2019"	"2019/08"	10	Not Applicable	Not Applicable
	"Autauga County, AL"	"01001"	"75-84 years"	"75-84"	"Sep., 2019"	"2019/09"	18	Not Applicable	Not Applicable
	"Autauga County, AL"	"01001"	"75-84 years"	"75-84"	"Oct., 2019"	"2019/10"	17	Not Applicable	Not Applicable
	"Autauga County, AL"	"01001"	"75-84 years"	"75-84"	"Nov., 2019"	"2019/11"	11	Not Applicable	Not Applicable
	"Autauga County, AL"	"01001"	"75-84 years"	"75-84"	"Dec., 2019"	"2019/12"	14	Not Applicable	Not Applicable
	"Autauga County, AL"	"01001"	"75-84 years"	"75-84"	"Jan., 2020 "	"2020/01"	14	Not Applicable	Not Applicable
	"Autauga County, AL"	"01001"	"75-84 years"	"75-84"	"Feb., 2020 "	"2020/02"	10	Not Applicable	Not Applicable
	"Autauga County, AL"	"01001"	"75-84 years"	"75-84"	"Mar., 2020 "	"2020/03"	14	Not Applicable	Not Applicable
	"Autauga County, AL"	"01001"	"75-84 years"	"75-84"	"Apr., 2020 "	"2020/04"	14	Not Applicable	Not Applicable
	"Autauga County, AL"	"01001"	"75-84 years"	"75-84"	"May, 2020 "	"2020/05"	20	Not Applicable	Not Applicable
	"Autauga County, AL"	"01001"	"75-84 years"	"75-84"	"Jun., 2020 "	"2020/06"	19	Not Applicable	Not Applicable
	"Autauga County, AL"	"01001"	"75-84 years"	"75-84"	"Jul., 2020 "	"2020/07"	17	Not Applicable	Not Applicable
	"Autauga County, AL"	"01001"	"75-84 years"	"75-84"	"Aug., 2020 "	"2020/08"	10	Not Applicable	Not Applicable
	"Autauga County, AL"	"01001"	"75-84 years"	"75-84"	"Sep., 2020 "	"2020/09"	13	Not Applicable	Not Applicable
	"Autauga County, AL"	"01001"	"75-84 years"	"75-84"	"Oct., 2020 "	"2020/10"	19	Not Applicable	Not Applicable
	"Autauga County, AL"	"01001"	"75-84 years"	"75-84"	"Nov., 2020 "	"2020/11"	12	Not Applicable	Not Applicable
	"Autauga County, AL"	"01001"	"75-84 years"	"75-84"	"Dec., 2020 "	"2020/12"	17	Not Applicable	Not Applicable
	"Autauga County, AL"	"01001"	"85+ years"	"85+"	"Jan., 2019"	"2019/01"	16	Not Applicable	Not Applicable
	"Autauga County, AL"	"01001"	"85+ years"	"85+"	"Mar., 2019"	"2019/03"	12	Not Applicable	Not Applicable
	"Autauga County, AL"	"01001"	"85+ years"	"85+"	"Apr., 2019"	"2019/04"	12	Not Applicable	Not Applicable
	"Autauga County, AL"	"01001"	"85+ years"	"85+"	"May, 2019"	"2019/05"	10	Not Applicable	Not Applicable
	"Autauga County, AL"	"01001"	"85+ years"	"85+"	"Jul., 2019"	"2019/07"	13	Not Applicable	Not Applicable
	"Autauga County, AL"	"01001"	"85+ years"	"85+"	"Oct., 2019"	"2019/10"	12	Not Applicable	Not Applicable
	"Autauga County, AL"	"01001"	"85+ years"	"85+"	"Dec., 2019"	"2019/12"	11	Not Applicable	Not Applicable
	"Autauga County, AL"	"01001"	"85+ years"	"85+"	"Feb., 2020 "	"2020/02"	14	Not Applicable	Not Applicable
	"Autauga County, AL"	"01001"	"85+ years"	"85+"	"Mar., 2020 "	"2020/03"	12	Not Applicable	Not Applicable
	"Autauga County, AL"	"01001"	"85+ years"	"85+"	"Apr., 2020 "	"2020/04"	13	Not Applicable	Not Applicable
	"Autauga County, AL"	"01001"	"85+ years"	"85+"	"May, 2020 "	"2020/05"	12	Not Applicable	Not Applicable
	"Autauga County, AL"	"01001"	"85+ years"	"85+"	"Jun., 2020 "	"2020/06"	14	Not Applicable	Not Applicable
	"Autauga County, AL"	"01001"	"85+ years"	"85+"	"Jul., 2020 "	"2020/07"	10	Not Applicable	Not Applicable
	"Autauga County, AL"	"01001"	"85+ years"	"85+"	"Aug., 2020 "	"2020/08"	14	Not Applicable	Not Applicable
	"Autauga County, AL"	"01001"	"85+ years"	"85+"	"Sep., 2020 "	"2020/09"	12	Not Applicable	Not Applicable
	"Autauga County, AL"	"01001"	"85+ years"	"85+"	"Oct., 2020 "	"2020/10"	15	Not Applicable	Not Applicable
	"Autauga County, AL"	"01001"	"85+ years"	"85+"	"Nov., 2020 "	"2020/11"	12	Not Applicable	Not Applicable
	"Autauga County, AL"	"01001"	"85+ years"	"85+"	"Dec., 2020 "	"2020/12"	20	Not Applicable	Not Applicable
	"Baldwin County, AL"	"01003"	"55-64 years"	"55-64"	"Jan., 2019"	"2019/01"	31	Not Applicable	Not Applicable
	"Baldwin County, AL"	"01003"	"55-64 years"	"55-64"	"Feb., 2019"	"2019/02"	21	Not Applicable	Not Applicable
	"Baldwin County, AL"	"01003"	"55-64 years"	"55-64"	"Mar., 2019"	"2019/03"	22	Not Applicable	Not Applicable
	"Baldwin County, AL"	"01003"	"55-64 years"	"55-64"	"Apr., 2019"	"2019/04"	17	Not Applicable	Not Applicable
	"Baldwin County, AL"	"01003"	"55-64 years"	"55-64"	"May, 2019"	"2019/05"	29	Not Applicable	Not Applicable
	"Baldwin County, AL"	"01003"	"55-64 years"	"55-64"	"Jun., 2019"	"2019/06"	12	Not Applicable	Not Applicable
	"Baldwin County, AL"	"01003"	"55-64 years"	"55-64"	"Jul., 2019"	"2019/07"	19	Not Applicable	Not Applicable
	"Baldwin County, AL"	"01003"	"55-64 years"	"55-64"	"Aug., 2019"	"2019/08"	25	Not Applicable	Not Applicable
	"Baldwin County, AL"	"01003"	"55-64 years"	"55-64"	"Sep., 2019"	"2019/09"	26	Not Applicable	Not Applicable
	"Baldwin County, AL"	"01003"	"55-64 years"	"55-64"	"Oct., 2019"	"2019/10"	29	Not Applicable	Not Applicable
	"Baldwin County, AL"	"01003"	"55-64 years"	"55-64"	"Nov., 2019"	"2019/11"	23	Not Applicable	Not Applicable
	"Baldwin County, AL"	"01003"	"55-64 years"	"55-64"	"Dec., 2019"	"2019/12"	30	Not Applicable	Not Applicable
	"Baldwin County, AL"	"01003"	"55-64 years"	"55-64"	"Jan., 2020 "	"2020/01"	25	Not Applicable	Not Applicable
	"Baldwin County, AL"	"01003"	"55-64 years"	"55-64"	"Feb., 2020 "	"2020/02"	22	Not Applicable	Not Applicable
	"Baldwin County, AL"	"01003"	"55-64 years"	"55-64"	"Mar., 2020 "	"2020/03"	35	Not Applicable	Not Applicable
	"Baldwin County, AL"	"01003"	"55-64 years"	"55-64"	"Apr., 2020 "	"2020/04"	19	Not Applicable	Not Applicable
	"Baldwin County, AL"	"01003"	"55-64 years"	"55-64"	"May, 2020 "	"2020/05"	26	Not Applicable	Not Applicable
	"Baldwin County, AL"	"01003"	"55-64 years"	"55-64"	"Jun., 2020 "	"2020/06"	25	Not Applicable	Not Applicable
	"Baldwin County, AL"	"01003"	"55-64 years"	"55-64"	"Jul., 2020 "	"2020/07"	29	Not Applicable	Not Applicable
	"Baldwin County, AL"	"01003"	"55-64 years"	"55-64"	"Aug., 2020 "	"2020/08"	40	Not Applicable	Not Applicable
	"Baldwin County, AL"	"01003"	"55-64 years"	"55-64"	"Sep., 2020 "	"2020/09"	23	Not Applicable	Not Applicable
	"Baldwin County, AL"	"01003"	"55-64 years"	"55-64"	"Oct., 2020 "	"2020/10"	35	Not Applicable	Not Applicable
	"Baldwin County, AL"	"01003"	"55-64 years"	"55-64"	"Nov., 2020 "	"2020/11"	31	Not Applicable	Not Applicable
	"Baldwin County, AL"	"01003"	"55-64 years"	"55-64"	"Dec., 2020 "	"2020/12"	31	Not Applicable	Not Applicable
	"Baldwin County, AL"	"01003"	"65-74 years"	"65-74"	"Jan., 2019"	"2019/01"	49	Not Applicable	Not Applicable
	"Baldwin County, AL"	"01003"	"65-74 years"	"65-74"	"Feb., 2019"	"2019/02"	46	Not Applicable	Not Applicable
	"Baldwin County, AL"	"01003"	"65-74 years"	"65-74"	"Mar., 2019"	"2019/03"	41	Not Applicable	Not Applicable
	"Baldwin County, AL"	"01003"	"65-74 years"	"65-74"	"Apr., 2019"	"2019/04"	39	Not Applicable	Not Applicable
	"Baldwin County, AL"	"01003"	"65-74 years"	"65-74"	"May, 2019"	"2019/05"	37	Not Applicable	Not Applicable
	"Baldwin County, AL"	"01003"	"65-74 years"	"65-74"	"Jun., 2019"	"2019/06"	47	Not Applicable	Not Applicable
	"Baldwin County, AL"	"01003"	"65-74 years"	"65-74"	"Jul., 2019"	"2019/07"	39	Not Applicable	Not Applicable
	"Baldwin County, AL"	"01003"	"65-74 years"	"65-74"	"Aug., 2019"	"2019/08"	45	Not Applicable	Not Applicable
	"Baldwin County, AL"	"01003"	"65-74 years"	"65-74"	"Sep., 2019"	"2019/09"	38	Not Applicable	Not Applicable
	"Baldwin County, AL"	"01003"	"65-74 years"	"65-74"	"Oct., 2019"	"2019/10"	30	Not Applicable	Not Applicable
	"Baldwin County, AL"	"01003"	"65-74 years"	"65-74"	"Nov., 2019"	"2019/11"	44	Not Applicable	Not Applicable
	"Baldwin County, AL"	"01003"	"65-74 years"	"65-74"	"Dec., 2019"	"2019/12"	42	Not Applicable	Not Applicable
	"Baldwin County, AL"	"01003"	"65-74 years"	"65-74"	"Jan., 2020 "	"2020/01"	42	Not Applicable	Not Applicable
	"Baldwin County, AL"	"01003"	"65-74 years"	"65-74"	"Feb., 2020 "	"2020/02"	40	Not Applicable	Not Applicable
	"Baldwin County, AL"	"01003"	"65-74 years"	"65-74"	"Mar., 2020 "	"2020/03"	54	Not Applicable	Not Applicable
	"Baldwin County, AL"	"01003"	"65-74 years"	"65-74"	"Apr., 2020 "	"2020/04"	44	Not Applicable	Not Applicable
	"Baldwin County, AL"	"01003"	"65-74 years"	"65-74"	"May, 2020 "	"2020/05"	42	Not Applicable	Not Applicable
	"Baldwin County, AL"	"01003"	"65-74 years"	"65-74"	"Jun., 2020 "	"2020/06"	48	Not Applicable	Not Applicable
	"Baldwin County, AL"	"01003"	"65-74 years"	"65-74"	"Jul., 2020 "	"2020/07"	41	Not Applicable	Not Applicable
	"Baldwin County, AL"	"01003"	"65-74 years"	"65-74"	"Aug., 2020 "	"2020/08"	53	Not Applicable	Not Applicable
	"Baldwin County, AL"	"01003"	"65-74 years"	"65-74"	"Sep., 2020 "	"2020/09"	42	Not Applicable	Not Applicable
	"Baldwin County, AL"	"01003"	"65-74 years"	"65-74"	"Oct., 2020 "	"2020/10"	40	Not Applicable	Not Applicable
	"Baldwin County, AL"	"01003"	"65-74 years"	"65-74"	"Nov., 2020 "	"2020/11"	55	Not Applicable	Not Applicable
	"Baldwin County, AL"	"01003"	"65-74 years"	"65-74"	"Dec., 2020 "	"2020/12"	62	Not Applicable	Not Applicable
	"Baldwin County, AL"	"01003"	"75-84 years"	"75-84"	"Jan., 2019"	"2019/01"	52	Not Applicable	Not Applicable
	"Baldwin County, AL"	"01003"	"75-84 years"	"75-84"	"Feb., 2019"	"2019/02"	51	Not Applicable	Not Applicable
	"Baldwin County, AL"	"01003"	"75-84 years"	"75-84"	"Mar., 2019"	"2019/03"	57	Not Applicable	Not Applicable
	"Baldwin County, AL"	"01003"	"75-84 years"	"75-84"	"Apr., 2019"	"2019/04"	41	Not Applicable	Not Applicable
	"Baldwin County, AL"	"01003"	"75-84 years"	"75-84"	"May, 2019"	"2019/05"	47	Not Applicable	Not Applicable
	"Baldwin County, AL"	"01003"	"75-84 years"	"75-84"	"Jun., 2019"	"2019/06"	58	Not Applicable	Not Applicable
	"Baldwin County, AL"	"01003"	"75-84 years"	"75-84"	"Jul., 2019"	"2019/07"	52	Not Applicable	Not Applicable
	"Baldwin County, AL"	"01003"	"75-84 years"	"75-84"	"Aug., 2019"	"2019/08"	53	Not Applicable	Not Applicable
	"Baldwin County, AL"	"01003"	"75-84 years"	"75-84"	"Sep., 2019"	"2019/09"	48	Not Applicable	Not Applicable
	"Baldwin County, AL"	"01003"	"75-84 years"	"75-84"	"Oct., 2019"	"2019/10"	40	Not Applicable	Not Applicable
	"Baldwin County, AL"	"01003"	"75-84 years"	"75-84"	"Nov., 2019"	"2019/11"	49	Not Applicable	Not Applicable
	"Baldwin County, AL"	"01003"	"75-84 years"	"75-84"	"Dec., 2019"	"2019/12"	52	Not Applicable	Not Applicable
	"Baldwin County, AL"	"01003"	"75-84 years"	"75-84"	"Jan., 2020 "	"2020/01"	67	Not Applicable	Not Applicable
	"Baldwin County, AL"	"01003"	"75-84 years"	"75-84"	"Feb., 2020 "	"2020/02"	55	Not Applicable	Not Applicable
	"Baldwin County, AL"	"01003"	"75-84 years"	"75-84"	"Mar., 2020 "	"2020/03"	59	Not Applicable	Not Applicable
	"Baldwin County, AL"	"01003"	"75-84 years"	"75-84"	"Apr., 2020 "	"2020/04"	53	Not Applicable	Not Applicable
	"Baldwin County, AL"	"01003"	"75-84 years"	"75-84"	"May, 2020 "	"2020/05"	43	Not Applicable	Not Applicable
	"Baldwin County, AL"	"01003"	"75-84 years"	"75-84"	"Jun., 2020 "	"2020/06"	52	Not Applicable	Not Applicable
	"Baldwin County, AL"	"01003"	"75-84 years"	"75-84"	"Jul., 2020 "	"2020/07"	70	Not Applicable	Not Applicable
	"Baldwin County, AL"	"01003"	"75-84 years"	"75-84"	"Aug., 2020 "	"2020/08"	74	Not Applicable	Not Applicable
	"Baldwin County, AL"	"01003"	"75-84 years"	"75-84"	"Sep., 2020 "	"2020/09"	69	Not Applicable	Not Applicable
	"Baldwin County, AL"	"01003"	"75-84 years"	"75-84"	"Oct., 2020 "	"2020/10"	84	Not Applicable	Not Applicable
	"Baldwin County, AL"	"01003"	"75-84 years"	"75-84"	"Nov., 2020 "	"2020/11"	67	Not Applicable	Not Applicable
	"Baldwin County, AL"	"01003"	"75-84 years"	"75-84"	"Dec., 2020 "	"2020/12"	79	Not Applicable	Not Applicable
	"Baldwin County, AL"	"01003"	"85+ years"	"85+"	"Jan., 2019"	"2019/01"	57	Not Applicable	Not Applicable
	"Baldwin County, AL"	"01003"	"85+ years"	"85+"	"Feb., 2019"	"2019/02"	56	Not Applicable	Not Applicable
	"Baldwin County, AL"	"01003"	"85+ years"	"85+"	"Mar., 2019"	"2019/03"	62	Not Applicable	Not Applicable
	"Baldwin County, AL"	"01003"	"85+ years"	"85+"	"Apr., 2019"	"2019/04"	49	Not Applicable	Not Applicable
	"Baldwin County, AL"	"01003"	"85+ years"	"85+"	"May, 2019"	"2019/05"	54	Not Applicable	Not Applicable
	"Baldwin County, AL"	"01003"	"85+ years"	"85+"	"Jun., 2019"	"2019/06"	48	Not Applicable	Not Applicable
	"Baldwin County, AL"	"01003"	"85+ years"	"85+"	"Jul., 2019"	"2019/07"	46	Not Applicable	Not Applicable
	"Baldwin County, AL"	"01003"	"85+ years"	"85+"	"Aug., 2019"	"2019/08"	42	Not Applicable	Not Applicable
	"Baldwin County, AL"	"01003"	"85+ years"	"85+"	"Sep., 2019"	"2019/09"	46	Not Applicable	Not Applicable
	"Baldwin County, AL"	"01003"	"85+ years"	"85+"	"Oct., 2019"	"2019/10"	50	Not Applicable	Not Applicable
	"Baldwin County, AL"	"01003"	"85+ years"	"85+"	"Nov., 2019"	"2019/11"	47	Not Applicable	Not Applicable
	"Baldwin County, AL"	"01003"	"85+ years"	"85+"	"Dec., 2019"	"2019/12"	59	Not Applicable	Not Applicable
	"Baldwin County, AL"	"01003"	"85+ years"	"85+"	"Jan., 2020 "	"2020/01"	58	Not Applicable	Not Applicable
	"Baldwin County, AL"	"01003"	"85+ years"	"85+"	"Feb., 2020 "	"2020/02"	58	Not Applicable	Not Applicable
	"Baldwin County, AL"	"01003"	"85+ years"	"85+"	"Mar., 2020 "	"2020/03"	62	Not Applicable	Not Applicable
	"Baldwin County, AL"	"01003"	"85+ years"	"85+"	"Apr., 2020 "	"2020/04"	43	Not Applicable	Not Applicable
	"Baldwin County, AL"	"01003"	"85+ years"	"85+"	"May, 2020 "	"2020/05"	62	Not Applicable	Not Applicable
	"Baldwin County, AL"	"01003"	"85+ years"	"85+"	"Jun., 2020 "	"2020/06"	51	Not Applicable	Not Applicable
	"Baldwin County, AL"	"01003"	"85+ years"	"85+"	"Jul., 2020 "	"2020/07"	67	Not Applicable	Not Applicable
	"Baldwin County, AL"	"01003"	"85+ years"	"85+"	"Aug., 2020 "	"2020/08"	74	Not Applicable	Not Applicable
	"Baldwin County, AL"	"01003"	"85+ years"	"85+"	"Sep., 2020 "	"2020/09"	56	Not Applicable	Not Applicable
	"Baldwin County, AL"	"01003"	"85+ years"	"85+"	"Oct., 2020 "	"2020/10"	59	Not Applicable	Not Applicable
	"Baldwin County, AL"	"01003"	"85+ years"	"85+"	"Nov., 2020 "	"2020/11"	44	Not Applicable	Not Applicable
	"Baldwin County, AL"	"01003"	"85+ years"	"85+"	"Dec., 2020 "	"2020/12"	77	Not Applicable	Not Applicable
	"Barbour County, AL"	"01005"	"65-74 years"	"65-74"	"Mar., 2019"	"2019/03"	12	Not Applicable	Not Applicable
	"Barbour County, AL"	"01005"	"65-74 years"	"65-74"	"Aug., 2019"	"2019/08"	13	Not Applicable	Not Applicable
	"Barbour County, AL"	"01005"	"65-74 years"	"65-74"	"Jul., 2020 "	"2020/07"	11	Not Applicable	Not Applicable
	"Barbour County, AL"	"01005"	"65-74 years"	"65-74"	"Sep., 2020 "	"2020/09"	10	Not Applicable	Not Applicable
	"Barbour County, AL"	"01005"	"65-74 years"	"65-74"	"Nov., 2020 "	"2020/11"	13	Not Applicable	Not Applicable
	"Barbour County, AL"	"01005"	"75-84 years"	"75-84"	"May, 2019"	"2019/05"	15	Not Applicable	Not Applicable
	"Barbour County, AL"	"01005"	"75-84 years"	"75-84"	"Jul., 2019"	"2019/07"	11	Not Applicable	Not Applicable
	"Barbour County, AL"	"01005"	"75-84 years"	"75-84"	"May, 2020 "	"2020/05"	13	Not Applicable	Not Applicable
	"Barbour County, AL"	"01005"	"75-84 years"	"75-84"	"Nov., 2020 "	"2020/11"	10	Not Applicable	Not Applicable
	"Bibb County, AL"	"01007"	"65-74 years"	"65-74"	"Aug., 2019"	"2019/08"	10	Not Applicable	Not Applicable
	"Bibb County, AL"	"01007"	"75-84 years"	"75-84"	"Feb., 2020 "	"2020/02"	10	Not Applicable	Not Applicable
	"Bibb County, AL"	"01007"	"75-84 years"	"75-84"	"Aug., 2020 "	"2020/08"	11	Not Applicable	Not Applicable
	"Bibb County, AL"	"01007"	"75-84 years"	"75-84"	"Sep., 2020 "	"2020/09"	10	Not Applicable	Not Applicable
	"Bibb County, AL"	"01007"	"75-84 years"	"75-84"	"Nov., 2020 "	"2020/11"	12	Not Applicable	Not Applicable
	"Bibb County, AL"	"01007"	"85+ years"	"85+"	"Aug., 2020 "	"2020/08"	10	Not Applicable	Not Applicable
	"Bibb County, AL"	"01007"	"85+ years"	"85+"	"Dec., 2020 "	"2020/12"	10	Not Applicable	Not Applicable
	"Blount County, AL"	"01009"	"55-64 years"	"55-64"	"Feb., 2019"	"2019/02"	11	Not Applicable	Not Applicable
	"Blount County, AL"	"01009"	"55-64 years"	"55-64"	"Mar., 2019"	"2019/03"	10	Not Applicable	Not Applicable
	"Blount County, AL"	"01009"	"55-64 years"	"55-64"	"Jul., 2019"	"2019/07"	10	Not Applicable	Not Applicable
	"Blount County, AL"	"01009"	"55-64 years"	"55-64"	"Feb., 2020 "	"2020/02"	10	Not Applicable	Not Applicable
	"Blount County, AL"	"01009"	"55-64 years"	"55-64"	"Apr., 2020 "	"2020/04"	11	Not Applicable	Not Applicable
	"Blount County, AL"	"01009"	"55-64 years"	"55-64"	"Jun., 2020 "	"2020/06"	11	Not Applicable	Not Applicable
	"Blount County, AL"	"01009"	"55-64 years"	"55-64"	"Aug., 2020 "	"2020/08"	15	Not Applicable	Not Applicable
	"Blount County, AL"	"01009"	"55-64 years"	"55-64"	"Sep., 2020 "	"2020/09"	11	Not Applicable	Not Applicable
	"Blount County, AL"	"01009"	"55-64 years"	"55-64"	"Oct., 2020 "	"2020/10"	10	Not Applicable	Not Applicable
	"Blount County, AL"	"01009"	"55-64 years"	"55-64"	"Dec., 2020 "	"2020/12"	17	Not Applicable	Not Applicable
	"Blount County, AL"	"01009"	"65-74 years"	"65-74"	"Jan., 2019"	"2019/01"	15	Not Applicable	Not Applicable
	"Blount County, AL"	"01009"	"65-74 years"	"65-74"	"Mar., 2019"	"2019/03"	17	Not Applicable	Not Applicable
	"Blount County, AL"	"01009"	"65-74 years"	"65-74"	"Apr., 2019"	"2019/04"	15	Not Applicable	Not Applicable
	"Blount County, AL"	"01009"	"65-74 years"	"65-74"	"May, 2019"	"2019/05"	18	Not Applicable	Not Applicable
	"Blount County, AL"	"01009"	"65-74 years"	"65-74"	"Jun., 2019"	"2019/06"	11	Not Applicable	Not Applicable
	"Blount County, AL"	"01009"	"65-74 years"	"65-74"	"Jul., 2019"	"2019/07"	17	Not Applicable	Not Applicable
	"Blount County, AL"	"01009"	"65-74 years"	"65-74"	"Sep., 2019"	"2019/09"	13	Not Applicable	Not Applicable
	"Blount County, AL"	"01009"	"65-74 years"	"65-74"	"Oct., 2019"	"2019/10"	18	Not Applicable	Not Applicable
	"Blount County, AL"	"01009"	"65-74 years"	"65-74"	"Nov., 2019"	"2019/11"	12	Not Applicable	Not Applicable
	"Blount County, AL"	"01009"	"65-74 years"	"65-74"	"Dec., 2019"	"2019/12"	15	Not Applicable	Not Applicable
	"Blount County, AL"	"01009"	"65-74 years"	"65-74"	"Jan., 2020 "	"2020/01"	11	Not Applicable	Not Applicable
	"Blount County, AL"	"01009"	"65-74 years"	"65-74"	"Feb., 2020 "	"2020/02"	18	Not Applicable	Not Applicable
	"Blount County, AL"	"01009"	"65-74 years"	"65-74"	"Mar., 2020 "	"2020/03"	12	Not Applicable	Not Applicable
	"Blount County, AL"	"01009"	"65-74 years"	"65-74"	"Apr., 2020 "	"2020/04"	16	Not Applicable	Not Applicable
	"Blount County, AL"	"01009"	"65-74 years"	"65-74"	"May, 2020 "	"2020/05"	19	Not Applicable	Not Applicable
