"Notes"	"County"	"County Code"	"Ten-Year Age Groups"	"Ten-Year Age Groups Code"	"Month"	"Month Code"	Deaths	Population	Crude Rate
	"Adams County, CO"	"08001"	"55-64 years"	"55-64"	"Jan., 2013"	"2013/01"	43	Not Applicable	Not Applicable
	"Adams County, CO"	"08001"	"55-64 years"	"55-64"	"Feb., 2013"	"2013/02"	28	Not Applicable	Not Applicable
	"Adams County, CO"	"08001"	"55-64 years"	"55-64"	"Mar., 2013"	"2013/03"	39	Not Applicable	Not Applicable
	"Adams County, CO"	"08001"	"55-64 years"	"55-64"	"Apr., 2013"	"2013/04"	37	Not Applicable	Not Applicable
	"Adams County, CO"	"08001"	"55-64 years"	"55-64"	"May, 2013"	"2013/05"	27	Not Applicable	Not Applicable
	"Adams County, CO"	"08001"	"55-64 years"	"55-64"	"Jun., 2013"	"2013/06"	44	Not Applicable	Not Applicable
	"Adams County, CO"	"08001"	"55-64 years"	"55-64"	"Jul., 2013"	"2013/07"	32	Not Applicable	Not Applicable
	"Adams County, CO"	"08001"	"55-64 years"	"55-64"	"Aug., 2013"	"2013/08"	38	Not Applicable	Not Applicable
	"Adams County, CO"	"08001"	"55-64 years"	"55-64"	"Sep., 2013"	"2013/09"	31	Not Applicable	Not Applicable
	"Adams County, CO"	"08001"	"55-64 years"	"55-64"	"Oct., 2013"	"2013/10"	33	Not Applicable	Not Applicable
	"Adams County, CO"	"08001"	"55-64 years"	"55-64"	"Nov., 2013"	"2013/11"	34	Not Applicable	Not Applicable
	"Adams County, CO"	"08001"	"55-64 years"	"55-64"	"Dec., 2013"	"2013/12"	42	Not Applicable	Not Applicable
	"Adams County, CO"	"08001"	"55-64 years"	"55-64"	"Jan., 2014"	"2014/01"	34	Not Applicable	Not Applicable
	"Adams County, CO"	"08001"	"55-64 years"	"55-64"	"Feb., 2014"	"2014/02"	29	Not Applicable	Not Applicable
	"Adams County, CO"	"08001"	"55-64 years"	"55-64"	"Mar., 2014"	"2014/03"	43	Not Applicable	Not Applicable
	"Adams County, CO"	"08001"	"55-64 years"	"55-64"	"Apr., 2014"	"2014/04"	32	Not Applicable	Not Applicable
	"Adams County, CO"	"08001"	"55-64 years"	"55-64"	"May, 2014"	"2014/05"	29	Not Applicable	Not Applicable
	"Adams County, CO"	"08001"	"55-64 years"	"55-64"	"Jun., 2014"	"2014/06"	31	Not Applicable	Not Applicable
	"Adams County, CO"	"08001"	"55-64 years"	"55-64"	"Jul., 2014"	"2014/07"	30	Not Applicable	Not Applicable
	"Adams County, CO"	"08001"	"55-64 years"	"55-64"	"Aug., 2014"	"2014/08"	43	Not Applicable	Not Applicable
	"Adams County, CO"	"08001"	"55-64 years"	"55-64"	"Sep., 2014"	"2014/09"	39	Not Applicable	Not Applicable
	"Adams County, CO"	"08001"	"55-64 years"	"55-64"	"Oct., 2014"	"2014/10"	26	Not Applicable	Not Applicable
	"Adams County, CO"	"08001"	"55-64 years"	"55-64"	"Nov., 2014"	"2014/11"	28	Not Applicable	Not Applicable
	"Adams County, CO"	"08001"	"55-64 years"	"55-64"	"Dec., 2014"	"2014/12"	49	Not Applicable	Not Applicable
	"Adams County, CO"	"08001"	"55-64 years"	"55-64"	"Jan., 2015"	"2015/01"	38	Not Applicable	Not Applicable
	"Adams County, CO"	"08001"	"55-64 years"	"55-64"	"Feb., 2015"	"2015/02"	27	Not Applicable	Not Applicable
	"Adams County, CO"	"08001"	"55-64 years"	"55-64"	"Mar., 2015"	"2015/03"	33	Not Applicable	Not Applicable
	"Adams County, CO"	"08001"	"55-64 years"	"55-64"	"Apr., 2015"	"2015/04"	33	Not Applicable	Not Applicable
	"Adams County, CO"	"08001"	"55-64 years"	"55-64"	"May, 2015"	"2015/05"	37	Not Applicable	Not Applicable
	"Adams County, CO"	"08001"	"55-64 years"	"55-64"	"Jun., 2015"	"2015/06"	32	Not Applicable	Not Applicable
	"Adams County, CO"	"08001"	"55-64 years"	"55-64"	"Jul., 2015"	"2015/07"	30	Not Applicable	Not Applicable
	"Adams County, CO"	"08001"	"55-64 years"	"55-64"	"Aug., 2015"	"2015/08"	35	Not Applicable	Not Applicable
	"Adams County, CO"	"08001"	"55-64 years"	"55-64"	"Sep., 2015"	"2015/09"	33	Not Applicable	Not Applicable
	"Adams County, CO"	"08001"	"55-64 years"	"55-64"	"Oct., 2015"	"2015/10"	29	Not Applicable	Not Applicable
	"Adams County, CO"	"08001"	"55-64 years"	"55-64"	"Nov., 2015"	"2015/11"	38	Not Applicable	Not Applicable
	"Adams County, CO"	"08001"	"55-64 years"	"55-64"	"Dec., 2015"	"2015/12"	39	Not Applicable	Not Applicable
	"Adams County, CO"	"08001"	"65-74 years"	"65-74"	"Jan., 2013"	"2013/01"	35	Not Applicable	Not Applicable
	"Adams County, CO"	"08001"	"65-74 years"	"65-74"	"Feb., 2013"	"2013/02"	35	Not Applicable	Not Applicable
	"Adams County, CO"	"08001"	"65-74 years"	"65-74"	"Mar., 2013"	"2013/03"	49	Not Applicable	Not Applicable
	"Adams County, CO"	"08001"	"65-74 years"	"65-74"	"Apr., 2013"	"2013/04"	31	Not Applicable	Not Applicable
	"Adams County, CO"	"08001"	"65-74 years"	"65-74"	"May, 2013"	"2013/05"	41	Not Applicable	Not Applicable
	"Adams County, CO"	"08001"	"65-74 years"	"65-74"	"Jun., 2013"	"2013/06"	36	Not Applicable	Not Applicable
	"Adams County, CO"	"08001"	"65-74 years"	"65-74"	"Jul., 2013"	"2013/07"	40	Not Applicable	Not Applicable
	"Adams County, CO"	"08001"	"65-74 years"	"65-74"	"Aug., 2013"	"2013/08"	39	Not Applicable	Not Applicable
	"Adams County, CO"	"08001"	"65-74 years"	"65-74"	"Sep., 2013"	"2013/09"	43	Not Applicable	Not Applicable
	"Adams County, CO"	"08001"	"65-74 years"	"65-74"	"Oct., 2013"	"2013/10"	37	Not Applicable	Not Applicable
	"Adams County, CO"	"08001"	"65-74 years"	"65-74"	"Nov., 2013"	"2013/11"	38	Not Applicable	Not Applicable
