"Notes"	"County"	"County Code"	"Ten-Year Age Groups"	"Ten-Year Age Groups Code"	"Month"	"Month Code"	Deaths	Population	Crude Rate
	"Fairfield County, CT"	"09001"	"55-64 years"	"55-64"	"Jan., 2010"	"2010/01"	63	Not Applicable	Not Applicable
	"Fairfield County, CT"	"09001"	"55-64 years"	"55-64"	"Feb., 2010"	"2010/02"	47	Not Applicable	Not Applicable
	"Fairfield County, CT"	"09001"	"55-64 years"	"55-64"	"Mar., 2010"	"2010/03"	57	Not Applicable	Not Applicable
	"Fairfield County, CT"	"09001"	"55-64 years"	"55-64"	"Apr., 2010"	"2010/04"	40	Not Applicable	Not Applicable
	"Fairfield County, CT"	"09001"	"55-64 years"	"55-64"	"May, 2010"	"2010/05"	43	Not Applicable	Not Applicable
	"Fairfield County, CT"	"09001"	"55-64 years"	"55-64"	"Jun., 2010"	"2010/06"	55	Not Applicable	Not Applicable
	"Fairfield County, CT"	"09001"	"55-64 years"	"55-64"	"Jul., 2010"	"2010/07"	53	Not Applicable	Not Applicable
	"Fairfield County, CT"	"09001"	"55-64 years"	"55-64"	"Aug., 2010"	"2010/08"	64	Not Applicable	Not Applicable
	"Fairfield County, CT"	"09001"	"55-64 years"	"55-64"	"Sep., 2010"	"2010/09"	54	Not Applicable	Not Applicable
	"Fairfield County, CT"	"09001"	"55-64 years"	"55-64"	"Oct., 2010"	"2010/10"	49	Not Applicable	Not Applicable
	"Fairfield County, CT"	"09001"	"55-64 years"	"55-64"	"Nov., 2010"	"2010/11"	54	Not Applicable	Not Applicable
	"Fairfield County, CT"	"09001"	"55-64 years"	"55-64"	"Dec., 2010"	"2010/12"	50	Not Applicable	Not Applicable
	"Fairfield County, CT"	"09001"	"55-64 years"	"55-64"	"Jan., 2011"	"2011/01"	47	Not Applicable	Not Applicable
	"Fairfield County, CT"	"09001"	"55-64 years"	"55-64"	"Feb., 2011"	"2011/02"	46	Not Applicable	Not Applicable
	"Fairfield County, CT"	"09001"	"55-64 years"	"55-64"	"Mar., 2011"	"2011/03"	68	Not Applicable	Not Applicable
	"Fairfield County, CT"	"09001"	"55-64 years"	"55-64"	"Apr., 2011"	"2011/04"	44	Not Applicable	Not Applicable
	"Fairfield County, CT"	"09001"	"55-64 years"	"55-64"	"May, 2011"	"2011/05"	52	Not Applicable	Not Applicable
	"Fairfield County, CT"	"09001"	"55-64 years"	"55-64"	"Jun., 2011"	"2011/06"	51	Not Applicable	Not Applicable
	"Fairfield County, CT"	"09001"	"55-64 years"	"55-64"	"Jul., 2011"	"2011/07"	41	Not Applicable	Not Applicable
	"Fairfield County, CT"	"09001"	"55-64 years"	"55-64"	"Aug., 2011"	"2011/08"	44	Not Applicable	Not Applicable
	"Fairfield County, CT"	"09001"	"55-64 years"	"55-64"	"Sep., 2011"	"2011/09"	42	Not Applicable	Not Applicable
	"Fairfield County, CT"	"09001"	"55-64 years"	"55-64"	"Oct., 2011"	"2011/10"	43	Not Applicable	Not Applicable
	"Fairfield County, CT"	"09001"	"55-64 years"	"55-64"	"Nov., 2011"	"2011/11"	53	Not Applicable	Not Applicable
	"Fairfield County, CT"	"09001"	"55-64 years"	"55-64"	"Dec., 2011"	"2011/12"	50	Not Applicable	Not Applicable
	"Fairfield County, CT"	"09001"	"55-64 years"	"55-64"	"Jan., 2012"	"2012/01"	60	Not Applicable	Not Applicable
	"Fairfield County, CT"	"09001"	"55-64 years"	"55-64"	"Feb., 2012"	"2012/02"	52	Not Applicable	Not Applicable
	"Fairfield County, CT"	"09001"	"55-64 years"	"55-64"	"Mar., 2012"	"2012/03"	52	Not Applicable	Not Applicable
	"Fairfield County, CT"	"09001"	"55-64 years"	"55-64"	"Apr., 2012"	"2012/04"	58	Not Applicable	Not Applicable
	"Fairfield County, CT"	"09001"	"55-64 years"	"55-64"	"May, 2012"	"2012/05"	55	Not Applicable	Not Applicable
	"Fairfield County, CT"	"09001"	"55-64 years"	"55-64"	"Jun., 2012"	"2012/06"	43	Not Applicable	Not Applicable
	"Fairfield County, CT"	"09001"	"55-64 years"	"55-64"	"Jul., 2012"	"2012/07"	38	Not Applicable	Not Applicable
	"Fairfield County, CT"	"09001"	"55-64 years"	"55-64"	"Aug., 2012"	"2012/08"	44	Not Applicable	Not Applicable
	"Fairfield County, CT"	"09001"	"55-64 years"	"55-64"	"Sep., 2012"	"2012/09"	51	Not Applicable	Not Applicable
	"Fairfield County, CT"	"09001"	"55-64 years"	"55-64"	"Oct., 2012"	"2012/10"	55	Not Applicable	Not Applicable
	"Fairfield County, CT"	"09001"	"55-64 years"	"55-64"	"Nov., 2012"	"2012/11"	50	Not Applicable	Not Applicable
	"Fairfield County, CT"	"09001"	"55-64 years"	"55-64"	"Dec., 2012"	"2012/12"	60	Not Applicable	Not Applicable
	"Fairfield County, CT"	"09001"	"55-64 years"	"55-64"	"Jan., 2013"	"2013/01"	60	Not Applicable	Not Applicable
	"Fairfield County, CT"	"09001"	"55-64 years"	"55-64"	"Feb., 2013"	"2013/02"	43	Not Applicable	Not Applicable
	"Fairfield County, CT"	"09001"	"55-64 years"	"55-64"	"Mar., 2013"	"2013/03"	52	Not Applicable	Not Applicable
	"Fairfield County, CT"	"09001"	"55-64 years"	"55-64"	"Apr., 2013"	"2013/04"	52	Not Applicable	Not Applicable
	"Fairfield County, CT"	"09001"	"55-64 years"	"55-64"	"May, 2013"	"2013/05"	51	Not Applicable	Not Applicable
	"Fairfield County, CT"	"09001"	"55-64 years"	"55-64"	"Jun., 2013"	"2013/06"	56	Not Applicable	Not Applicable
	"Fairfield County, CT"	"09001"	"55-64 years"	"55-64"	"Jul., 2013"	"2013/07"	50	Not Applicable	Not Applicable
	"Fairfield County, CT"	"09001"	"55-64 years"	"55-64"	"Aug., 2013"	"2013/08"	54	Not Applicable	Not Applicable
	"Fairfield County, CT"	"09001"	"55-64 years"	"55-64"	"Sep., 2013"	"2013/09"	50	Not Applicable	Not Applicable
	"Fairfield County, CT"	"09001"	"55-64 years"	"55-64"	"Oct., 2013"	"2013/10"	59	Not Applicable	Not Applicable
	"Fairfield County, CT"	"09001"	"55-64 years"	"55-64"	"Nov., 2013"	"2013/11"	40	Not Applicable	Not Applicable
	"Fairfield County, CT"	"09001"	"55-64 years"	"55-64"	"Dec., 2013"	"2013/12"	65	Not Applicable	Not Applicable
	"Fairfield County, CT"	"09001"	"55-64 years"	"55-64"	"Jan., 2014"	"2014/01"	60	Not Applicable	Not Applicable
