"Notes"	"County"	"County Code"	"Ten-Year Age Groups"	"Ten-Year Age Groups Code"	"Month"	"Month Code"	Deaths	Population	Crude Rate
	"Adams County, IN"	"18001"	"65-74 years"	"65-74"	"Sep., 2013"	"2013/09"	10	Not Applicable	Not Applicable
	"Adams County, IN"	"18001"	"65-74 years"	"65-74"	"Apr., 2015"	"2015/04"	10	Not Applicable	Not Applicable
	"Adams County, IN"	"18001"	"75-84 years"	"75-84"	"Jan., 2014"	"2014/01"	11	Not Applicable	Not Applicable
	"Adams County, IN"	"18001"	"75-84 years"	"75-84"	"Jan., 2015"	"2015/01"	10	Not Applicable	Not Applicable
	"Adams County, IN"	"18001"	"75-84 years"	"75-84"	"Feb., 2015"	"2015/02"	11	Not Applicable	Not Applicable
	"Adams County, IN"	"18001"	"85+ years"	"85+"	"Jan., 2013"	"2013/01"	12	Not Applicable	Not Applicable
	"Adams County, IN"	"18001"	"85+ years"	"85+"	"Apr., 2013"	"2013/04"	11	Not Applicable	Not Applicable
	"Adams County, IN"	"18001"	"85+ years"	"85+"	"May, 2013"	"2013/05"	16	Not Applicable	Not Applicable
	"Adams County, IN"	"18001"	"85+ years"	"85+"	"Oct., 2013"	"2013/10"	13	Not Applicable	Not Applicable
	"Adams County, IN"	"18001"	"85+ years"	"85+"	"Nov., 2013"	"2013/11"	12	Not Applicable	Not Applicable
	"Adams County, IN"	"18001"	"85+ years"	"85+"	"Dec., 2013"	"2013/12"	13	Not Applicable	Not Applicable
	"Adams County, IN"	"18001"	"85+ years"	"85+"	"Jan., 2014"	"2014/01"	14	Not Applicable	Not Applicable
	"Adams County, IN"	"18001"	"85+ years"	"85+"	"Mar., 2014"	"2014/03"	11	Not Applicable	Not Applicable
	"Adams County, IN"	"18001"	"85+ years"	"85+"	"May, 2014"	"2014/05"	10	Not Applicable	Not Applicable
	"Adams County, IN"	"18001"	"85+ years"	"85+"	"Aug., 2014"	"2014/08"	12	Not Applicable	Not Applicable
	"Adams County, IN"	"18001"	"85+ years"	"85+"	"Dec., 2014"	"2014/12"	10	Not Applicable	Not Applicable
	"Adams County, IN"	"18001"	"85+ years"	"85+"	"Jan., 2015"	"2015/01"	11	Not Applicable	Not Applicable
	"Adams County, IN"	"18001"	"85+ years"	"85+"	"May, 2015"	"2015/05"	17	Not Applicable	Not Applicable
	"Adams County, IN"	"18001"	"85+ years"	"85+"	"Jul., 2015"	"2015/07"	11	Not Applicable	Not Applicable
	"Allen County, IN"	"18003"	"55-64 years"	"55-64"	"Jan., 2013"	"2013/01"	39	Not Applicable	Not Applicable
	"Allen County, IN"	"18003"	"55-64 years"	"55-64"	"Feb., 2013"	"2013/02"	33	Not Applicable	Not Applicable
	"Allen County, IN"	"18003"	"55-64 years"	"55-64"	"Mar., 2013"	"2013/03"	32	Not Applicable	Not Applicable
	"Allen County, IN"	"18003"	"55-64 years"	"55-64"	"Apr., 2013"	"2013/04"	31	Not Applicable	Not Applicable
	"Allen County, IN"	"18003"	"55-64 years"	"55-64"	"May, 2013"	"2013/05"	31	Not Applicable	Not Applicable
	"Allen County, IN"	"18003"	"55-64 years"	"55-64"	"Jun., 2013"	"2013/06"	32	Not Applicable	Not Applicable
	"Allen County, IN"	"18003"	"55-64 years"	"55-64"	"Jul., 2013"	"2013/07"	23	Not Applicable	Not Applicable
	"Allen County, IN"	"18003"	"55-64 years"	"55-64"	"Aug., 2013"	"2013/08"	30	Not Applicable	Not Applicable
	"Allen County, IN"	"18003"	"55-64 years"	"55-64"	"Sep., 2013"	"2013/09"	26	Not Applicable	Not Applicable
	"Allen County, IN"	"18003"	"55-64 years"	"55-64"	"Oct., 2013"	"2013/10"	30	Not Applicable	Not Applicable
	"Allen County, IN"	"18003"	"55-64 years"	"55-64"	"Nov., 2013"	"2013/11"	41	Not Applicable	Not Applicable
	"Allen County, IN"	"18003"	"55-64 years"	"55-64"	"Dec., 2013"	"2013/12"	30	Not Applicable	Not Applicable
	"Allen County, IN"	"18003"	"55-64 years"	"55-64"	"Jan., 2014"	"2014/01"	37	Not Applicable	Not Applicable
