"Notes"	"County"	"County Code"	"Ten-Year Age Groups"	"Ten-Year Age Groups Code"	"Month"	"Month Code"	Deaths	Population	Crude Rate
	"Churchill County, NV"	"32001"	"55-64 years"	"55-64"	"Dec., 2020 "	"2020/12"	10	Not Applicable	Not Applicable
"Total"	"Churchill County, NV"	"32001"	"55-64 years"	"55-64"			424	Not Applicable	Not Applicable
	"Churchill County, NV"	"32001"	"65-74 years"	"65-74"	"Jan., 2015"	"2015/01"	12	Not Applicable	Not Applicable
	"Churchill County, NV"	"32001"	"65-74 years"	"65-74"	"Sep., 2015"	"2015/09"	11	Not Applicable	Not Applicable
	"Churchill County, NV"	"32001"	"65-74 years"	"65-74"	"Jul., 2016"	"2016/07"	10	Not Applicable	Not Applicable
	"Churchill County, NV"	"32001"	"65-74 years"	"65-74"	"Mar., 2017"	"2017/03"	10	Not Applicable	Not Applicable
	"Churchill County, NV"	"32001"	"65-74 years"	"65-74"	"Mar., 2018"	"2018/03"	10	Not Applicable	Not Applicable
	"Churchill County, NV"	"32001"	"65-74 years"	"65-74"	"Feb., 2019"	"2019/02"	11	Not Applicable	Not Applicable
	"Churchill County, NV"	"32001"	"65-74 years"	"65-74"	"Nov., 2020 "	"2020/11"	10	Not Applicable	Not Applicable
	"Churchill County, NV"	"32001"	"65-74 years"	"65-74"	"Dec., 2020 "	"2020/12"	13	Not Applicable	Not Applicable
"Total"	"Churchill County, NV"	"32001"	"65-74 years"	"65-74"			681	Not Applicable	Not Applicable
	"Churchill County, NV"	"32001"	"75-84 years"	"75-84"	"Dec., 2013"	"2013/12"	11	Not Applicable	Not Applicable
	"Churchill County, NV"	"32001"	"75-84 years"	"75-84"	"Jan., 2014"	"2014/01"	11	Not Applicable	Not Applicable
	"Churchill County, NV"	"32001"	"75-84 years"	"75-84"	"Nov., 2014"	"2014/11"	10	Not Applicable	Not Applicable
	"Churchill County, NV"	"32001"	"75-84 years"	"75-84"	"Nov., 2015"	"2015/11"	13	Not Applicable	Not Applicable
	"Churchill County, NV"	"32001"	"75-84 years"	"75-84"	"Jun., 2017"	"2017/06"	11	Not Applicable	Not Applicable
	"Churchill County, NV"	"32001"	"75-84 years"	"75-84"	"Feb., 2018"	"2018/02"	10	Not Applicable	Not Applicable
	"Churchill County, NV"	"32001"	"75-84 years"	"75-84"	"Oct., 2018"	"2018/10"	10	Not Applicable	Not Applicable
	"Churchill County, NV"	"32001"	"75-84 years"	"75-84"	"Apr., 2019"	"2019/04"	12	Not Applicable	Not Applicable
	"Churchill County, NV"	"32001"	"75-84 years"	"75-84"	"Sep., 2019"	"2019/09"	11	Not Applicable	Not Applicable
	"Churchill County, NV"	"32001"	"75-84 years"	"75-84"	"Feb., 2020 "	"2020/02"	10	Not Applicable	Not Applicable
	"Churchill County, NV"	"32001"	"75-84 years"	"75-84"	"Jun., 2020 "	"2020/06"	12	Not Applicable	Not Applicable
	"Churchill County, NV"	"32001"	"75-84 years"	"75-84"	"Sep., 2020 "	"2020/09"	10	Not Applicable	Not Applicable
	"Churchill County, NV"	"32001"	"75-84 years"	"75-84"	"Nov., 2020 "	"2020/11"	10	Not Applicable	Not Applicable
	"Churchill County, NV"	"32001"	"75-84 years"	"75-84"	"Dec., 2020 "	"2020/12"	18	Not Applicable	Not Applicable
"Total"	"Churchill County, NV"	"32001"	"75-84 years"	"75-84"			835	Not Applicable	Not Applicable
	"Churchill County, NV"	"32001"	"85+ years"	"85+"	"Jan., 2012"	"2012/01"	14	Not Applicable	Not Applicable
	"Churchill County, NV"	"32001"	"85+ years"	"85+"	"Sep., 2014"	"2014/09"	13	Not Applicable	Not Applicable
	"Churchill County, NV"	"32001"	"85+ years"	"85+"	"Oct., 2014"	"2014/10"	10	Not Applicable	Not Applicable
	"Churchill County, NV"	"32001"	"85+ years"	"85+"	"Dec., 2016"	"2016/12"	10	Not Applicable	Not Applicable
	"Churchill County, NV"	"32001"	"85+ years"	"85+"	"Apr., 2020 "	"2020/04"	10	Not Applicable	Not Applicable
	"Churchill County, NV"	"32001"	"85+ years"	"85+"	"Nov., 2020 "	"2020/11"	19	Not Applicable	Not Applicable
	"Churchill County, NV"	"32001"	"85+ years"	"85+"	"Dec., 2020 "	"2020/12"	20	Not Applicable	Not Applicable
"Total"	"Churchill County, NV"	"32001"	"85+ years"	"85+"			786	Not Applicable	Not Applicable
"Total"	"Churchill County, NV"	"32001"					2726	Not Applicable	Not Applicable
	"Clark County, NV"	"32003"	"55-64 years"	"55-64"	"Jan., 2010"	"2010/01"	171	Not Applicable	Not Applicable
	"Clark County, NV"	"32003"	"55-64 years"	"55-64"	"Feb., 2010"	"2010/02"	185	Not Applicable	Not Applicable
	"Clark County, NV"	"32003"	"55-64 years"	"55-64"	"Mar., 2010"	"2010/03"	162	Not Applicable	Not Applicable
