"Notes"	"County"	"County Code"	"Ten-Year Age Groups"	"Ten-Year Age Groups Code"	"Month"	"Month Code"	Deaths	Population	Crude Rate
	"Alamance County, NC"	"37001"	"55-64 years"	"55-64"	"Jan., 2019"	"2019/01"	24	Not Applicable	Not Applicable
	"Alamance County, NC"	"37001"	"55-64 years"	"55-64"	"Feb., 2019"	"2019/02"	22	Not Applicable	Not Applicable
	"Alamance County, NC"	"37001"	"55-64 years"	"55-64"	"Mar., 2019"	"2019/03"	21	Not Applicable	Not Applicable
	"Alamance County, NC"	"37001"	"55-64 years"	"55-64"	"Apr., 2019"	"2019/04"	24	Not Applicable	Not Applicable
	"Alamance County, NC"	"37001"	"55-64 years"	"55-64"	"May, 2019"	"2019/05"	19	Not Applicable	Not Applicable
	"Alamance County, NC"	"37001"	"55-64 years"	"55-64"	"Jun., 2019"	"2019/06"	24	Not Applicable	Not Applicable
	"Alamance County, NC"	"37001"	"55-64 years"	"55-64"	"Jul., 2019"	"2019/07"	13	Not Applicable	Not Applicable
	"Alamance County, NC"	"37001"	"55-64 years"	"55-64"	"Aug., 2019"	"2019/08"	28	Not Applicable	Not Applicable
	"Alamance County, NC"	"37001"	"55-64 years"	"55-64"	"Sep., 2019"	"2019/09"	23	Not Applicable	Not Applicable
	"Alamance County, NC"	"37001"	"55-64 years"	"55-64"	"Oct., 2019"	"2019/10"	14	Not Applicable	Not Applicable
	"Alamance County, NC"	"37001"	"55-64 years"	"55-64"	"Nov., 2019"	"2019/11"	23	Not Applicable	Not Applicable
	"Alamance County, NC"	"37001"	"55-64 years"	"55-64"	"Dec., 2019"	"2019/12"	25	Not Applicable	Not Applicable
	"Alamance County, NC"	"37001"	"55-64 years"	"55-64"	"Jan., 2020 "	"2020/01"	27	Not Applicable	Not Applicable
	"Alamance County, NC"	"37001"	"55-64 years"	"55-64"	"Feb., 2020 "	"2020/02"	18	Not Applicable	Not Applicable
	"Alamance County, NC"	"37001"	"55-64 years"	"55-64"	"Mar., 2020 "	"2020/03"	28	Not Applicable	Not Applicable
	"Alamance County, NC"	"37001"	"55-64 years"	"55-64"	"Apr., 2020 "	"2020/04"	29	Not Applicable	Not Applicable
	"Alamance County, NC"	"37001"	"55-64 years"	"55-64"	"May, 2020 "	"2020/05"	28	Not Applicable	Not Applicable
	"Alamance County, NC"	"37001"	"55-64 years"	"55-64"	"Jun., 2020 "	"2020/06"	26	Not Applicable	Not Applicable
	"Alamance County, NC"	"37001"	"55-64 years"	"55-64"	"Jul., 2020 "	"2020/07"	19	Not Applicable	Not Applicable
	"Alamance County, NC"	"37001"	"55-64 years"	"55-64"	"Aug., 2020 "	"2020/08"	29	Not Applicable	Not Applicable
	"Alamance County, NC"	"37001"	"55-64 years"	"55-64"	"Sep., 2020 "	"2020/09"	18	Not Applicable	Not Applicable
	"Alamance County, NC"	"37001"	"55-64 years"	"55-64"	"Oct., 2020 "	"2020/10"	19	Not Applicable	Not Applicable
	"Alamance County, NC"	"37001"	"55-64 years"	"55-64"	"Nov., 2020 "	"2020/11"	33	Not Applicable	Not Applicable
	"Alamance County, NC"	"37001"	"55-64 years"	"55-64"	"Dec., 2020 "	"2020/12"	28	Not Applicable	Not Applicable
	"Alamance County, NC"	"37001"	"65-74 years"	"65-74"	"Jan., 2019"	"2019/01"	40	Not Applicable	Not Applicable
	"Alamance County, NC"	"37001"	"65-74 years"	"65-74"	"Feb., 2019"	"2019/02"	36	Not Applicable	Not Applicable
	"Alamance County, NC"	"37001"	"65-74 years"	"65-74"	"Mar., 2019"	"2019/03"	25	Not Applicable	Not Applicable
	"Alamance County, NC"	"37001"	"65-74 years"	"65-74"	"Apr., 2019"	"2019/04"	21	Not Applicable	Not Applicable
