"Notes"	"County"	"County Code"	"Ten-Year Age Groups"	"Ten-Year Age Groups Code"	"Month"	"Month Code"	Deaths	Population	Crude Rate
	"Adams County, OH"	"39001"	"65-74 years"	"65-74"	"Apr., 2015"	"2015/04"	10	Not Applicable	Not Applicable
	"Adams County, OH"	"39001"	"65-74 years"	"65-74"	"Sep., 2015"	"2015/09"	10	Not Applicable	Not Applicable
	"Adams County, OH"	"39001"	"75-84 years"	"75-84"	"Aug., 2013"	"2013/08"	13	Not Applicable	Not Applicable
	"Adams County, OH"	"39001"	"75-84 years"	"75-84"	"Apr., 2015"	"2015/04"	10	Not Applicable	Not Applicable
	"Adams County, OH"	"39001"	"75-84 years"	"75-84"	"Jun., 2015"	"2015/06"	10	Not Applicable	Not Applicable
	"Adams County, OH"	"39001"	"75-84 years"	"75-84"	"Aug., 2015"	"2015/08"	12	Not Applicable	Not Applicable
	"Adams County, OH"	"39001"	"75-84 years"	"75-84"	"Sep., 2015"	"2015/09"	11	Not Applicable	Not Applicable
	"Adams County, OH"	"39001"	"85+ years"	"85+"	"Jan., 2013"	"2013/01"	10	Not Applicable	Not Applicable
	"Adams County, OH"	"39001"	"85+ years"	"85+"	"Mar., 2013"	"2013/03"	13	Not Applicable	Not Applicable
	"Adams County, OH"	"39001"	"85+ years"	"85+"	"May, 2013"	"2013/05"	11	Not Applicable	Not Applicable
	"Adams County, OH"	"39001"	"85+ years"	"85+"	"Jan., 2014"	"2014/01"	10	Not Applicable	Not Applicable
	"Adams County, OH"	"39001"	"85+ years"	"85+"	"Sep., 2014"	"2014/09"	11	Not Applicable	Not Applicable
	"Adams County, OH"	"39001"	"85+ years"	"85+"	"Jan., 2015"	"2015/01"	10	Not Applicable	Not Applicable
	"Allen County, OH"	"39003"	"55-64 years"	"55-64"	"Mar., 2013"	"2013/03"	13	Not Applicable	Not Applicable
	"Allen County, OH"	"39003"	"55-64 years"	"55-64"	"Apr., 2013"	"2013/04"	14	Not Applicable	Not Applicable
	"Allen County, OH"	"39003"	"55-64 years"	"55-64"	"May, 2013"	"2013/05"	19	Not Applicable	Not Applicable
	"Allen County, OH"	"39003"	"55-64 years"	"55-64"	"Jun., 2013"	"2013/06"	11	Not Applicable	Not Applicable
	"Allen County, OH"	"39003"	"55-64 years"	"55-64"	"Jul., 2013"	"2013/07"	10	Not Applicable	Not Applicable
	"Allen County, OH"	"39003"	"55-64 years"	"55-64"	"Oct., 2013"	"2013/10"	11	Not Applicable	Not Applicable
	"Allen County, OH"	"39003"	"55-64 years"	"55-64"	"Dec., 2013"	"2013/12"	15	Not Applicable	Not Applicable
	"Allen County, OH"	"39003"	"55-64 years"	"55-64"	"Jan., 2014"	"2014/01"	16	Not Applicable	Not Applicable
	"Allen County, OH"	"39003"	"55-64 years"	"55-64"	"Feb., 2014"	"2014/02"	10	Not Applicable	Not Applicable
	"Allen County, OH"	"39003"	"55-64 years"	"55-64"	"Mar., 2014"	"2014/03"	12	Not Applicable	Not Applicable
	"Allen County, OH"	"39003"	"55-64 years"	"55-64"	"Jun., 2014"	"2014/06"	12	Not Applicable	Not Applicable
	"Allen County, OH"	"39003"	"55-64 years"	"55-64"	"Jul., 2014"	"2014/07"	14	Not Applicable	Not Applicable
	"Allen County, OH"	"39003"	"55-64 years"	"55-64"	"Aug., 2014"	"2014/08"	12	Not Applicable	Not Applicable
	"Allen County, OH"	"39003"	"55-64 years"	"55-64"	"Nov., 2014"	"2014/11"	10	Not Applicable	Not Applicable
	"Allen County, OH"	"39003"	"55-64 years"	"55-64"	"Dec., 2014"	"2014/12"	21	Not Applicable	Not Applicable
	"Allen County, OH"	"39003"	"55-64 years"	"55-64"	"Jan., 2015"	"2015/01"	12	Not Applicable	Not Applicable
	"Allen County, OH"	"39003"	"55-64 years"	"55-64"	"Feb., 2015"	"2015/02"	11	Not Applicable	Not Applicable
	"Allen County, OH"	"39003"	"55-64 years"	"55-64"	"Apr., 2015"	"2015/04"	10	Not Applicable	Not Applicable
	"Allen County, OH"	"39003"	"55-64 years"	"55-64"	"May, 2015"	"2015/05"	10	Not Applicable	Not Applicable
	"Allen County, OH"	"39003"	"55-64 years"	"55-64"	"Jun., 2015"	"2015/06"	18	Not Applicable	Not Applicable
	"Allen County, OH"	"39003"	"55-64 years"	"55-64"	"Jul., 2015"	"2015/07"	22	Not Applicable	Not Applicable
	"Allen County, OH"	"39003"	"55-64 years"	"55-64"	"Aug., 2015"	"2015/08"	15	Not Applicable	Not Applicable
	"Allen County, OH"	"39003"	"55-64 years"	"55-64"	"Sep., 2015"	"2015/09"	10	Not Applicable	Not Applicable
	"Allen County, OH"	"39003"	"55-64 years"	"55-64"	"Oct., 2015"	"2015/10"	11	Not Applicable	Not Applicable
	"Allen County, OH"	"39003"	"55-64 years"	"55-64"	"Nov., 2015"	"2015/11"	12	Not Applicable	Not Applicable
	"Allen County, OH"	"39003"	"55-64 years"	"55-64"	"Dec., 2015"	"2015/12"	11	Not Applicable	Not Applicable
	"Allen County, OH"	"39003"	"65-74 years"	"65-74"	"Jan., 2013"	"2013/01"	22	Not Applicable	Not Applicable
	"Allen County, OH"	"39003"	"65-74 years"	"65-74"	"Feb., 2013"	"2013/02"	21	Not Applicable	Not Applicable
	"Allen County, OH"	"39003"	"65-74 years"	"65-74"	"Mar., 2013"	"2013/03"	11	Not Applicable	Not Applicable
	"Allen County, OH"	"39003"	"65-74 years"	"65-74"	"Apr., 2013"	"2013/04"	17	Not Applicable	Not Applicable
	"Allen County, OH"	"39003"	"65-74 years"	"65-74"	"May, 2013"	"2013/05"	16	Not Applicable	Not Applicable
	"Allen County, OH"	"39003"	"65-74 years"	"65-74"	"Jun., 2013"	"2013/06"	17	Not Applicable	Not Applicable
	"Allen County, OH"	"39003"	"65-74 years"	"65-74"	"Jul., 2013"	"2013/07"	14	Not Applicable	Not Applicable
	"Allen County, OH"	"39003"	"65-74 years"	"65-74"	"Aug., 2013"	"2013/08"	19	Not Applicable	Not Applicable
	"Allen County, OH"	"39003"	"65-74 years"	"65-74"	"Sep., 2013"	"2013/09"	14	Not Applicable	Not Applicable
	"Allen County, OH"	"39003"	"65-74 years"	"65-74"	"Oct., 2013"	"2013/10"	17	Not Applicable	Not Applicable
	"Allen County, OH"	"39003"	"65-74 years"	"65-74"	"Nov., 2013"	"2013/11"	17	Not Applicable	Not Applicable
	"Allen County, OH"	"39003"	"65-74 years"	"65-74"	"Dec., 2013"	"2013/12"	17	Not Applicable	Not Applicable
	"Allen County, OH"	"39003"	"65-74 years"	"65-74"	"Jan., 2014"	"2014/01"	23	Not Applicable	Not Applicable
	"Allen County, OH"	"39003"	"65-74 years"	"65-74"	"Feb., 2014"	"2014/02"	16	Not Applicable	Not Applicable
	"Allen County, OH"	"39003"	"65-74 years"	"65-74"	"Mar., 2014"	"2014/03"	15	Not Applicable	Not Applicable
	"Allen County, OH"	"39003"	"65-74 years"	"65-74"	"Apr., 2014"	"2014/04"	18	Not Applicable	Not Applicable
	"Allen County, OH"	"39003"	"65-74 years"	"65-74"	"May, 2014"	"2014/05"	18	Not Applicable	Not Applicable
	"Allen County, OH"	"39003"	"65-74 years"	"65-74"	"Jun., 2014"	"2014/06"	15	Not Applicable	Not Applicable
	"Allen County, OH"	"39003"	"65-74 years"	"65-74"	"Jul., 2014"	"2014/07"	19	Not Applicable	Not Applicable
	"Allen County, OH"	"39003"	"65-74 years"	"65-74"	"Aug., 2014"	"2014/08"	19	Not Applicable	Not Applicable
	"Allen County, OH"	"39003"	"65-74 years"	"65-74"	"Sep., 2014"	"2014/09"	20	Not Applicable	Not Applicable
	"Allen County, OH"	"39003"	"65-74 years"	"65-74"	"Oct., 2014"	"2014/10"	32	Not Applicable	Not Applicable
	"Allen County, OH"	"39003"	"65-74 years"	"65-74"	"Nov., 2014"	"2014/11"	16	Not Applicable	Not Applicable
	"Allen County, OH"	"39003"	"65-74 years"	"65-74"	"Dec., 2014"	"2014/12"	11	Not Applicable	Not Applicable
	"Allen County, OH"	"39003"	"65-74 years"	"65-74"	"Jan., 2015"	"2015/01"	22	Not Applicable	Not Applicable
	"Allen County, OH"	"39003"	"65-74 years"	"65-74"	"Feb., 2015"	"2015/02"	15	Not Applicable	Not Applicable
	"Allen County, OH"	"39003"	"65-74 years"	"65-74"	"Mar., 2015"	"2015/03"	24	Not Applicable	Not Applicable
	"Allen County, OH"	"39003"	"65-74 years"	"65-74"	"Apr., 2015"	"2015/04"	15	Not Applicable	Not Applicable
	"Allen County, OH"	"39003"	"65-74 years"	"65-74"	"May, 2015"	"2015/05"	18	Not Applicable	Not Applicable
	"Allen County, OH"	"39003"	"65-74 years"	"65-74"	"Jun., 2015"	"2015/06"	19	Not Applicable	Not Applicable
	"Allen County, OH"	"39003"	"65-74 years"	"65-74"	"Jul., 2015"	"2015/07"	19	Not Applicable	Not Applicable
	"Allen County, OH"	"39003"	"65-74 years"	"65-74"	"Aug., 2015"	"2015/08"	17	Not Applicable	Not Applicable
	"Allen County, OH"	"39003"	"65-74 years"	"65-74"	"Sep., 2015"	"2015/09"	12	Not Applicable	Not Applicable
	"Allen County, OH"	"39003"	"65-74 years"	"65-74"	"Oct., 2015"	"2015/10"	15	Not Applicable	Not Applicable
	"Allen County, OH"	"39003"	"65-74 years"	"65-74"	"Nov., 2015"	"2015/11"	13	Not Applicable	Not Applicable
	"Allen County, OH"	"39003"	"65-74 years"	"65-74"	"Dec., 2015"	"2015/12"	14	Not Applicable	Not Applicable
	"Allen County, OH"	"39003"	"75-84 years"	"75-84"	"Jan., 2013"	"2013/01"	25	Not Applicable	Not Applicable
	"Allen County, OH"	"39003"	"75-84 years"	"75-84"	"Feb., 2013"	"2013/02"	25	Not Applicable	Not Applicable
	"Allen County, OH"	"39003"	"75-84 years"	"75-84"	"Mar., 2013"	"2013/03"	21	Not Applicable	Not Applicable
	"Allen County, OH"	"39003"	"75-84 years"	"75-84"	"Apr., 2013"	"2013/04"	18	Not Applicable	Not Applicable
