"Notes"	"County"	"County Code"	"Ten-Year Age Groups"	"Ten-Year Age Groups Code"	"Month"	"Month Code"	Deaths	Population	Crude Rate
	"Accomack County, VA"	"51001"	"55-64 years"	"55-64"	"Oct., 2017"	"2017/10"	10	Not Applicable	Not Applicable
	"Accomack County, VA"	"51001"	"65-74 years"	"65-74"	"Jan., 2016"	"2016/01"	12	Not Applicable	Not Applicable
	"Accomack County, VA"	"51001"	"65-74 years"	"65-74"	"Jul., 2016"	"2016/07"	10	Not Applicable	Not Applicable
	"Accomack County, VA"	"51001"	"65-74 years"	"65-74"	"Nov., 2016"	"2016/11"	15	Not Applicable	Not Applicable
	"Accomack County, VA"	"51001"	"65-74 years"	"65-74"	"Apr., 2018"	"2018/04"	16	Not Applicable	Not Applicable
	"Accomack County, VA"	"51001"	"65-74 years"	"65-74"	"Jul., 2018"	"2018/07"	10	Not Applicable	Not Applicable
	"Accomack County, VA"	"51001"	"65-74 years"	"65-74"	"Oct., 2018"	"2018/10"	17	Not Applicable	Not Applicable
	"Accomack County, VA"	"51001"	"65-74 years"	"65-74"	"Dec., 2018"	"2018/12"	10	Not Applicable	Not Applicable
	"Accomack County, VA"	"51001"	"75-84 years"	"75-84"	"Feb., 2016"	"2016/02"	10	Not Applicable	Not Applicable
	"Accomack County, VA"	"51001"	"75-84 years"	"75-84"	"May, 2016"	"2016/05"	10	Not Applicable	Not Applicable
	"Accomack County, VA"	"51001"	"75-84 years"	"75-84"	"Nov., 2016"	"2016/11"	12	Not Applicable	Not Applicable
	"Accomack County, VA"	"51001"	"75-84 years"	"75-84"	"Dec., 2016"	"2016/12"	12	Not Applicable	Not Applicable
	"Accomack County, VA"	"51001"	"75-84 years"	"75-84"	"May, 2017"	"2017/05"	12	Not Applicable	Not Applicable
	"Accomack County, VA"	"51001"	"75-84 years"	"75-84"	"Jul., 2017"	"2017/07"	12	Not Applicable	Not Applicable
	"Accomack County, VA"	"51001"	"75-84 years"	"75-84"	"Aug., 2017"	"2017/08"	10	Not Applicable	Not Applicable
	"Accomack County, VA"	"51001"	"75-84 years"	"75-84"	"Nov., 2017"	"2017/11"	11	Not Applicable	Not Applicable
	"Accomack County, VA"	"51001"	"75-84 years"	"75-84"	"Dec., 2017"	"2017/12"	10	Not Applicable	Not Applicable
	"Accomack County, VA"	"51001"	"75-84 years"	"75-84"	"Jan., 2018"	"2018/01"	11	Not Applicable	Not Applicable
