"Notes"	"County"	"County Code"	"Ten-Year Age Groups"	"Ten-Year Age Groups Code"	"Month"	"Month Code"	Deaths	Population	Crude Rate
	"Adams County, WI"	"55001"	"75-84 years"	"75-84"	"Mar., 2010"	"2010/03"	10	Not Applicable	Not Applicable
	"Adams County, WI"	"55001"	"75-84 years"	"75-84"	"Dec., 2010"	"2010/12"	12	Not Applicable	Not Applicable
	"Adams County, WI"	"55001"	"75-84 years"	"75-84"	"May, 2011"	"2011/05"	13	Not Applicable	Not Applicable
	"Adams County, WI"	"55001"	"85+ years"	"85+"	"Jul., 2010"	"2010/07"	10	Not Applicable	Not Applicable
	"Adams County, WI"	"55001"	"85+ years"	"85+"	"Mar., 2011"	"2011/03"	10	Not Applicable	Not Applicable
	"Adams County, WI"	"55001"	"85+ years"	"85+"	"May, 2011"	"2011/05"	10	Not Applicable	Not Applicable
	"Adams County, WI"	"55001"	"85+ years"	"85+"	"Jan., 2012"	"2012/01"	10	Not Applicable	Not Applicable
	"Ashland County, WI"	"55003"	"75-84 years"	"75-84"	"Apr., 2010"	"2010/04"	11	Not Applicable	Not Applicable
	"Barron County, WI"	"55005"	"65-74 years"	"65-74"	"Dec., 2010"	"2010/12"	10	Not Applicable	Not Applicable
	"Barron County, WI"	"55005"	"65-74 years"	"65-74"	"Jan., 2011"	"2011/01"	12	Not Applicable	Not Applicable
	"Barron County, WI"	"55005"	"65-74 years"	"65-74"	"May, 2011"	"2011/05"	12	Not Applicable	Not Applicable
	"Barron County, WI"	"55005"	"65-74 years"	"65-74"	"Sep., 2011"	"2011/09"	10	Not Applicable	Not Applicable
	"Barron County, WI"	"55005"	"65-74 years"	"65-74"	"Jun., 2012"	"2012/06"	10	Not Applicable	Not Applicable
	"Barron County, WI"	"55005"	"65-74 years"	"65-74"	"Jul., 2012"	"2012/07"	11	Not Applicable	Not Applicable
	"Barron County, WI"	"55005"	"75-84 years"	"75-84"	"Feb., 2010"	"2010/02"	12	Not Applicable	Not Applicable
	"Barron County, WI"	"55005"	"75-84 years"	"75-84"	"Mar., 2010"	"2010/03"	10	Not Applicable	Not Applicable
	"Barron County, WI"	"55005"	"75-84 years"	"75-84"	"Apr., 2010"	"2010/04"	15	Not Applicable	Not Applicable
	"Barron County, WI"	"55005"	"75-84 years"	"75-84"	"May, 2010"	"2010/05"	11	Not Applicable	Not Applicable
	"Barron County, WI"	"55005"	"75-84 years"	"75-84"	"Jun., 2010"	"2010/06"	17	Not Applicable	Not Applicable
	"Barron County, WI"	"55005"	"75-84 years"	"75-84"	"Jul., 2010"	"2010/07"	12	Not Applicable	Not Applicable
	"Barron County, WI"	"55005"	"75-84 years"	"75-84"	"Sep., 2010"	"2010/09"	13	Not Applicable	Not Applicable
	"Barron County, WI"	"55005"	"75-84 years"	"75-84"	"Oct., 2010"	"2010/10"	10	Not Applicable	Not Applicable
	"Barron County, WI"	"55005"	"75-84 years"	"75-84"	"Jan., 2011"	"2011/01"	19	Not Applicable	Not Applicable
	"Barron County, WI"	"55005"	"75-84 years"	"75-84"	"Feb., 2011"	"2011/02"	12	Not Applicable	Not Applicable
	"Barron County, WI"	"55005"	"75-84 years"	"75-84"	"Mar., 2011"	"2011/03"	14	Not Applicable	Not Applicable
	"Barron County, WI"	"55005"	"75-84 years"	"75-84"	"Apr., 2011"	"2011/04"	13	Not Applicable	Not Applicable
	"Barron County, WI"	"55005"	"75-84 years"	"75-84"	"Jun., 2011"	"2011/06"	14	Not Applicable	Not Applicable
	"Barron County, WI"	"55005"	"75-84 years"	"75-84"	"Jul., 2011"	"2011/07"	14	Not Applicable	Not Applicable
	"Barron County, WI"	"55005"	"75-84 years"	"75-84"	"Aug., 2011"	"2011/08"	12	Not Applicable	Not Applicable
	"Barron County, WI"	"55005"	"75-84 years"	"75-84"	"Nov., 2011"	"2011/11"	11	Not Applicable	Not Applicable
	"Barron County, WI"	"55005"	"75-84 years"	"75-84"	"Feb., 2012"	"2012/02"	15	Not Applicable	Not Applicable
	"Barron County, WI"	"55005"	"75-84 years"	"75-84"	"Mar., 2012"	"2012/03"	16	Not Applicable	Not Applicable
	"Barron County, WI"	"55005"	"75-84 years"	"75-84"	"Apr., 2012"	"2012/04"	13	Not Applicable	Not Applicable
	"Barron County, WI"	"55005"	"75-84 years"	"75-84"	"May, 2012"	"2012/05"	12	Not Applicable	Not Applicable
	"Barron County, WI"	"55005"	"75-84 years"	"75-84"	"Jun., 2012"	"2012/06"	11	Not Applicable	Not Applicable
	"Barron County, WI"	"55005"	"75-84 years"	"75-84"	"Jul., 2012"	"2012/07"	12	Not Applicable	Not Applicable
	"Barron County, WI"	"55005"	"75-84 years"	"75-84"	"Aug., 2012"	"2012/08"	17	Not Applicable	Not Applicable
	"Barron County, WI"	"55005"	"75-84 years"	"75-84"	"Dec., 2012"	"2012/12"	10	Not Applicable	Not Applicable
	"Barron County, WI"	"55005"	"85+ years"	"85+"	"Jan., 2010"	"2010/01"	15	Not Applicable	Not Applicable
	"Barron County, WI"	"55005"	"85+ years"	"85+"	"Feb., 2010"	"2010/02"	19	Not Applicable	Not Applicable
	"Barron County, WI"	"55005"	"85+ years"	"85+"	"Mar., 2010"	"2010/03"	21	Not Applicable	Not Applicable
	"Barron County, WI"	"55005"	"85+ years"	"85+"	"Apr., 2010"	"2010/04"	17	Not Applicable	Not Applicable
	"Barron County, WI"	"55005"	"85+ years"	"85+"	"May, 2010"	"2010/05"	14	Not Applicable	Not Applicable
	"Barron County, WI"	"55005"	"85+ years"	"85+"	"Jun., 2010"	"2010/06"	16	Not Applicable	Not Applicable
	"Barron County, WI"	"55005"	"85+ years"	"85+"	"Aug., 2010"	"2010/08"	20	Not Applicable	Not Applicable
	"Barron County, WI"	"55005"	"85+ years"	"85+"	"Sep., 2010"	"2010/09"	10	Not Applicable	Not Applicable
	"Barron County, WI"	"55005"	"85+ years"	"85+"	"Oct., 2010"	"2010/10"	16	Not Applicable	Not Applicable
	"Barron County, WI"	"55005"	"85+ years"	"85+"	"Nov., 2010"	"2010/11"	21	Not Applicable	Not Applicable
	"Barron County, WI"	"55005"	"85+ years"	"85+"	"Dec., 2010"	"2010/12"	16	Not Applicable	Not Applicable
	"Barron County, WI"	"55005"	"85+ years"	"85+"	"Jan., 2011"	"2011/01"	15	Not Applicable	Not Applicable
	"Barron County, WI"	"55005"	"85+ years"	"85+"	"Feb., 2011"	"2011/02"	14	Not Applicable	Not Applicable
	"Barron County, WI"	"55005"	"85+ years"	"85+"	"Mar., 2011"	"2011/03"	32	Not Applicable	Not Applicable
	"Barron County, WI"	"55005"	"85+ years"	"85+"	"Apr., 2011"	"2011/04"	21	Not Applicable	Not Applicable
	"Barron County, WI"	"55005"	"85+ years"	"85+"	"May, 2011"	"2011/05"	16	Not Applicable	Not Applicable
	"Barron County, WI"	"55005"	"85+ years"	"85+"	"Jun., 2011"	"2011/06"	15	Not Applicable	Not Applicable
	"Barron County, WI"	"55005"	"85+ years"	"85+"	"Jul., 2011"	"2011/07"	11	Not Applicable	Not Applicable
	"Barron County, WI"	"55005"	"85+ years"	"85+"	"Aug., 2011"	"2011/08"	16	Not Applicable	Not Applicable
	"Barron County, WI"	"55005"	"85+ years"	"85+"	"Sep., 2011"	"2011/09"	20	Not Applicable	Not Applicable
	"Barron County, WI"	"55005"	"85+ years"	"85+"	"Oct., 2011"	"2011/10"	18	Not Applicable	Not Applicable
	"Barron County, WI"	"55005"	"85+ years"	"85+"	"Nov., 2011"	"2011/11"	17	Not Applicable	Not Applicable
	"Barron County, WI"	"55005"	"85+ years"	"85+"	"Dec., 2011"	"2011/12"	17	Not Applicable	Not Applicable
	"Barron County, WI"	"55005"	"85+ years"	"85+"	"Jan., 2012"	"2012/01"	25	Not Applicable	Not Applicable
	"Barron County, WI"	"55005"	"85+ years"	"85+"	"Feb., 2012"	"2012/02"	14	Not Applicable	Not Applicable
	"Barron County, WI"	"55005"	"85+ years"	"85+"	"Mar., 2012"	"2012/03"	17	Not Applicable	Not Applicable
	"Barron County, WI"	"55005"	"85+ years"	"85+"	"Apr., 2012"	"2012/04"	16	Not Applicable	Not Applicable
	"Barron County, WI"	"55005"	"85+ years"	"85+"	"May, 2012"	"2012/05"	17	Not Applicable	Not Applicable
	"Barron County, WI"	"55005"	"85+ years"	"85+"	"Jun., 2012"	"2012/06"	15	Not Applicable	Not Applicable
	"Barron County, WI"	"55005"	"85+ years"	"85+"	"Jul., 2012"	"2012/07"	13	Not Applicable	Not Applicable
	"Barron County, WI"	"55005"	"85+ years"	"85+"	"Aug., 2012"	"2012/08"	17	Not Applicable	Not Applicable
	"Barron County, WI"	"55005"	"85+ years"	"85+"	"Sep., 2012"	"2012/09"	17	Not Applicable	Not Applicable
	"Barron County, WI"	"55005"	"85+ years"	"85+"	"Oct., 2012"	"2012/10"	22	Not Applicable	Not Applicable
	"Barron County, WI"	"55005"	"85+ years"	"85+"	"Nov., 2012"	"2012/11"	16	Not Applicable	Not Applicable
	"Barron County, WI"	"55005"	"85+ years"	"85+"	"Dec., 2012"	"2012/12"	21	Not Applicable	Not Applicable
	"Bayfield County, WI"	"55007"	"85+ years"	"85+"	"Oct., 2012"	"2012/10"	10	Not Applicable	Not Applicable
	"Brown County, WI"	"55009"	"55-64 years"	"55-64"	"Jan., 2010"	"2010/01"	23	Not Applicable	Not Applicable
	"Brown County, WI"	"55009"	"55-64 years"	"55-64"	"Mar., 2010"	"2010/03"	15	Not Applicable	Not Applicable
	"Brown County, WI"	"55009"	"55-64 years"	"55-64"	"Apr., 2010"	"2010/04"	17	Not Applicable	Not Applicable
	"Brown County, WI"	"55009"	"55-64 years"	"55-64"	"May, 2010"	"2010/05"	10	Not Applicable	Not Applicable
	"Brown County, WI"	"55009"	"55-64 years"	"55-64"	"Jun., 2010"	"2010/06"	17	Not Applicable	Not Applicable
	"Brown County, WI"	"55009"	"55-64 years"	"55-64"	"Jul., 2010"	"2010/07"	23	Not Applicable	Not Applicable
	"Brown County, WI"	"55009"	"55-64 years"	"55-64"	"Aug., 2010"	"2010/08"	17	Not Applicable	Not Applicable
	"Brown County, WI"	"55009"	"55-64 years"	"55-64"	"Sep., 2010"	"2010/09"	18	Not Applicable	Not Applicable
	"Brown County, WI"	"55009"	"55-64 years"	"55-64"	"Oct., 2010"	"2010/10"	27	Not Applicable	Not Applicable
	"Brown County, WI"	"55009"	"55-64 years"	"55-64"	"Nov., 2010"	"2010/11"	12	Not Applicable	Not Applicable
