"Notes"	"County"	"County Code"	"Ten-Year Age Groups"	"Ten-Year Age Groups Code"	"Month"	"Month Code"	Deaths	Population	Crude Rate
	"Adams County, WI"	"55001"	"65-74 years"	"65-74"	"Jun., 2020 "	"2020/06"	11	Not Applicable	Not Applicable
	"Adams County, WI"	"55001"	"75-84 years"	"75-84"	"Mar., 2019"	"2019/03"	10	Not Applicable	Not Applicable
	"Adams County, WI"	"55001"	"75-84 years"	"75-84"	"Nov., 2019"	"2019/11"	12	Not Applicable	Not Applicable
	"Adams County, WI"	"55001"	"75-84 years"	"75-84"	"Jan., 2020 "	"2020/01"	14	Not Applicable	Not Applicable
	"Adams County, WI"	"55001"	"75-84 years"	"75-84"	"Apr., 2020 "	"2020/04"	11	Not Applicable	Not Applicable
	"Adams County, WI"	"55001"	"85+ years"	"85+"	"Sep., 2019"	"2019/09"	10	Not Applicable	Not Applicable
	"Ashland County, WI"	"55003"	"75-84 years"	"75-84"	"May, 2019"	"2019/05"	12	Not Applicable	Not Applicable
	"Ashland County, WI"	"55003"	"75-84 years"	"75-84"	"Dec., 2020 "	"2020/12"	11	Not Applicable	Not Applicable
	"Ashland County, WI"	"55003"	"85+ years"	"85+"	"Dec., 2019"	"2019/12"	10	Not Applicable	Not Applicable
	"Barron County, WI"	"55005"	"55-64 years"	"55-64"	"May, 2020 "	"2020/05"	12	Not Applicable	Not Applicable
	"Barron County, WI"	"55005"	"65-74 years"	"65-74"	"Mar., 2019"	"2019/03"	10	Not Applicable	Not Applicable
	"Barron County, WI"	"55005"	"65-74 years"	"65-74"	"Apr., 2019"	"2019/04"	10	Not Applicable	Not Applicable
	"Barron County, WI"	"55005"	"65-74 years"	"65-74"	"Aug., 2019"	"2019/08"	11	Not Applicable	Not Applicable
	"Barron County, WI"	"55005"	"65-74 years"	"65-74"	"Oct., 2019"	"2019/10"	11	Not Applicable	Not Applicable
	"Barron County, WI"	"55005"	"65-74 years"	"65-74"	"Jun., 2020 "	"2020/06"	10	Not Applicable	Not Applicable
	"Barron County, WI"	"55005"	"65-74 years"	"65-74"	"Nov., 2020 "	"2020/11"	16	Not Applicable	Not Applicable
	"Barron County, WI"	"55005"	"75-84 years"	"75-84"	"Jan., 2019"	"2019/01"	15	Not Applicable	Not Applicable
	"Barron County, WI"	"55005"	"75-84 years"	"75-84"	"Feb., 2019"	"2019/02"	11	Not Applicable	Not Applicable
	"Barron County, WI"	"55005"	"75-84 years"	"75-84"	"Mar., 2019"	"2019/03"	11	Not Applicable	Not Applicable
	"Barron County, WI"	"55005"	"75-84 years"	"75-84"	"Apr., 2019"	"2019/04"	13	Not Applicable	Not Applicable
	"Barron County, WI"	"55005"	"75-84 years"	"75-84"	"May, 2019"	"2019/05"	11	Not Applicable	Not Applicable
	"Barron County, WI"	"55005"	"75-84 years"	"75-84"	"Jun., 2019"	"2019/06"	13	Not Applicable	Not Applicable
	"Barron County, WI"	"55005"	"75-84 years"	"75-84"	"Jul., 2019"	"2019/07"	14	Not Applicable	Not Applicable
	"Barron County, WI"	"55005"	"75-84 years"	"75-84"	"Aug., 2019"	"2019/08"	10	Not Applicable	Not Applicable
	"Barron County, WI"	"55005"	"75-84 years"	"75-84"	"Sep., 2019"	"2019/09"	15	Not Applicable	Not Applicable
	"Barron County, WI"	"55005"	"75-84 years"	"75-84"	"Oct., 2019"	"2019/10"	16	Not Applicable	Not Applicable
	"Barron County, WI"	"55005"	"75-84 years"	"75-84"	"Nov., 2019"	"2019/11"	12	Not Applicable	Not Applicable
	"Barron County, WI"	"55005"	"75-84 years"	"75-84"	"Jan., 2020 "	"2020/01"	13	Not Applicable	Not Applicable
	"Barron County, WI"	"55005"	"75-84 years"	"75-84"	"Mar., 2020 "	"2020/03"	10	Not Applicable	Not Applicable
	"Barron County, WI"	"55005"	"75-84 years"	"75-84"	"Apr., 2020 "	"2020/04"	16	Not Applicable	Not Applicable
	"Barron County, WI"	"55005"	"75-84 years"	"75-84"	"May, 2020 "	"2020/05"	11	Not Applicable	Not Applicable
	"Barron County, WI"	"55005"	"75-84 years"	"75-84"	"Jul., 2020 "	"2020/07"	11	Not Applicable	Not Applicable
	"Barron County, WI"	"55005"	"75-84 years"	"75-84"	"Aug., 2020 "	"2020/08"	15	Not Applicable	Not Applicable
	"Barron County, WI"	"55005"	"75-84 years"	"75-84"	"Sep., 2020 "	"2020/09"	17	Not Applicable	Not Applicable
	"Barron County, WI"	"55005"	"75-84 years"	"75-84"	"Nov., 2020 "	"2020/11"	22	Not Applicable	Not Applicable
	"Barron County, WI"	"55005"	"75-84 years"	"75-84"	"Dec., 2020 "	"2020/12"	19	Not Applicable	Not Applicable
	"Barron County, WI"	"55005"	"85+ years"	"85+"	"Jan., 2019"	"2019/01"	15	Not Applicable	Not Applicable
	"Barron County, WI"	"55005"	"85+ years"	"85+"	"Feb., 2019"	"2019/02"	16	Not Applicable	Not Applicable
	"Barron County, WI"	"55005"	"85+ years"	"85+"	"Mar., 2019"	"2019/03"	19	Not Applicable	Not Applicable
	"Barron County, WI"	"55005"	"85+ years"	"85+"	"Apr., 2019"	"2019/04"	23	Not Applicable	Not Applicable
	"Barron County, WI"	"55005"	"85+ years"	"85+"	"May, 2019"	"2019/05"	18	Not Applicable	Not Applicable
	"Barron County, WI"	"55005"	"85+ years"	"85+"	"Jun., 2019"	"2019/06"	17	Not Applicable	Not Applicable
	"Barron County, WI"	"55005"	"85+ years"	"85+"	"Jul., 2019"	"2019/07"	18	Not Applicable	Not Applicable
	"Barron County, WI"	"55005"	"85+ years"	"85+"	"Aug., 2019"	"2019/08"	14	Not Applicable	Not Applicable
	"Barron County, WI"	"55005"	"85+ years"	"85+"	"Sep., 2019"	"2019/09"	15	Not Applicable	Not Applicable
	"Barron County, WI"	"55005"	"85+ years"	"85+"	"Oct., 2019"	"2019/10"	22	Not Applicable	Not Applicable
	"Barron County, WI"	"55005"	"85+ years"	"85+"	"Nov., 2019"	"2019/11"	17	Not Applicable	Not Applicable
	"Barron County, WI"	"55005"	"85+ years"	"85+"	"Dec., 2019"	"2019/12"	19	Not Applicable	Not Applicable
	"Barron County, WI"	"55005"	"85+ years"	"85+"	"Jan., 2020 "	"2020/01"	23	Not Applicable	Not Applicable
	"Barron County, WI"	"55005"	"85+ years"	"85+"	"Feb., 2020 "	"2020/02"	16	Not Applicable	Not Applicable
	"Barron County, WI"	"55005"	"85+ years"	"85+"	"Mar., 2020 "	"2020/03"	20	Not Applicable	Not Applicable
	"Barron County, WI"	"55005"	"85+ years"	"85+"	"Apr., 2020 "	"2020/04"	14	Not Applicable	Not Applicable
	"Barron County, WI"	"55005"	"85+ years"	"85+"	"May, 2020 "	"2020/05"	14	Not Applicable	Not Applicable
	"Barron County, WI"	"55005"	"85+ years"	"85+"	"Jun., 2020 "	"2020/06"	12	Not Applicable	Not Applicable
	"Barron County, WI"	"55005"	"85+ years"	"85+"	"Jul., 2020 "	"2020/07"	17	Not Applicable	Not Applicable
	"Barron County, WI"	"55005"	"85+ years"	"85+"	"Aug., 2020 "	"2020/08"	13	Not Applicable	Not Applicable
	"Barron County, WI"	"55005"	"85+ years"	"85+"	"Sep., 2020 "	"2020/09"	15	Not Applicable	Not Applicable
	"Barron County, WI"	"55005"	"85+ years"	"85+"	"Oct., 2020 "	"2020/10"	26	Not Applicable	Not Applicable
	"Barron County, WI"	"55005"	"85+ years"	"85+"	"Nov., 2020 "	"2020/11"	41	Not Applicable	Not Applicable
	"Barron County, WI"	"55005"	"85+ years"	"85+"	"Dec., 2020 "	"2020/12"	25	Not Applicable	Not Applicable
	"Bayfield County, WI"	"55007"	"75-84 years"	"75-84"	"Nov., 2020 "	"2020/11"	10	Not Applicable	Not Applicable
	"Bayfield County, WI"	"55007"	"85+ years"	"85+"	"Nov., 2020 "	"2020/11"	11	Not Applicable	Not Applicable
	"Brown County, WI"	"55009"	"55-64 years"	"55-64"	"Jan., 2019"	"2019/01"	26	Not Applicable	Not Applicable
	"Brown County, WI"	"55009"	"55-64 years"	"55-64"	"Feb., 2019"	"2019/02"	16	Not Applicable	Not Applicable
	"Brown County, WI"	"55009"	"55-64 years"	"55-64"	"Mar., 2019"	"2019/03"	25	Not Applicable	Not Applicable
	"Brown County, WI"	"55009"	"55-64 years"	"55-64"	"Apr., 2019"	"2019/04"	17	Not Applicable	Not Applicable
	"Brown County, WI"	"55009"	"55-64 years"	"55-64"	"May, 2019"	"2019/05"	16	Not Applicable	Not Applicable
	"Brown County, WI"	"55009"	"55-64 years"	"55-64"	"Jun., 2019"	"2019/06"	22	Not Applicable	Not Applicable
	"Brown County, WI"	"55009"	"55-64 years"	"55-64"	"Jul., 2019"	"2019/07"	13	Not Applicable	Not Applicable
	"Brown County, WI"	"55009"	"55-64 years"	"55-64"	"Aug., 2019"	"2019/08"	15	Not Applicable	Not Applicable
	"Brown County, WI"	"55009"	"55-64 years"	"55-64"	"Sep., 2019"	"2019/09"	19	Not Applicable	Not Applicable
	"Brown County, WI"	"55009"	"55-64 years"	"55-64"	"Oct., 2019"	"2019/10"	28	Not Applicable	Not Applicable
	"Brown County, WI"	"55009"	"55-64 years"	"55-64"	"Nov., 2019"	"2019/11"	18	Not Applicable	Not Applicable
	"Brown County, WI"	"55009"	"55-64 years"	"55-64"	"Dec., 2019"	"2019/12"	28	Not Applicable	Not Applicable
	"Brown County, WI"	"55009"	"55-64 years"	"55-64"	"Jan., 2020 "	"2020/01"	33	Not Applicable	Not Applicable
	"Brown County, WI"	"55009"	"55-64 years"	"55-64"	"Feb., 2020 "	"2020/02"	23	Not Applicable	Not Applicable
	"Brown County, WI"	"55009"	"55-64 years"	"55-64"	"Mar., 2020 "	"2020/03"	18	Not Applicable	Not Applicable
	"Brown County, WI"	"55009"	"55-64 years"	"55-64"	"Apr., 2020 "	"2020/04"	27	Not Applicable	Not Applicable
	"Brown County, WI"	"55009"	"55-64 years"	"55-64"	"May, 2020 "	"2020/05"	29	Not Applicable	Not Applicable
	"Brown County, WI"	"55009"	"55-64 years"	"55-64"	"Jun., 2020 "	"2020/06"	25	Not Applicable	Not Applicable
	"Brown County, WI"	"55009"	"55-64 years"	"55-64"	"Jul., 2020 "	"2020/07"	16	Not Applicable	Not Applicable
	"Brown County, WI"	"55009"	"55-64 years"	"55-64"	"Aug., 2020 "	"2020/08"	22	Not Applicable	Not Applicable
	"Brown County, WI"	"55009"	"55-64 years"	"55-64"	"Sep., 2020 "	"2020/09"	21	Not Applicable	Not Applicable
	"Brown County, WI"	"55009"	"55-64 years"	"55-64"	"Oct., 2020 "	"2020/10"	29	Not Applicable	Not Applicable
	"Brown County, WI"	"55009"	"55-64 years"	"55-64"	"Nov., 2020 "	"2020/11"	29	Not Applicable	Not Applicable
	"Brown County, WI"	"55009"	"55-64 years"	"55-64"	"Dec., 2020 "	"2020/12"	22	Not Applicable	Not Applicable
	"Brown County, WI"	"55009"	"65-74 years"	"65-74"	"Jan., 2019"	"2019/01"	27	Not Applicable	Not Applicable
	"Brown County, WI"	"55009"	"65-74 years"	"65-74"	"Feb., 2019"	"2019/02"	33	Not Applicable	Not Applicable
	"Brown County, WI"	"55009"	"65-74 years"	"65-74"	"Mar., 2019"	"2019/03"	37	Not Applicable	Not Applicable
	"Brown County, WI"	"55009"	"65-74 years"	"65-74"	"Apr., 2019"	"2019/04"	33	Not Applicable	Not Applicable
	"Brown County, WI"	"55009"	"65-74 years"	"65-74"	"May, 2019"	"2019/05"	38	Not Applicable	Not Applicable
	"Brown County, WI"	"55009"	"65-74 years"	"65-74"	"Jun., 2019"	"2019/06"	32	Not Applicable	Not Applicable
	"Brown County, WI"	"55009"	"65-74 years"	"65-74"	"Jul., 2019"	"2019/07"	31	Not Applicable	Not Applicable
	"Brown County, WI"	"55009"	"65-74 years"	"65-74"	"Aug., 2019"	"2019/08"	28	Not Applicable	Not Applicable
	"Brown County, WI"	"55009"	"65-74 years"	"65-74"	"Sep., 2019"	"2019/09"	27	Not Applicable	Not Applicable
	"Brown County, WI"	"55009"	"65-74 years"	"65-74"	"Oct., 2019"	"2019/10"	26	Not Applicable	Not Applicable
	"Brown County, WI"	"55009"	"65-74 years"	"65-74"	"Nov., 2019"	"2019/11"	28	Not Applicable	Not Applicable
