"county_fips","county","state","year","name","population","unisured population","uninsured rate"
1003,"Baldwin","AL",2008,"Baldwin County, AL","143,932","23,631","16.4"
1003,"Baldwin","AL",2006,"Baldwin County, AL","143,017","28,811","20.1"
1003,"Baldwin","AL",2016,"Baldwin County, AL","165,740","17,733","10.7"
1003,"Baldwin","AL",2014,"Baldwin County, AL","160,491","25,892","16.1"
1003,"Baldwin","AL",2009,"Baldwin County, AL","147,060","24,365","16.6"
1003,"Baldwin","AL",2013,"Baldwin County, AL","157,864","27,521","17.4"
1003,"Baldwin","AL",2019,"Baldwin County, AL","174,983","19,085","10.9"
1003,"Baldwin","AL",2018,"Baldwin County, AL","172,071","22,660","13.2"
1003,"Baldwin","AL",2012,"Baldwin County, AL","154,386","24,378","15.8"
1003,"Baldwin","AL",2017,"Baldwin County, AL","168,696","19,119","11.3"
1003,"Baldwin","AL",2010,"Baldwin County, AL","149,780","28,586","19.1"
1003,"Baldwin","AL",2020,"Baldwin County, AL","178,310","19,391","10.9"
1003,"Baldwin","AL",2007,"Baldwin County, AL","145,484","26,576","18.3"
1003,"Baldwin","AL",2015,"Baldwin County, AL","162,707","18,751","11.5"
1003,"Baldwin","AL",2011,"Baldwin County, AL","152,073","25,214","16.6"
1015,"Calhoun","AL",2008,"Calhoun County, AL","93,830","14,469","15.4"
1015,"Calhoun","AL",2013,"Calhoun County, AL","96,405","15,385","16.0"
1015,"Calhoun","AL",2012,"Calhoun County, AL","97,209","14,866","15.3"
1015,"Calhoun","AL",2011,"Calhoun County, AL","98,317","16,663","16.9"
1015,"Calhoun","AL",2020,"Calhoun County, AL","88,441","11,431","12.9"
1015,"Calhoun","AL",2006,"Calhoun County, AL","95,790","13,036","13.6"
1015,"Calhoun","AL",2019,"Calhoun County, AL","90,450","10,767","11.9"
1015,"Calhoun","AL",2017,"Calhoun County, AL","92,387","11,021","11.9"
1015,"Calhoun","AL",2018,"Calhoun County, AL","91,554","10,166","11.1"
1015,"Calhoun","AL",2010,"Calhoun County, AL","99,038","15,920","16.1"
1015,"Calhoun","AL",2014,"Calhoun County, AL","95,267","13,543","14.2"
