"county","yyyymm","su_daytime","su_nighttime","win_daytime","win_nighttime"
"21093","2003","1.1965928","0.1929673","0.2432011","0.0344972"
"21093","2004","1.2178339","0.2753804","0.3414577","0.0502315"
"21093","2005","1.1095811","0.227918","0.1487775","-0.093646"
"21093","2006","1.1478326","0.2252174","0.4217134","0.0861971"
"21093","2007","1.0719315","0.2918584","0.3740733","-0.1009993"
"21093","2008","1.0840034","0.3050473","0.4523948","-0.141917"
"21093","2009","1.1857994","0.1988599","0.2647791","-0.1965199"
"21093","2010","1.231228","0.284562","0.3896231","0.048603"
"21093","2011","1.279071","0.2678105","0.5239239","-0.135493"
"21093","2012","1.349304","0.3503325","0.3079232","-0.046378"
"21093","2013","1.4842705","0.2208975","0.3557164","-0.1681851"
"21093","2014","1.2971379","0.2842431","0.5744584","-0.0545109"
"21093","2015","1.3667515","0.222748","0.5361648","-0.1737294"
"21093","2016","1.3882213","0.1753796","0.3112964","-0.2303646"
"21093","2017","1.2461356","0.1881419","0.4691164","0.0864722"
"21093","2018","1.326546","0.2730153","0.267571","0.0444246"
"17091","2003","1.2807165","0.6494072","0.4057933","0.123134"
"17091","2004","1.6844632","0.6411358","0.6198476","0.3162019"
"17091","2005","1.4730112","0.7474719","0.526699","0.0213885"
"17091","2006","1.5412535","0.8633326","0.4590575","0.3820983"
"17091","2007","1.5256496","0.7666252","0.9252659","0.2223401"
"17091","2008","1.6357231","0.8611225","0.3363827","0.0889182"
"17091","2009","1.748651","0.8434103","0.5239924","0.1633839"
"17091","2010","1.8505802","1.154791","0.6636659","0.2644724"
"17091","2011","1.606752","0.9122512","0.988493","0.5430178"
"17091","2012","1.6048832","1.0516209","0.5194171","-0.1192506"
"17091","2013","1.7253083","0.8069288","0.270097","0.2552145"
"17091","2014","1.7151007","0.741609","0.7338795","0.3318179"
"17091","2015","1.755589","0.6364978","0.7116643","0.3850047"
"17091","2016","1.8027238","0.8414768","0.4212","-0.0315148"
"17091","2017","1.8454341","0.6530739","0.359436","0.1680516"
"17091","2018","1.7557998","0.9407178","0.6342122","0.2936547"
"01055","2003","2.6326258","0.462811","1.0791679","-0.0062575"
"01055","2004","2.387464","0.6414092","1.2114869","0.1170205"
"01055","2005","2.5698861","0.4778035","1.0464417","0.0504095"
"01055","2006","2.2796885","0.5198135","1.1744469","0.0178868"
"01055","2007","2.3638437","0.5681256","1.0082401","0.0626807"
"01055","2008","2.440233","0.5989108","1.0430034","0.0572793"
"01055","2009","2.6184427","0.5218698","1.0715639","0.0281666"
"01055","2010","2.4531579","0.500696","1.0906508","-0.1204513"
"01055","2011","2.5235606","0.598816","0.9722852","-0.0835422"
"01055","2012","2.543152","0.4749395","0.934146","0.0297855"
"01055","2013","2.6290889","0.4440941","1.2270995","-0.0078168"
"01055","2014","2.5672278","0.647841","1.2795825","0.058509"
"01055","2015","2.5146999","0.4960524","1.1128672","0.0188724"
"01055","2016","2.4636063","0.5592373","1.0750135","0.0676956"
"01055","2017","2.3724577","0.4952668","1.041414","0.0381049"
"01055","2018","2.5050885","0.5737233","1.0911281","0.0510089"
"01089","2003","1.8812267","0.5788581","0.8197159","-0.0434633"
"01089","2004","1.944506","0.6258204","0.8674555","-0.0037605"
"01089","2005","1.8519193","0.5984481","0.7979855","0.0688506"
"01089","2006","1.4358209","0.6210669","0.8087406","0.1172972"
"01089","2007","1.3998174","0.5861833","0.7380284","0.0752516"
"01089","2008","1.4904802","0.6965245","0.7118745","0.0712619"
"01089","2009","1.6951126","0.5873972","0.7202218","0.020175"
"01089","2010","1.6284604","0.5729935","0.7113549","0.1095867"
"01089","2011","1.5980454","0.5530762","0.8210109","0.0533703"
"01089","2012","1.6102843","0.6257779","0.659168","0.1959614"
"01089","2013","1.5809645","0.6345675","0.7968536","0.1465937"
"01089","2014","1.6905604","0.6337166","0.7256226","-0.0614073"
"01089","2015","1.671585","0.6046162","0.6834615","0.1257495"
"01089","2016","1.7019571","0.5246794","0.6516314","0.138753"
"01089","2017","1.6986284","0.6148885","0.7571641","0.1195029"
"01089","2018","1.7943931","0.5180225","0.7217366","0.0780499"
"06001","2003","3.0402819","0.2492963","1.6758134","-0.1921161"
"06001","2004","2.7384877","0.271631","1.6041899","-0.2069442"
"06001","2005","2.9960257","0.1258419","1.6805205","-0.4699342"
"06001","2006","3.2706539","0.1917657","1.60846","-0.1138194"
"06001","2007","2.4933259","0.305808","1.5421987","-0.155189"
"06001","2008","2.6307468","0.3165565","1.5932842","-0.2496588"
"06001","2009","2.46591","-0.0428884","1.5013044","-0.2019579"
"06001","2010","2.9082645","0.1085919","1.8128106","-0.2283378"
"06001","2011","2.9914784","0.1107294","1.6800503","-0.4102909"
"06001","2012","2.8167157","0.1462472","1.3839289","0.1071661"
"06001","2013","2.9070606","0.1734924","1.7305332","-0.2268361"
"06001","2014","2.6509977","0.0287659","1.4680087","0.0369961"
"06001","2015","2.7532433","0.1329537","1.6535233","-0.1262986"
"06001","2016","3.2026496","0.0845343","1.7018903","-0.0997066"
"06001","2017","3.4033178","0.2079349","1.7634958","-0.4172951"
"06001","2018","3.2622446","0.1780853","1.7369945","0.0044836"
"06013","2003","1.2918852","0.2868637","0.7669783","0.0502529"
"06013","2004","0.762494","0.263304","0.778212","0.0239387"
"06013","2005","1.3274801","0.3225867","0.6734767","0.085393"
"06013","2006","1.4405023","0.2658109","0.8077925","0.0524249"
"06013","2007","0.8100801","0.3208173","0.746761","0.1102697"
"06013","2008","1.0226653","0.3073767","0.7722843","0.0422015"
"06013","2009","0.9588906","0.2604293","0.5893887","0.0692045"
"06013","2010","1.3068805","0.2421055","0.6134844","0.0367864"
"06013","2011","1.3722092","0.2544599","0.6926961","0.0293681"
"06013","2012","1.250772","0.2720987","0.5682314","0.2987418"
"06013","2013","1.1781708","0.263641","0.9400758","0.0105963"
"06013","2014","0.8473483","0.157044","0.6820753","0.218312"
"06013","2015","1.1983734","0.2527979","0.8997264","0.507371"
"06013","2016","1.5286528","0.2682226","0.7381171","0.0440778"
"06013","2017","1.7244036","0.2601041","0.880655","-0.1412677"
"06013","2018","1.5717235","0.2428187","0.7817001","0.1610728"
"06019","2003","0.520673","1.4349088","0.6688477","0.8615715"
"06019","2004","0.4392278","1.446595","0.8222461","0.7305226"
"06019","2005","0.9388523","1.5442478","0.6479024","0.7375067"
"06019","2006","0.8281276","1.6505763","0.9069253","0.8383248"
"06019","2007","0.3420989","1.6221298","0.4949587","1.1352012"
"06019","2008","0.5868616","1.6846655","0.9032978","0.82185"
"06019","2009","0.6692522","1.8317652","0.9860028","0.9951343"
"06019","2010","0.990004","1.8764297","0.9695586","0.7814414"
"06019","2011","1.1872182","1.8267888","0.9222193","0.8554763"
"06019","2012","0.9138234","1.9670008","0.2085187","1.4236383"
"06019","2013","0.7984754","1.7905493","0.8652899","1.0766201"
"06019","2014","0.8042667","1.8818011","0.4045792","1.5014368"
"06019","2015","1.0900026","1.8333524","0.8019912","0.9642166"
"06019","2016","1.6568155","2.0484326","1.0966125","0.8756"
"06019","2017","1.8468693","1.983125","1.3663829","0.770987"
"06019","2018","1.726986","1.9977667","0.4678895","1.3868051"
"06037","2003","2.3034482","1.1526948","1.7133799","0.4051846"
"06037","2004","1.9266978","1.1109216","1.2108687","0.3234677"
"06037","2005","2.6416692","0.9879778","2.3194215","-0.0024003"
"06037","2006","2.2697396","1.079021","1.0605466","0.2971431"
"06037","2007","1.5132941","1.2286598","0.8276417","0.2376212"
"06037","2008","2.1148851","1.0558283","1.3752045","0.1421591"
"06037","2009","1.8656134","1.0114174","1.5345574","-0.0277599"
"06037","2010","2.5308328","1.0628728","1.8798235","0.3067307"
"06037","2011","2.4206823","1.0912273","1.8836012","0.1889553"
"06037","2012","1.855431","1.0665975","1.0887209","0.2176881"
"06037","2013","1.3051558","0.9858831","1.4208072","0.2740136"
"06037","2014","1.4651834","1.1031974","0.2956016","0.3066879"
"06037","2015","1.7078681","0.9575503","1.725094","-0.0114093"
"06037","2016","1.6827473","0.9620833","1.1017799","0.270022"
"06037","2017","2.6721384","1.125118","1.9732048","-0.0216322"
"06037","2018","1.9099382","1.1354317","0.7528491","0.2069871"
"06047","2003","2.1094894","1.4221354","0.6316729","0.8543059"
"06047","2004","1.8785513","1.5993259","0.6653812","0.7970389"
"06047","2005","2.0092904","1.4553244","1.1426313","0.8440132"
"06047","2006","1.7811813","1.5659591","0.9239408","0.8660969"
"06047","2007","1.6701595","1.4099251","0.3315485","1.0304095"
"06047","2008","1.5704396","1.5298601","0.9310785","0.8268253"
"06047","2009","1.4823526","1.6372964","0.7047928","0.9247159"
"06047","2010","1.8248319","1.5846721","1.0101201","0.819905"
"06047","2011","1.9397908","1.4881638","0.7113284","0.8539687"
"06047","2012","1.7912881","1.422825","-0.0050293","1.1698199"
"06047","2013","1.9999435","1.3776258","0.5102884","0.8725076"
"06047","2014","1.2764277","1.5009323","0.2228001","1.1775179"
"06047","2015","0.9611552","1.5139919","1.0021711","0.8901651"
"06047","2016","1.9217306","1.4984159","0.7845347","0.8255667"
"06047","2017","1.9135693","1.4785931","1.0501103","0.550523"
"06047","2018","2.0530444","1.4429726","0.6486702","1.0675792"
"06085","2003","5.5737974","0.9203637","2.0782606","-0.7279773"
"06085","2004","5.5994077","0.7744263","1.9742729","-0.4563538"
"06085","2005","6.0298795","0.8921571","1.9131936","-0.4572953"
"06085","2006","5.9881901","0.851354","2.2878109","-0.612277"
"06085","2007","5.5487132","0.7967709","1.9776309","-0.5220093"
"06085","2008","5.3366258","0.9822444","1.9739582","-0.3472857"
"06085","2009","5.434172","0.7344473","1.6464519","-0.6353982"
"06085","2010","5.8699364","0.8891881","2.0564201","-0.265682"
"06085","2011","6.0042798","0.7804697","1.8567083","-0.5379562"
"06085","2012","5.5858232","0.9752101","1.8932504","-0.5160343"
"06085","2013","5.7220382","0.9253876","2.0430166","-0.6750297"
"06085","2014","5.7422629","1.0598138","1.8208654","-0.4372084"
"06085","2015","5.7792917","0.8882641","2.1010539","-0.6331355"
"06085","2016","6.261761","0.9832162","2.0068066","-0.47194"
