"","county_fips","county","state","start.year","end.year","stroke","age"
"1",1003,"Baldwin","Alabama",2012,2014,"296.30",">= 65"
"2",1003,"Baldwin","Alabama",2009,2011,"29.80","45-64"
"3",1003,"Baldwin","Alabama",2011,2013,"20.60","45-64"
"4",1003,"Baldwin","Alabama",2009,2011,"346.40",">= 65"
"5",1003,"Baldwin","Alabama",2016,2018,"20.10","45-64"
"6",1003,"Baldwin","Alabama",2006,2008,"28.90","45-64"
"7",1003,"Baldwin","Alabama",2012,2014,"25.20","45-64"
"8",1003,"Baldwin","Alabama",2015,2017,"293.40",">= 65"
"9",1003,"Baldwin","Alabama",2013,2015,"23.40","45-64"
"10",1003,"Baldwin","Alabama",2016,2018,"311.30",">= 65"
"11",1003,"Baldwin","Alabama",2007,2009,"28.40","45-64"
"12",1003,"Baldwin","Alabama",2010,2012,"341.80",">= 65"
"13",1003,"Baldwin","Alabama",2014,2016,"21.30","45-64"
"14",1003,"Baldwin","Alabama",2007,2009,"369.20",">= 65"
"15",1003,"Baldwin","Alabama",2015,2017,"18.50","45-64"
"16",1003,"Baldwin","Alabama",2005,2007,"372.40",">= 65"
"17",1003,"Baldwin","Alabama",2008,2010,"360.30",">= 65"
"18",1003,"Baldwin","Alabama",2011,2013,"322.70",">= 65"
"19",1003,"Baldwin","Alabama",2013,2015,"273.90",">= 65"
"20",1003,"Baldwin","Alabama",2017,2019,"19.60","45-64"
"21",1003,"Baldwin","Alabama",2014,2016,"285.20",">= 65"
"22",1003,"Baldwin","Alabama",2006,2008,"372.10",">= 65"
"23",1003,"Baldwin","Alabama",2010,2012,"23.80","45-64"
"24",1003,"Baldwin","Alabama",2017,2019,"304.20",">= 65"
"25",1003,"Baldwin","Alabama",2008,2010,"33.40","45-64"
"26",1003,"Baldwin","Alabama",2005,2007,"29.10","45-64"
"27",1003,"Baldwin","Alabama",2012,2014,"296.30",">= 65"
"28",1003,"Baldwin","Alabama",2009,2011,"29.80","45-64"
"29",1003,"Baldwin","Alabama",2011,2013,"20.60","45-64"
"30",1003,"Baldwin","Alabama",2009,2011,"346.40",">= 65"
"31",1003,"Baldwin","Alabama",2016,2018,"20.10","45-64"
"32",1003,"Baldwin","Alabama",2006,2008,"28.90","45-64"
"33",1003,"Baldwin","Alabama",2012,2014,"25.20","45-64"
"34",1003,"Baldwin","Alabama",2015,2017,"293.40",">= 65"
"35",1003,"Baldwin","Alabama",2013,2015,"23.40","45-64"
"36",1003,"Baldwin","Alabama",2016,2018,"311.30",">= 65"
"37",1003,"Baldwin","Alabama",2007,2009,"28.40","45-64"
"38",1003,"Baldwin","Alabama",2010,2012,"341.80",">= 65"
"39",1003,"Baldwin","Alabama",2014,2016,"21.30","45-64"
"40",1003,"Baldwin","Alabama",2007,2009,"369.20",">= 65"
"41",1003,"Baldwin","Alabama",2015,2017,"18.50","45-64"
"42",1003,"Baldwin","Alabama",2005,2007,"372.40",">= 65"
"43",1003,"Baldwin","Alabama",2008,2010,"360.30",">= 65"
"44",1003,"Baldwin","Alabama",2011,2013,"322.70",">= 65"
"45",1003,"Baldwin","Alabama",2013,2015,"273.90",">= 65"
"46",1003,"Baldwin","Alabama",2017,2019,"19.60","45-64"
"47",1003,"Baldwin","Alabama",2014,2016,"285.20",">= 65"
"48",1003,"Baldwin","Alabama",2006,2008,"372.10",">= 65"
"49",1003,"Baldwin","Alabama",2010,2012,"23.80","45-64"
"50",1003,"Baldwin","Alabama",2017,2019,"304.20",">= 65"
"51",1003,"Baldwin","Alabama",2008,2010,"33.40","45-64"
"52",1003,"Baldwin","Alabama",2005,2007,"29.10","45-64"
"53",1015,"Calhoun","Alabama",2010,2012,"34.20","45-64"
"54",1015,"Calhoun","Alabama",2008,2010,"320.10",">= 65"
"55",1015,"Calhoun","Alabama",2009,2011,"31.60","45-64"
