county,state,county_fips
Taylor,TX,48441
Linn,OR,41043
Bernalillo,NM,35001
Rapides,LA,22079
Madison,IL,17119
Potter,TX,48375
Story,IA,19169
Anchorage,AK,2020
Madison,IN,18095
Contra Costa,CA,6013
Outagamie,WI,55087
San Luis Obispo,CA,6079
Travis,TX,48453
Maricopa,AZ,4013
Kern,CA,6029
Penobscot,ME,23019
East Baton Rouge,LA,22033
Calhoun,MI,26025
Jefferson,TX,48245
Whatcom,WA,53073
Rock,WI,55105
Deschutes,OR,41017
Berrien,MI,26021
Yellowstone,MT,30111
Burleigh,ND,38015
McLean,IL,17113
Boulder,CO,8013
Kitsap,WA,53035
Cameron,TX,48061
Chittenden,VT,50007
Ventura,CA,6111
Carson City,NV,32510
Pinal,AZ,4021
Natrona,WY,56025
Linn,IA,19113
Champaign,IL,17019
Laramie,WY,56021
Cook,IL,17031
Butte,CA,6007
Kootenai,ID,16055
Brazos,TX,48041
El Paso,CO,8041
Boone,MO,29019
Montgomery,TX,48339
Faulkner,AR,5045
Nueces,TX,48355
Benton,OR,41003
Dallas,TX,48113
Vermilion,IL,17183
Scott,IA,19163
Yolo,CA,6113
Macon,IL,17115
DeKalb,IL,17037
Denton,TX,48121
Denver,CO,8031
Polk,IA,19153
Strafford,NH,33017
Dubuque,IA,19061
St. Louis,MN,27137
Eau Claire,WI,55035
Imperial,CA,6025
Elkhart,IN,18039
El Paso,TX,48141
Lane,OR,41039
Fairbanks North Star,AK,2090
Solano,CA,6095
Cass,ND,38017
San Juan,NM,35045
Washington,AR,5143
Coconino,AZ,4005
Fond du Lac,WI,55039
Larimer,CO,8069
Sebastian,AR,5131
Allen,IN,18003
Fresno,CA,6019
Santa Clara,CA,6085
Grand Forks,ND,38035
Hall,NE,31079
Mesa,CO,8077
Kent,MI,26081
Josephine,OR,41033
Cascade,MT,30013
Weld,CO,8123
Brown,WI,55009
Tangipahoa,LA,22105
Kings,CA,6031
Riverside,CA,6065
